GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
13135000075,13,135,000075,663.613639999853,3053.222394878842,27.983707710837177,647.6229498793747,3003.251488252347,67.96043301203314,651.6206224094942,2939.2887277704335,108.936576445759,641.6264410841952,2959.277090421031,71.95810554215274
13135000076,13,135,000076,648,2008.0000000000002,30,627,1995,55.00000000000001,637,1929,76,626,1946,53
13135000077,13,135,000077,1199.0413690405073,2571.2122062057056,42.37696829992781,1207.8786986940102,2494.349576593406,90.67083289120873,1205.8958402681349,2361.3313424561234,150.78159460585056,1201.9547626279298,2393.8623044415294,116.2698861269877
13135000078,13,135,000078,1166,1697,41,1150,1645,78,1180,1571,90,1168,1583,82
13135000079,13,135,000079,970,1138,26,979,1076,75,977,1023,100,995,1010,85
13135000080,13,135,000080,1710,3086,53,1708,3029,86,1695,2899,148,1682,2920,119
13135000081,13,135,000081,1133.9216076816747,1856.5043331430422,43.34236456448371,1127.803550935301,1796.1619685785583,84.70834047824215,1127.7917452606637,1726.4300167510416,118.97987099490165,1122.8271622845757,1740.5244621481404,97.68472912896742
13135000082,13,135,000082,965,2372,42,960,2291,111,963,2194,146,938,2218,128
13135000083,13,135,000083,1352.445805843544,1654.8746465598492,51.901979264844485,1323.5004712535344,1630.9198868991516,87.83411875589067,1324.4985862393967,1524.1215834118757,141.73232799245994,1306.5325164938738,1538.0951932139492,117.7775683317625
13135000084,13,135,000084,562.5389138460741,1455.8014379662934,19.98366931174364,557.5429121762947,1411.8375788425262,56.95327563362852,531.5643526976859,1368.8727814585507,78.93530549392052,520.5734335069297,1368.8727085142536,68.94360304958717
13135000085,13,135,000085,1431.554194156456,1695.1253534401508,52.098020735155515,1428.4995287464656,1635.0801131008482,99.16588124410933,1390.501413760603,1552.8784165881243,148.26767200754006,1380.4674835061262,1558.9048067860508,135.2224316682375
13135000086,13,135,000086,421,1076,18,393,1043,49,370,1024,69,372,1033,43
13135000087,13,135,000087,758.4514882826086,1435.127882020419,37.35481375004953,753.2043862622776,1370.7395934683743,69.76066518153922,709.8319733117315,1316.1037373261543,120.22437604835763,704.7517368066532,1330.2647485482585,95.02471922726413
13135000088,13,135,000088,620.3797294140483,2312.7470984336105,40.01601268613456,592.3705793076856,2278.7185043512272,80.03888795204108,598.3728668342762,2204.6819039257766,135.06233509959526,607.36714801779965,2218.69334155873,96.04117547863173
13135000089,13,135,000089,1372.9918498741742,1237.9926512339605,51.99969132808235,1377.9918201941823,1182.9929777138734,95.99943014415203,1364.9918973621616,1107.9934229137546,132.99921051221062,1373.9918439381759,1107.9934229137546,121.9992758081932
13135000090,13,135,000090,792.8295030682228,1431.7049693177717,42.12188665623872,788.4959691974492,1393.8250511370472,76.57730718325111,776.768258933943,1329.1877030441583,113.63855131753098,763.5256888461075,1355.0967392612201,92.27469618577788
13135000091,13,135,000091,1486.7509970214594,1935.49162112811,52.321092555535124,1488.6993928607485,1870.1991975507474,81.53324299401369,1495.664990086941,1775.6315517829264,125.76259481939593,1482.5961845393265,1806.7462276956176,103.56191197218646
13135000092,13,135,000092,989.2407138070555,1149.1180008869835,21.983126973490123,1026.212336444289,1085.1670860550123,49.96165221247755,1029.2100355770376,1012.2230738247952,87.93250789396049,1021.2161712230411,1013.2223068690448,83.93557571696229
13135000093,13,135,000093,1533,1647,46,1576,1544,99,1603,1442,132,1598,1461,114
13135000094,13,135,000094,1128,831,31,1139,797,51,1143,744,83,1123,750,69
13135000095,13,135,000095,863.6988118876519,2855.2749116446275,46.736897008870876,827.9290437248575,2780.6988485395796,105.38731711892885,809.0343333838086,2670.30871555428,164.0770046603693,806.0471426078813,2719.0179427933517,99.45623042731617
13135000096,13,135,000096,1137,1146,43,1147,1097,59,1126,1006,127,1112,1032,103
13135000097,13,135,000097,1671.077922077922,2175.779220779221,72.52597402597402,1666.1103896103896,2105.2402597402597,105.31168831168831,1672.0714285714284,1970.1233766233765,161.94155844155844,1654.1883116883116,1983.0389610389611,140.08441558441558
13135000098,13,135,000098,839.5558811218083,1268.4282126412725,35.42025952281289,842.4277940560904,1218.648388447049,68.92591042277103,827.1109250732524,1151.6370866471327,99.55964838844704,826.153620761825,1154.5089995814149,84.24277940560904
13135000099,13,135,000099,797.3048568950563,1249.641153512576,44.73655680832611,773.4453599306158,1236.7172593235039,60.64288811795317,738.6502601908065,1157.1856027753686,121.28577623590634,736.6619687771032,1178.062662619254,96.43213356461405
13135000100,13,135,000100,1719.6,1812.3088695652175,58.815304347826086,1755.4873043478262,1730.5655652173914,88.72139130434783,1758.4779130434783,1576.0507826086957,148.5335652173913,1758.4779130434783,1584.0257391304349,124.60869565217392
13135000101,13,135,000101,521.0188871164698,942.3731765080088,11.841338343556131,529.8998908741369,922.637612602082,21.709120296519576,519.0453307258771,884.1532629855245,46.37857517892818,509.17754877291367,889.0871539620063,46.37857517892818
13135000102,13,135,000102,1371.9585819585818,943.8996138996139,22.685152685152683,1374.9175149175148,888.6661986661986,62.13759213759214,1379.8490698490698,819.6244296244296,80.87750087750088,1377.8764478764479,830.4738504738505,66.08283608283608
13135000103,13,135,000103,553.0357131572649,1523.955909659749,37.10602672694088,546.8448650487715,1481.7544588785613,65.38169621698718,547.7600436672187,1418.4575840431269,95.57254432548078,554.7812490126068,1418.5636107700677,71.37109354429309
13135000104,13,135,000104,747,3370,25,710,3294,87,725,3216,132,719,3241,94
13135000105,13,135,000105,1568,1379,53,1555,1309,104,1539,1195,170,1542,1210,136
