GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16USSRISA,G16USSDBAR,G16USSLBUC,G16PSCRECH,G16PSCLHOS
132250000F3,13,225,0000F3,204,1575,25,273,1396,34,499,897
132250000P1,13,225,0000P1,665,194,17,644,167,31,680,127
13227000001,13,227,000001,1725,365,36,1677,292,89,1672,315
13227000002,13,227,000002,862.6901535682024,149.29358626919603,39.68563685636856,819.2249322493225,120.94670280036134,73.7018970189702,827.728997289973,158.74254742547424
13227000003,13,227,000003,454.3098464317976,55.70641373080397,18.314363143631436,423.7750677506775,52.053297199638656,26.29810298102981,433.2710027100271,51.25745257452574
13227000004,13,227,000004,538,67,12,499,64,27,514,63
13227000005,13,227,000005,343,24,10,315,27,22,303,47
13227000006,13,227,000006,750,118,25,694,108,45,688,116
13227000007,13,227,000007,933,104,19,852,100,51,834,136
13227000008,13,227,000008,935.2549904076978,224.29087754004837,40.131134709049384,898.6720136720317,182.4318217885201,62.94895682561719,911.3560343914627,187.9767637662186
13227000009,13,227,000009,1358,174,42,1269,156,71,1250,219
13227000010,13,227,000010,1434,340,46,1382,307,76,1366,298
13227000011,13,227,000011,1059.4780518048203,188.80752129546835,36.885750298228636,1014.0022221358286,167.6625013555847,58.092382330132445,1010.3117967584644,186.12862196886144
13227000012,13,227,000012,1258.2669577874817,168.90160116448325,28.98311499272198,1157.3257641921398,161.9056768558952,70.95866084425036,1146.3321688500728,180.89461426491994
13229000001,13,229,000001,1491,375,25,1381,297,46,1499,203
13229000002,13,229,000002,1546.880586080586,186.8981684981685,29.824175824175825,1397.759706959707,176.95677655677656,60.642490842490844,1483.2556776556778,167.01538461538462
1322900003A,13,229,00003A,908.026896828583,77.28502609393819,8.060216780409474,847.7900441589724,63.2448815736652,25.084303492573262,872.934564431955,67.24889602569249
1322900003B,13,229,00003B,768.7122071140694,73.00619254405466,15.226808309196262,707.4880203571568,62.922107673646636,21.765051346136413,744.2306327006614,63.74626526463009
1322900004A,13,229,00004A,633.3306003584229,116.30528673835126,9.139529914529914,597.9772332506203,89.19893507030604,14.476861042183623,630.5855390129584,75.07834987593053
1322900004B,13,229,00004B,270.6375,25.775000000000002,1.9826923076923078,243.87115384615385,20.818269230769232,9.913461538461538,265.6807692307693,17.84423076923077
1322900004C,13,229,00004C,522.7025574273865,48.15650120570394,3.189491601792285,490.63209258471215,40.09789314709588,4.384844009445376,512.1497893147096,28.093954792360257
1322900004D,13,229,00004D,186.41685649202734,3.9453302961275627,0.9863325740318907,172.60820045558086,3.9453302961275627,1.9726651480637813,173.59453302961273,7.890660592255125
13231000001,13,231,000001,690,183,13,665,153,26,677,130
13231000002,13,231,000002,970.2470227816747,101.75343868716581,19.56620440390135,914.4582742851699,92.6044378416358,37.83491919829465,936.6767098164843,94.81729704302676
13231000003,13,231,000003,766,90,10,731,76,23,718,92
13231000004,13,231,000004,768.5263115448755,178.3365865660625,23.904393231088875,714.8547226550753,169.6790672243637,46.85637182536428,749.6510525164712,130.61989529511467
13231000005,13,231,000005,1483,178,28,1401,164,67,1420,179
13231000006,13,231,000006,635,88,15,613,79,21,615,73
13231000007,13,231,000007,917,118,19,861,114,37,890,123
13231000008,13,231,000008,1016,310,34,983,258,53,1032,218
13233000001,13,233,000001,1494.83858060306,262.5663943437998,34.04622130007693,1370.707987088557,264.49009251510137,62.09170892872406,1408.788690945834,247.43580082929674
13233000002,13,233,000002,790,162,20,732.9999999999999,156,35,735,140
13233000003,13,233,000003,2301.407823095426,1044.3283438915003,80.36537060296776,2210.003773819537,884.7206373779849,124.02762626174824,2317.0782360205935,733.0472206760161
13233000004,13,233,000004,1338,241,26,1224,241,47,1259,219
13233000005,13,233,000005,1570.3940869807623,251.58688306418165,41.24349300900778,1439.2423899319383,257.9720335094494,68.36876820117696,1440.6464125468492,266.38426338879776
13233000006,13,233,000006,2504.16141939694,771.4336056562001,62.95377869992307,2326.292012911443,667.5099074848986,124.90829107127594,2436.2113090541657,593.5641991707032
13233000007,13,233,000007,1015.1980899238116,134.08477304431807,24.391136388024467,915.7538362485245,141.30732911256572,57.60360553707479,936.2753514325572,163.56851593518618
132350ANNEX,13,235,0ANNEX,2436.741651648468,1103.8829640623344,57.99385137284003,2414.7439838863565,870.9076645817873,87.99067104844694,2505.7343369023642,566.9398918689706
13237000101,13,237,000101,998,864,32,1001,728,47,1097,483
13237000104,13,237,000104,998,1004,24,1025,820,66,1135,539
13237000105,13,237,000105,1898.3353511657192,372.4373075801488,41.59429024790372,1873.2191422013043,311.6971491967607,60.29018143548589,1923.827396970156,241.2160507765217
13237000106,13,237,000106,653,105,16,603,101,31,627,94
13237000107,13,237,000107,1985.1088157877275,414.10536704853286,56.40719590464294,1922.1795021888463,374.2668661013322,72.44066642447527,1953.0956730681503,339.8797831764895
1323900000G,13,239,00000G,525,426,7,457,353,25,487,235
1323900000M,13,239,00000M,50,35,1,44,29,4,42,18
132410RABUN,13,241,0RABUN,6287,1444,219,5977,1256,330,6196,1059
13243000131,13,243,000131,89,62,3,91,53,2,93,36
13243000334,13,243,000334,175,314,2,188,254,7,207,169
13243000566,13,243,000566,170.9762924021195,83.988354162444665,1.9997227181534445,165.9769856067359,65.99084969906367,1.9997227181534445,169.9764310430428,39.99445436306889
13243000934,13,243,000934,206,30,7,196,25,6,202,21
13243000947,13,243,000947,70,12,0,61,10,0,67,7
13243000954,13,243,000954,55.023707597880495,112.01164583755533,2.7728184655551947e-4,58.023014393264106,91.00915030093633,2.0002772818465555,68.02356895695722,52.00554563693111
13243000998,13,243,000998,74,12,0,70,10,0,68,5
1324300718A,13,243,00718A,426,734,12,439,571,21,527,359
1324300718B,13,243,00718B,5,238,2,24,195,1,50,107
13245000101,13,245,000101,253,262,26,281,222,23,340,153
13245000102,13,245,000102,189,520,22,207,421,37,282,300
13245000103,13,245,000103,16,735,5,54,610,11,139,394
13245000104,13,245,000104,129.8140703517588,1481.5577889447236,20.487437185929647,189.1859296482412,1234.3517587939698,32.60301507537688,379.5326633165829,719.9145728643216
13245000105,13,245,000105,12,384,4,34,314,7,75,186
13245000106,13,245,000106,117.86839107648498,331.62971048638144,5.993308020838219,105.88177503480854,278.6888229689772,9.988846701397032,141.84162315983787,199.77693402794065
13245000107,13,245,000107,561.0957849787743,534.2694967199412,32.00487042264954,611.0860441334752,437.22647465320364,44.00811737108257,664.1152666693724,294.16234742165136
13245000108,13,245,000108,28,282,9,42,245,7,85,139
13245000109,13,245,000109,105,442,31,142,378,30,205,263
13245000111,13,245,000111,126,614,28,155,529,31,267,335
13245000112,13,245,000112,176,268,21,185,207,26,221,159
13245000114,13,245,000114,48,406,3,64,337,6,116,217
