GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOWRI,G16USSRYOU,G16USSDBAY,G16USSLBRE,G16USSOWRI,G16GOVRHOL,G16GOVDGRE,G16GOVLBEL,G16GOVOWRI,G16ATGRHIL,G16ATGDARR,G16SPIRMCC,G16SPIDRIT
18069000210,18,069,000210,323.13882318754696,111.22724213814493,27.89515750646615,5.350865808084664,295.9430265940583,131.16534616329682,28.814190459478816,0.940890622526738,287.9703262345682,146.32955789106038,19.377442462063296,1.881781245053476,351.46009263189933,99.74879621255414,281.1147159116136,168.5734965353765
18069000220,18,069,000220,260.5449199575649,66.16216651295157,15.33205829209852,4.09766543916193,213.0273705493943,82.43561533899798,33.429681720740014,0.009767744216776852,212.17388971339741,97.53324776989385,16.253913337612843,0.9999969992485405,266.66211488365747,58.11335179787937,204.1250749983252,123.73829237890821
18069000230,18,069,000230,339.19361964467794,106.13825554728537,15.799518046320921,5.9018691217039105,279.97072376750015,133.74958881862437,36.55085028515694,0.969828690986202,282.97771256283056,144.58481755730972,16.844445163097575,0,353.63644533459234,88.61531350711921,302.47301276366227,142.74087141070063
18069000240,18,069,000240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18069000250,18,069,000250,422.39783489356677,134.9787119643407,25.246998484543465,6.79837628394706,366.0791512387433,172.84862799437167,38.84215138628095,0,368.9944030655327,192.2673041882772,17.478859055679386,0,435.02540601332805,123.3242487460057,360.2553370981832,203.9207494372398
18069000260,18,069,000260,468,133,31,12,429,171,39,0,433,181,23,0,512,117,424,202
18069000270,18,069,000270,320.6021651064333,141.0212880356593,20.753001515456535,13.201623716052941,284.9208487612567,168.15137200562836,36.15784861371905,0,302.0055969344673,169.7326958117228,15.521140944320612,0,358.97459398667195,117.6757512539943,296.74466290181687,186.0792505627602
18069000280,18,069,000280,309,105,31,7,293,131,26,0,282,147,17,0,338,94,267,167
18069000290,18,069,000290,264.33048433048435,71.97815764482431,17.180436847103515,3,218.71320037986703,105.28205128205128,24.34188034188034,0,221.6372269705603,108.53846153846153,14.180436847103513,0,266.47293447293447,68.77872744539411,228.7226970560304,116.62393162393163
18069000300,18,069,000300,451.6695156695157,102.02184235517569,18.819563152896485,0,387.28679962013297,133.71794871794873,35.65811965811966,0,379.3627730294397,160.46153846153845,18.819563152896485,0,466.52706552706553,81.22127255460589,388.27730294396963,169.3760683760684
18069000310,18,069,000310,179,32,6,2,150,53,12,0,153,55,8,0,179,29,147,63
18069000320,18,069,000320,465.64008707996993,101.42732354084154,35.0866656035589,4.022507051095439,386.3170106073765,144.6762535232521,54.15588650733556,0.9986475796392905,395.3048388241301,166.75258385896194,26.065337307759354,0,471.64872259732863,107.3801255931237,402.16137156542146,181.87746456275033
18069000330,18,069,000330,418.3414058076679,128.33438880121153,20.775640833535835,2.964951710858798,379.3564775584943,149.38275478256259,27.735819207254863,0,380.575562228214,159.10858572066005,13.867909603627432,0,421.2853786610024,115.51773300710977,365.86618739030337,181.7454773117184
18069000340,18,069,000340,454.6585941923321,117.66561119878847,23.224359166464165,3.035048289141202,373.6435224415057,166.61724521743741,34.26418079274514,0,396.424437771786,161.89141427933993,17.13209039637257,0,455.7146213389975,107.48226699289022,392.13381260969663,176.2545226882816
18069000350,18,069,000350,581.1370349349035,100.37677708240054,23.863745540242686,4.968000432917459,504.6164838767072,155.01148086010903,40.76243874364708,0.001666856256047531,504.6295989676396,173.89536862008322,17.899043229568527,0,584.1262884771594,93.43424596790508,480.8339747747789,199.71068756143666
18069000360,18,069,000360,257.8014582948633,62.70722391617221,13.935418977622314,1.9908440528612428,214.00655957496386,94.55771084211271,22.893850171193115,0,218.98134509318663,103.51712082049629,10.949683073437367,0,266.75899226902243,57.73080708992815,231.91934369205228,100.53301622433263
18069000370,18,069,000370,185,36,7,3,161,52,13,0,166,56,4,0,182,38,154,66
18071000010,18,071,000010,366.4132461904994,105.3117586904328,21.110227314898705,3.009062200561866,302.0625253442285,164.65970363006625,27.096984706098976,0,306.1125909969972,164.60256672734684,15.050473920763272,0,354.25227642654795,120.45577173615361,294.0294034222989,186.73840451982002
18071000020,18,071,000020,440.4875075919011,110.5965875726805,21.21077782111609,9.005010885162395,384.1375892117725,178.073806654188,21.068429933821577,0,384.06320419988356,164.1253711468044,14.090751140276618,0,405.4164266714986,131.69903119860635,364.7918840974996,188.42147134460708
18071000030,18,071,000030,66.32869005344995,16.61347052630111,2.2035436215144064,0.02694459987919254,53.021516613458694,29.058356007032767,3.0818124547844916,0,53.95402871490054,30.054393277551558,1.0990640732037826,0,61.22648644264688,21.70479892833882,50.71662801422279,32.3333552235967
18071000050,18,071,000050,688.7466877939854,134.78524944721065,39.464139032554584,4.729203978780459,614.1008755260247,232.3104058542852,19.49270354680346,0,604.0677543575691,233.1090753663893,19.300741002909586,0,663.0874100307715,158.6872193996381,557.1904589940809,285.6742130073403
18071000060,18,071,000060,301.77766933375386,69.40262055058916,22.703401344397413,1.9648721369745545,230.3465233850982,140.2191531270148,20.60737768223431,0,239.4774287163054,129.87127137595402,10.85553893112805,0,270.38902189224115,97.58774842124355,222.40617030098733,157.33525995201776
18071000070,18,071,000070,423.66733484358383,102.32095314455462,22.406940423348416,1.950603984024105,341.7679844531775,178.65742601206506,24.299296102549803,0,341.4053175420314,177.74989354065758,15.657149752987541,0,387.9617169343791,135.79177697978113,363.98398892770996,172.08928968854062
18071000080,18,071,000080,331.88314164450134,91.99604743502404,21.45778878582029,1.0306832319627806,280.98673387731776,151.02038904482677,15.88071804436381,0,271.4165942033197,154.1166131004892,9.844721761154933,0,308.07792183980007,107.46157808964111,248.78999529979976,175.5359161136458
18071000090,18,071,000090,277,43,8,2,224,100,4,0,225,99,6,0,234,77,204,113
18071000100,18,071,000100,678.7992401629266,164.09978907479777,47.43382524457243,3.347874538043073,601.5728777160815,262.2898765022833,30.57417409582417,0,605.3569254408206,258.77281943829973,24.639741258575746,0.021400778210116732,657.7162642795064,187.888574160203,557.3482884503142,311.1331858327387
18071000110,18,071,000110,407.795964763597,163.9179858363478,42.978496286359494,11.993998963635207,357.8209690817837,213.89298151816118,48.97549576817709,0,364.8174684772375,222.8884807408876,23.987997927270413,0.9994999136362672,412.79346433177835,183.90798410907317,366.81646830451007,234.8824797045228
18071000120,18,071,000120,300.3278655726609,180.69057945044872,31.885912946610123,2.8736499448865866,262.62950454365716,210.00775505619376,31.01292934580122,0,275.8464887836613,202.48766187152685,18.749371156341123,0.006552610530297896,302.1424593721927,185.49051373998697,267.37076545490135,227.75320693446662
18071000130,18,071,000130,185.07804870639615,76.01947971041501,21.0035063478747,2.0009090531527005,157.07129574011893,110.02753132405321,16.002597294722,1,166.06908803960525,102.02921956562251,12.001688241569301,1.0001298647361,187.07713965324345,94.01999916935941,172.06506223278615,109.03402456085821
18071000140,18,071,000140,325.6401209256491,102.23675705469213,34.05637072730765,5.0137795111196475,284.57873946702523,142.3382243638459,33.032569753555535,1,289.5649599559056,144.3444877779912,23.03256975355553,0.0025053656581178023,331.64262629130724,120.27308485673484,286.5574438589312,166.37329948305955
18071000150,18,071,000150,396.0050204034822,159.59877306547645,34.9116954172869,1.994999331754008,347.12899569018015,208.47574924486835,33.91352972514698,0,352.115225398112,214.4614132663933,14.962019255110118,0,402.98767664230286,168.57582604086087,371.0654672466957,201.49575711109935
18071000160,18,071,000160,664.6303915112812,260.5237130393396,41.47694010037784,3.7225663542146665,616.5051185297891,336.17336977722624,20.377939493276237,0,588.934851200409,366.4823466144239,13.867736812090813,0.008386056994837618,681.9686334867696,264.23906757893934,558.5390194671957,396.02919317456525
18071000170,18,071,000170,422.890135889458,160.34001292491232,25.05442567806751,10.005363845066647,373.82486552829414,217.4406522766437,27.02738568486662,0,391.7886960922672,208.4797868649707,16.018599290094564,1.1434935134831745e-4,429.9110115921328,158.3450337219249,350.7475032156159,247.52052498782825
18071000180,18,071,000180,510.3598790743509,188.76324294530787,44.94362927269235,10.986220488880353,461.42126053297477,269.6617756361541,25.96743024644447,0,450.4350400440944,274.65551222200884,25.96743024644447,1.9974946343418822,512.3573737086928,217.72691514326516,444.4425561410688,297.62670051694045
18071000190,18,071,000190,598.0010887397971,240.0002717320625,26.000048911771252,11.000012680829583,562.0009945393488,298.00038404798164,25.000036230941667,1,547.0009637430483,328.0004075980938,9.000023550112083,1.8115470833291066e-6,617.0010760589674,238.00027897825083,494.0009075850887,373.0004746253358
18071000200,18,071,000200,565.0932697618837,186.4433882152363,41.14495695957289,13.134893791132631,485.74808643934085,263.17365083359886,51.01835902167573,0,520.5280088027313,247.70323401898568,23.267069138558266,0.994319152334218,557.278535301431,210.65484396589073,503.9933874402476,271.45691070028016
18071000210,18,071,000210,645.8329290774795,169.87214437422818,30.145673515591472,7.135505621021412,590.749000649064,237.25418372652618,21.36076220283273,0,571.7613618226841,252.61989043673168,13.960924777435885,0.9695954626597308,640.56648988026,174.17693651893285,538.7475183620431,291.38312427097605
18071000220,18,071,000220,541,134,23,2,476,207,20,0,465,204,19,0,516,151,446,220
18071000230,18,071,000230,491,87,32,2,426,154,34,0,438,144,22,0,476,106,426,171
18071000240,18,071,000240,679.8244882376115,153.48721384348266,48.85792605525915,7.366643889248248,607.8677855972142,240.66118509043687,35.078900653168816,0.07406997612018695,607.861689192804,244.75741076682894,22.40238822447997,0,683.5786963859289,162.6045507822949,597.617163068483,264.09322124573833
18071000250,18,071,000250,366.7321142814131,132.18786498113877,36.659668142096464,0.9653242727901584,323.31172884788316,165.96436486621627,38.58933172141898,4.924831289033157e-4,327.17450338843054,176.57357468745886,24.115869910242345,0,370.591933923187,150.50686442335115,333.90665665838753,189.12771506501994
18071000260,18,071,000260,587.5575707093219,153.62807078167776,31.303271944376664,2.0322050663080504,535.0409579958475,204.7898043740555,33.37113770415236,0.9982721864202011,546.1645948203403,208.17688856146023,15.865600132994222,0,592.6915744152935,147.31771865262166,509.4781487770664,244.5782762876669
18071000270,18,071,000270,112,29,4,0,101,41,3,0,106,36,2,0,105,37,93,51
18071000280,18,071,000280,361.887733324172,130.1182760010586,28.551350125065575,1.981903379712674,315.4327353242752,192.29546612382242,17.744005977029968,0,316.42812151129266,182.3992527167425,15.78427508312303,0,351.92943695683607,143.9162132073078,312.3490178256775,190.37121120720465
18071000290,18,071,000290,294,60,14,4,253,105,9,0,254,98,9,0,261,87,238,110
18071000300,18,071,000300,335.112266675828,110.8817239989414,16.44864987493443,4.018096620287326,267.5672646757248,180.70453387617758,15.255994022970034,0,270.57187848870734,163.6007472832575,16.21572491687697,0,304.07056304316393,122.0837867926922,236.6509821743225,189.62878879279535
18071000310,18,071,000310,498,128,18,2,440,191,16,0,446,180,9,1,490,127,408,222
18073000010,18,073,000010,174,56,12,2,165,71,12,0,152,76,12,0,172,61,159,74
18073000020,18,073,000020,151,24,5,2,149,28,7,0,138,37,7,0,144,23,131,40
18073000030,18,073,000030,202,40,8,1,167,55,14,0,152,78,8,0,169,59,154,76
18073000040,18,073,000040,252.57142857142856,113.96428571428572,14.330357142857144,7.071428571428572,225.38392857142856,138.16964285714286,25.241071428571427,0,195.88392857142856,174.82142857142858,14.125,0,225.42857142857142,136.07142857142856,209.71428571428572,154.77678571428572
18073000050,18,073,000050,580.096848458717,217.26914041639836,26.54712672731252,6.882467691834464,529.9549013887394,245.7813477973044,29.496581126759946,0,495.5515263116242,289.03675291087615,16.714797209573494,0,559.4498528096708,239.877957307381,525.0358846446699,273.3136631233851
18073000060,18,073,000060,693.1072085828235,209.57858591267603,42.73661128778425,16.685350423415677,662.5645304072368,252.3991190975894,38.11918814826878,0.06541036959757783,616.7839485968359,306.1570917557126,26.511057036193503,0.06541036959757783,683.5282356674614,244.61339381978192,627.1935395743873,304.44007762601274
18073000070,18,073,000070,589,190,42,9,551,238,31,1,512,296,15,0,568,234,522,279
18073000080,18,073,000080,548.2302353485383,210.51149107318614,31.276596743380143,12.316960805632487,507.7343109742794,228.71805038366247,35.89749279438433,0.9342798041069683,489.5036314228308,261.9801636550015,25.497386873372843,0.9342798041069683,538.780857341136,230.4937733131038,511.0887122645675,265.69752322224184
18073000090,18,073,000090,691.8653074588906,206.74413441981832,32.45642066449096,8.11963746639141,637.0012087334261,238.2372679131417,35.50887122733589,3.0982629545384945e-4,618.402136147862,274.9878555630693,20.28850827673779,3.0982629545384945e-4,668.5027607941835,221.1563215660164,623.9221186759249,276.71259078603777
18073000100,18,073,000100,160.59621588647772,81.61385287049285,24.542471558458917,4.913938873020031,149.69517064778472,103.26894019201612,19.639421808095378,0,140.86423653580212,113.08592881539968,10.803043134784522,0,169.3563707011931,86.50056893687164,155.55160754157973,107.21315823761995
18073000110,18,073,000110,246.41437975773445,125.95837265310313,40.45183076875427,7.355139185756641,213.31338391601508,160.89659897561214,30.33917198342138,0.9193326168484447,221.58713834216653,167.33240554452036,20.22603494711941,0,262.95949735519196,133.31231621143706,239.05350156034882,162.7362207112472
18073000120,18,073,000120,162.98849199942066,53.42750536409428,9.005664854212451,2.730908813793585,138.99067091784534,71.8340932643389,8.021373389908877,0.08066738315155529,138.54785716739136,74.5812849446174,4.970902226951456,0,152.68329835182624,51.18686543052617,136.39414919829096,76.05022722824054
18073000130,18,073,000130,269.74398507267466,92.91181708058792,29.971553896963847,2.9971553896963847,257.7553635138891,119.88621558785539,11.988621558785539,0,240.77148297227626,129.87673355351,12.987673355351001,0,281.73260663146016,96.90802426684978,243.76863836197265,140.86630331573008
18073000140,18,073,000140,267,96,12,1,241,113,15,0,222,138,12,0,246,110,230,127
18073000150,18,073,000150,159,52,9,2,134,71,10,0,128,79,5,0,146,64,135,75
18073000160,18,073,000160,356,150,24,0,322,185,25,0,264,246,18,0,329,188,308,216
18073000170,18,073,000170,695,225,40,6,626,298,27,0,565,367,15,0,638,284,586,331
18073000180,18,073,000180,318.00191422651733,146.00064244588594,28.000078666843176,10.00002622228106,274.0016126702851,191.00085877970469,20.00012455583503,0,256.00151433673113,220.00100955782077,14.000078666843176,0,295.00165855927696,179.00085877970469,283.00150122559063,196.00101611339105
18073000190,18,073,000190,291.8576640946253,97.95222973038796,11.994150579231176,3.998050193077059,245.8800868742391,130.93614382327368,18.99073841711603,0,230.88739865020017,153.92493243346678,11.994150579231176,0,252.876674712124,130.93614382327368,228.88837355366164,154.92444498173603
18073000200,18,073,000200,596,221,48,12,527,297,37,0,477,352,26,0,567,277,524,327
18073000210,18,073,000210,296,79,13,6,262,108,20,0,261,115,12,0,296,71,249,135
18073000220,18,073,000220,297,83,19,0,285,92,15,0,278,110,8,0,307,60,253,131
18073000230,18,073,000230,117,44,8,1,111,49,7,0,101,55,7,0,115,41,104,58
18073000240,18,073,000240,115.00332568324382,27.000403113120463,6.000100778280116,6.718552007711057e-5,108.00332568324382,35.00057107692066,6,0,108.00319131220367,35.00063826244073,3.000067185520077,0,118.0033928687639,26.000369520360422,108.00329209048378,38.00057107692066
18073000250,18,073,000250,98.99667431675618,11.999596886879537,2.9998992217198843,1.9999328144799229,98.99667431675618,16.999428923079346,0,0,94.99680868779635,18.999361737559266,1.9999328144799229,0,100.9966071312361,10.999630479639576,97.99670790951622,16.999428923079346
18073000260,18,073,000260,384.5118226291201,156.27603696161762,21.11206597527837,6.002731842687414,343.48827386952405,195.3670114575661,24.040214378141776,0.014643503696059866,356.5039551978108,193.3172891643501,12.034750692766949,0,388.55269320076786,159.21882886817707,353.1365016840656,206.69905808503836
18073000270,18,073,000270,262.2170607809859,136.07455825690354,26.817593452910362,5.959471046171077,240.36557724092202,152.95978748239372,30.790565398737918,0,229.43989782618135,167.85844540667682,22.844608379653064,0,267.1831969486919,131.1083236334745,234.40608650360633,177.79088839867543
18073000280,18,073,000280,204.30143625812767,120.04647812042137,18.725081737715282,6.064820895108656,193.49074074058524,141.01132475866788,11.536582310026585,0.06572345936227775,207.65837574135065,125.91902212816777,9.296357278305736,0,226.32026474124663,101.06339603598154,189.1409852858502,143.71374670951147
