GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16USSRBLU,G16USSDKAN,G16USSLDIN,G16USSGMCF,G16USSCRYM,G16GOVRGRE,G16GOVDKOS,G16GOVLSPR,G16GOVGFIT,G16GOVITUR,G16LTGRPAR,G16LTGDCAR,G16LTGLHED,G16LTGGLEA,G16ATGRHAW,G16ATGDHEN,G16TRERSCH,G16TREDBAK,G16TRELOTO,G16TREGHEX,G16SOSRASH,G16SOSDSMI,G16SOSLMOR
29043000008,29,043,000008,1079.711365371634,356.18392780131427,74.04654993947916,8.004971334056394,8.0067796523204091,1001.6182520074411,453.2802020621911,50.03841713080003,12.01084759782962,15.009038701626988,1080.6693217793493,412.2503727093293,24.02124311609324,7.005423606268605,7.012204799758659,1094.6738398779626,344.212863205293,43.02756856973938,32.02621445014963,1129.7136161371536,365.2264215467028,1106.6928249079801,329.19342667364793,50.036608812536016,12.009491359131609,1121.7086448030973,330.1907140036057,58.046100942252444
29043000009,29,043,000009,198.8812344119781,32.06145844424836,7.5144043228707105,0.5009602881913806,0,178.3418625961315,59.11331400658292,1.502880864574142,1.0019205763827612,2.0038411527655224,168.32265683230392,66.12675804126225,1.502880864574142,0,3.005761729148284,181.8485846134712,47.591227378181166,5.009602881913807,3.5067220173396647,184.35338605442809,52.60083026009497,180.34570374889705,47.591227378181166,6.512483746487948,1.0019205763827612,183.35146547804533,46.08834651360702,9.017285187444852
29043000010,29,043,000010,126.44248261102194,30.1482075976458,1.799892990904227,2.2498662386302835,1.3499197431781702,107.09363295880149,48.14713750668807,3.149812734082397,1.799892990904227,1.799892990904227,106.64365971107544,48.14713750668807,1.799892990904227,2.2498662386302835,3.149812734082397,119.69288389513109,31.948100588550027,4.949705724986624,4.499732477260567,118.79293739967898,40.94756554307116,116.99304440877474,37.34777956126271,3.599785981808454,1.799892990904227,116.99304440877474,32.84804708400214,10.349384697699305
29043000011,29,043,000011,1359.7196792937118,332.92886509142494,59.997347234248465,7.952056175496946,12.282817036190036,1193.1333125064539,502.2710280054549,43.00197383287347,16.633386179040148,21.394030691492116,1198.9027531986146,521.1565251696476,25.88655057004214,11.763536217883871,22.02960217941924,1274.8364192595325,406.95641784167117,43.6213217313234,34.89262406140521,1338.73993377797,413.2606431223399,1317.1363439011084,362.96679157731967,38.281818629052616,15.513758961400617,1350.2471954360283,348.02853215102283,56.632100841305245
29043000012,29,043,000012,765.6827065095473,154.98112042516988,37.96497499452185,5.430582759596741,3.6247533350783017,662.527823049292,256.3596370544999,31.61838303662447,12.650626836160143,8.165515868457245,681.4562957916321,249.16905557152967,21.647037743648784,6.343318336387028,11.786995582025192,739.2755735913257,184.94426062675228,20.86197340576237,22.579415049501204,749.3418539081017,212.84622892600848,734.9312283485682,188.36277580667817,28.046007645711857,10.857891897683126,743.9865644432432,182.06528817143612,38.880984192822496
29043000013,29,043,000013,684.7918256965694,148.31485587119047,23.1269478579153,2.504850697111088,1.8747361055276557,599.1333545089071,228.9324103261853,25.01338971535994,6.876633665138511,10.011598953833031,602.8555132988228,240.83435305476866,6.911750920889456,2.504850697111088,8.755271687971828,655.3208108324576,178.91343473007677,11.921452315111631,11.937059984334274,677.7825268430385,179.02268841463527,675.304989567067,153.30894959619002,14.449714516056684,3.7728837148892747,663.4693794326798,167.6494104276882,26.962262249695144
29043000014,29,043,000014,1052.3649796678967,221.28575380509454,27.975885000650766,4.312050855175367,2.26938598208122,946.2718205787481,311.8514938294414,32.37288063028876,8.375064327029978,14.422595580701172,944.5345025500695,331.4148757764569,17.563620696931093,4.2889016766031665,11.423782295851245,994.0005486633482,249.44071150671812,26.263006355055428,29.78779913881751,1011.0219728102178,277.7539640596412,1013.3734993001071,225.28508381019208,36.21265575845073,10.50598491817537,1011.0473526390459,231.96804295399005,53.76204210036829
29043000015,29,043,000015,1459.1113630426264,349.5301606653024,66.38693886881177,5.007940741063265,10.884234989332521,1333.4463077458963,472.3503330866025,55.41388078547482,15.883293420995342,22.707881961074584,1328.6426601210433,502.83998018896676,24.808763660904777,10.910881917533853,24.68441132929856,1391.0410110158052,386.00268972874125,48.51823377019202,56.344410458483914,1438.7885966821962,428.34263073104887,1412.8450102320721,371.98933796316453,59.40246875952454,16.84935233160622,1431.7774796447077,336.57169090434104,97.75382178778247
29043000016,29,043,000016,488.8279411764706,126.69411764705882,14.083823529411765,2.0808823529411766,3.1779411764705885,429.7735294117647,173.7,17.905882352941177,6.258823529411765,6.372058823529412,429.6926470588235,187.20147058823528,7.404411764705882,3.1779411764705885,6.404411764705882,453.71176470588233,145.29264705882352,11.79264705882353,16.92205882352941,477.48823529411766,141.98823529411766,469.0676470588235,126.06617647058823,16.97058823529412,5.2749999999999995,472.375,135.48382352941175,14.601470588235294
29043000017,29,043,000017,1779.1058506253617,575.0421242284604,98.00648065053235,12.001188119264265,5.0017281734752945,1639.0971017471431,744.0533573560497,58.00442844453044,19.001188119264263,16.002160216844118,1714.1029343326222,703.0491449332037,42.002916292739556,1.0004320433688236,18.002052206001913,1756.1057426145196,585.0414761634071,61.00583258547912,48.00302430358177,1813.1118992325253,617.0435283694089,1800.1082268638904,537.0395319682474,70.00572457463691,18.00097209757985,1858.110711113261,510.03899191403633,79.00669667221676
