GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20HALRARM,G20HALDRAK,G20HALLPET,G20HALOWRI,G20GOVRBUR,G20GOVDLEN,G20GOVLHEN,G20GOVOWRI,G20AUDRGAL,G20AUDDHAR,G20AUDOWRI,G20TRERBEA,G20TREDHAU,G20TREOWRI,G20INSRGOD,G20INSOWRI,G20PSCRKRO,G20PSCDBUC,G20PSCOWRI
38015003003,38,015,003003,1409.2744251117658,559.0714497824333,47.068669452237856,8.002439506822064,1446.8990219220682,494.12910455798936,52.189756982464026,1.9782818226243721,1269.9086434542774,461.1719651284356,85.41666070640446,166.86448165136113,1371.4462891003034,560.6334302842374,6.976332302965411,1286.8247652413263,638.9706185976345,7.011746837991582,1640.978749343145,24.0842166766444,1353.8679298366112,564.0635691205957,6.957849156693177
38015003004,38,015,003004,1758.0806446302283,707.9901858362367,69.60551009579979,13.920947154091204,1833.6484981235537,589.6627434249458,85.51574868083705,3.9772554470171277,1609.9102909817464,570.7686783113958,132.25203995628834,189.9304296630993,1760.0613078644867,661.2609741067855,4.9719011624901635,1643.717072899298,782.5745660226205,13.920947154091204,2077.269110873728,11.93397869917641,1746.1424624506144,674.1836251544973,3.9774766828296304
38015003201,38,015,003201,481.2397649571483,259.44557428767035,25.411580377485684,2.8327590099689828,505.681931588191,220.44539896716978,35.10388806979338,2.08180986467217,446.32646160956955,226.46368059110375,39.40307232904991,48.06732482192546,474.07994180899124,267.62005779907474,1.1636197293443404,455.8623920939063,282.91815185176944,2.716741631053159,616.001013639445,16.636197293443406,479.119036110984,259.1865745369684,2.312579095441401
38015003202,38,015,003202,387.6923076923077,305.53846153846155,26.76923076923077,9.23076923076923,413.53846153846155,261.2307692307692,35.07692307692308,0.9230769230769231,352.61538461538464,274.15384615384613,37.84615384615385,57.230769230769226,395.0769230769231,298.15384615384613,1.8461538461538463,348.9230769230769,334.15384615384613,8.307692307692308,528.9230769230769,18.46153846153846,407.0769230769231,281.53846153846155,3.6923076923076925
38015003203,38,015,003203,251.07086614173227,153.33858267716536,13.48031496062992,3.37007874015748,257.13700787401575,136.1511811023622,17.861417322834644,0.337007874015748,227.1433070866142,136.1511811023622,26.623622047244094,23.92755905511811,243.6566929133858,154.3496062992126,0.337007874015748,239.61259842519686,163.11181102362204,0,323.19055118110236,11.79527559055118,242.64566929133858,153.33858267716536,1.0110236220472442
38015003204,38,015,003204,493.92913385826773,301.66141732283467,26.519685039370078,6.6299212598425195,505.86299212598425,267.8488188976378,35.13858267716535,0.662992125984252,446.8566929133858,267.8488188976378,52.37637795275591,47.07244094488189,479.3433070866142,303.6503937007874,0.662992125984252,471.38740157480316,320.88818897637793,0,635.8094488188976,23.20472440944882,477.3543307086614,301.66141732283467,1.9889763779527558
38015003205,38,015,003205,1115.1272453603954,498.69044513011465,50.52092744782207,10.59309769067237,1176.6486973331462,423.3164807926382,48.07636644228229,2.4445610055397777,1027.9379028294766,431.87244431202737,85.55963519389222,109.19039158077673,1103.311867166953,487.282493770929,2.4445610055397777,1034.864159011839,547.9890920751668,6.926256182362704,1360.8056264171428,29.334732066477333,1110.6455501835724,469.3557130636373,4.481695176822925
38015003206,38,015,003206,1042.779116326524,466.33600233235853,47.24318977876835,9.90583011490304,1100.309129686153,395.8522111301638,44.957228983021494,2.2859607957468557,961.2465146115528,403.85307391527783,80.00862785113995,102.10624887669289,1031.7303058137475,455.6681852855399,2.2859607957468557,967.7234035328355,512.4362117132534,6.476888921282757,1272.518176299083,27.431529548962267,1038.588188200988,438.9044727833963,4.190928125535902
38015003207,38,015,003207,579.0936383130808,258.9735525375268,26.23588277340958,5.501072194424589,611.0421729807005,219.831308077198,24.96640457469621,1.2694781987133665,533.8155825589707,224.27448177269477,44.43173695496783,56.70335954253038,572.9578270192995,253.0493209435311,1.2694781987133665,537.4124374553252,284.5746962115797,3.596854896354539,706.6761972837742,15.2337383845604,576.7662616154396,243.7398141529664,2.327376697641172
38015003501,38,015,003501,597.067927350544,404.0159641738681,36.81918885328355,12.936471759261787,655.7796068733475,341.32383180206097,36.81918885328355,0.9951132122509067,599.0581537750458,329.3824732550501,50.75077382479624,60.701905947305306,642.8431351140857,361.2260960470791,1.9902264245018133,567.2145309830167,421.92800199438443,4.975566061254533,799.0759094374781,19.90226424501813,650.8040408120929,351.27496392457005,0.9951132122509067
