GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38015000702,38,015,000702,911.8004393911388,261.40837795319425,74.53459255696971,5.197577725931086,5.2573309102547165,0,28.150574178080944,1114.5416327510002,134.6474244868444,27.57713347061905,7.599276011651127,2.0431791797782557,992.9898279233563,193.9478029719626,71.91797266972956,4.146111543880142,1081.1221567498899,149.70237900572496,33.109139166717505,6.189290723658398,992.7151531375125,168.83212097138724,7.121250537062079,877.0779642476832,249.6514194848882,78.68070410084985,5.018318172960193,925.2661490690557,186.58753969760602,86.07662942375568,5.137824541607454,977.8751202201521,156.42944838829604,73.30386682194788,4.02660517523288
38015000703,38,015,000703,1254.965337988196,332.7616457267465,102.07122051258517,10.798641183151783,5.8910472454045815,0,18.66185016162937,1444.3975640952624,199.28145877928307,58.87429495681747,17.674664924397508,1.9639362798321545,1298.1531244148614,284.6712163165527,114.85466636483225,4.902414860873879,1366.9339260530421,267.92432991973504,51.03934218586707,2.9436576579150486,1259.8384296986687,310.1917256370844,4.912011420528645,1120.4395488105956,364.21372004656496,131.52500959230923,0.9812445662666573,1177.3954522365666,290.55266700230254,126.61749169544696,2.9458663993057694,1180.4007253455243,264.0504568701947,141.28566448624258,2.9414489165243274
38015000704,38,015,000704,617.2249808290219,128.2428760464178,35.69221159803371,3.438317295873572,2.073559254880798,0.028431462876941423,11.241086722748378,685.6047539163347,78.64038699024128,16.992614062128855,8.447560293943727,1.0220556007681545,622.9186764750806,113.57052380306189,49.964934117404326,0.04518867048428191,672.2057970703279,88.24914349814962,19.95215461109119,0.029956348578263292,620.555750926885,114.42496128727907,1.1088748751003006,552.2303323593716,160.57949019082548,47.32271431719231,1.0784102312882633,592.987648043447,115.00686879648079,49.20587781580148,0.07260354289367543,612.82710814618315,96.61444263975797,47.469954583914756,0.11525073720908756
38015000705,38,015,000705,635.2089466992991,127.83740515489193,34.0821582634633,4.948233793901672,2.90371072263763,0.00186278414728138,10.861160697142148,702.2398239044346,83.59296577773098,15.385484088350298,8.986773483170888,0.9470080038962652,654.2971799698238,111.58166290288689,45.51652513526509,0.12592132239484835,702.0036479700215,86.40101012122048,18.024935338854906,1.0858018059435404,622.2982570107246,123.79748152001207,3.9088206378471657,568.6757705991394,150.43035326177224,47.89256784528992,0.06532522174784564,594.1320677403327,111.10069487100695,44.792653631254204,1.9203923722838347,614.7876739212275,103.65661935321016,29.675382354982812,0.08790385721194777
38015000706,38,015,000706,939.2874126536952,253.16196886495285,81.08277320984118,5.031297663030737,5.266673418535186,0,29.401685300536393,1107.9599683520253,158.0057682786012,34.566313680922256,11.80395755581806,1.1311789987291097,978.539399972374,235.6275334048697,83.17782717602515,3.202604813134588,1106.243435547737,164.28500439652015,27.500075930088016,4.862437106992638,996.8637151532047,196.79131840948853,3.929547500321149,889.5725924711189,268.11153040505275,81.81832931237405,0.9770328607007709,938.6238721164473,220.71207027508092,71.47657022785299,3.0337442570964885,976.4302322250251,174.9663963689554,74.31872673240017,0.9696756516958905
38015000707,38,015,000707,930.5804095473479,336.67044457135995,79.91594854551576,13.25451012398489,4.209693923978148,0,33.51096623941298,1092.3458090301442,226.2644542112071,40.75925066025539,31.346002110533988,0.08955115594219545,994.4069642558526,283.95947006945977,99.6898166833333,1.974704297780914,1057.9973395154323,262.82931748676,44.96987437750135,7.977210827852163,967.7726996062448,281.1351751838985,12.183185578759081,844.6750403229818,349.6033731105396,115.6395893726986,2.9611266534035634,893.3159420485496,304.5606137566302,97.64508688823416,3.136509792216725,934.7122785263463,268.4430063145112,98.11322802055047,1.974704297780914
38015000708,38,015,000708,933.8587916747117,273.88676983445714,72.96971949526157,5.999957400004823,4.998670491099797,1.9981372158527186,23.98984724561529,1113.7654541842417,169.9348319885851,31.9868327109835,14.996011473299392,0.0011091504893334804,1005.8128053047069,245.89510240468974,76.97930373283901,1.9981372158527186,1065.812379304755,203.90427380857065,38.983640417936016,3.9973835821947707,1001.7788197563641,205.9467770439967,4.000711033662771,897.8157904055988,283.90407552546475,79.97872785759675,2.997205823779078,938.8064412433022,255.884679333464,61.992165463454285,2.0003555168313856,960.8103519284473,206.92255349164705,84.95188788744188,1.9981372158527186
38015000801,38,015,000801,231.12303162960612,46.028769262239926,12.008013584344843,5.351507545279787e-4,1.0007060237492984,1.1467516168456688e-4,5.00146596583617,252.13808747866474,26.019274018775235,10.003161281995709,5.002765617668595,1.0000944228869806,228.1261886157957,48.02647347951072,16.008620626216135,1.5290021557942248e-4,238.13458673017502,34.023851907260564,20.003723260326566,3.8225053894855624e-4,200.11953114430128,65.03106022279319,2.0004946462051203,188.1103708083396,59.03622744355553,32.01070476821625,1.5290021557942248e-4,192.113844729253,51.029164926567034,32.01208087015646,1.0002473231025601,198.12068017541364,45.024546533532295,34.01062603861295,1.0001326479408754
38015000802,38,015,000802,115,26,3,0,0,1,1,130,20,0,0,0,113,27,10,0,122,24,3,0,105,28,0,101,33,9,0,99,27,13,0,107,21,11,0
38015000803,38,015,000803,200.32144548734607,17.8995601263466,6.145090342959129,4.0580361371836515,3.0580361371836515,0,3.0870542057754777,214.8147526534071,13.667415577611994,5.087054205775478,2.0580361371836515,0,194.669662310448,21.580361371836517,17.261162617326434,0.029018068591825864,197.8147526534071,24.63839750902017,9.14509034295913,0,173.6116261732643,39.493307166061044,0,175.2343912815706,29.957596263530252,18.232144548734606,1,172.26340935016242,21.84152398916295,17.29018068591826,0,162.55359003608066,30.667415577611994,20.261162617326434,0
38015000804,38,015,000804,1232,210,59,3,8,3,19,1350,136,29,21,0,1248,177,91,1,1345,141,36,3,1216,214,1,1112,262,89,0,1159,189,94,2,1198,155,96,3
38015000805,38,015,000805,1057,199.6222851746931,53.89801699716714,0.9981114258734656,8.98300283286119,2.9943342776203967,23.954674220963174,1164.7960339943343,120.77148253068933,26.94900849858357,23.954674220963174,0,1083.9490084985835,162.69216241737487,89.8300283286119,2.9943342776203967,1146.830028328612,147.7204910292729,34.933899905571295,6.986779981114259,1020.0698772426817,222.57884796978283,5.9886685552407934,968.1680830972616,229.56562795089707,93.82247403210576,0.9981114258734656,999.109537299339,177.66383380547686,85.83758262511803,1.9962228517469311,1045.0226628895184,146.72237960339945,88.83191690273843,0.9981114258734656
38015000806,38,015,000806,648,131.3777148253069,44.10198300283286,5.001888574126535,3.0169971671388103,0.0056657223796034,19.045325779036826,733.2039660056657,79.22851746931067,22.05099150141643,16.045325779036826,1,680.0509915014164,112.30783758262513,45.169971671388105,2.0056657223796033,711.1699716713881,97.27950897072711,28.06610009442871,1.0132200188857412,635.9301227573183,137.4211520302172,1.0113314447592068,602.8319169027384,133.43437204910293,66.17752596789424,1.0018885741265344,622.890462700661,115.33616619452313,58.16241737488196,2.003777148253069,654.9773371104816,86.27762039660057,62.168083097261565,1.0018885741265344
38015002801,38,015,002801,206,33,12,0,1,0,4,216,23,10,6,1,198,38,22,0,216,26,8,2,189,42,0,174,51,16,0,168,41,24,1,176,35,22,0
