GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOFUE,G20PREOKIN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSRERN,G20USSDGRE,G20USSLSTE,G20USSOHER,G20USSOWRI
19127127007,19,127,127007,35.42675698560542,16.124470787468248,0.5884843353090601,0,0.11769686706181202,0.23539373412362405,0,0.11769686706181202,0,0,33.54360711261643,16.712955122777306,1.0592718035563082,0.4707874682472481,0.11769686706181202
19127127008,19,127,127008,85.80980683506687,32.5037147102526,2.0802377414561666,0,0,0,0,0,0,0.2600297176820208,83.46953937592868,31.723625557206535,3.900445765230312,0.7800891530460624,0.2600297176820208
19127127009,19,127,127009,122.41271262309759,46.432408236347364,0.42211280214861235,0,0,0,0,0.42211280214861235,0,0,112.7041181736795,48.54297224709042,5.4874664279319605,0.8442256042972247,0
19127127010,19,127,127010,8.178155774395703,3.1020590868397493,0.02820053715308863,0,0,0,0,0.02820053715308863,0,0,7.529543419874664,3.2430617726051927,0.3666069829901522,0.05640107430617726,0
19127127011,19,127,127011,707,383,7,1,3,0,1,4,0,3,674,385,26,7,2
19127127012,19,127,127012,244.19019316493313,92.49628528974739,5.919762258543834,0,0,0,0,0,0,0.7399702823179792,237.5304606240713,90.27637444279345,11.099554234769688,2.2199108469539377,0.7399702823179792
19127127013,19,127,127013,455,214,6,0,0,1,0,1,1,2,429,219,15,7,1
19127127014,19,127,127014,418.00970873786406,230.0970873786408,13.03883495145631,0.7669902912621359,0,0.7669902912621359,0,0.7669902912621359,0,1.5339805825242718,387.33009708737865,249.27184466019418,17.640776699029125,4.601941747572815,0.7669902912621359
19127127015,19,127,127015,122.87486515641856,67.63754045307444,3.8327939590075513,0.22545846817691478,0,0.22545846817691478,0,0.22545846817691478,0,0.45091693635382957,113.85652642934197,73.2740021574973,5.18554476806904,1.3527508090614886,0.22545846817691478
19127127016,19,127,127016,365,171,14,2,0,0,1,2,1,0,348,189,12,3,0
19127127017,19,127,127017,311,161,5,1,0,0,0,1,0,2,296,170,6,4,1
19127127018,19,127,127018,74.6841271447978,37.226094430869715,1.6235679814086479,0.23193828305837827,0.23193828305837827,0,0,0.11596914152918913,0,0,66.56628723775457,41.98082923356647,3.363105104346485,0.46387656611675654,0.23193828305837827
19127127019,19,127,127019,61.48743718592965,30.64824120603015,1.3366834170854272,0.19095477386934673,0.19095477386934673,0,0,0.09547738693467336,0,0,54.80402010050251,34.56281407035176,2.7688442211055277,0.38190954773869346,0.19095477386934673
19127127020,19,127,127020,507.82843566927255,253.12566436310013,11.039748601505925,1.577106943072275,1.577106943072275,0,0,0.7885534715361375,0,0,452.6296926617429,285.4563566960818,22.868050674547987,3.15421388614455,1.577106943072275
19127127021,19,127,127021,181,438,5,1,0,0,0,1,1,0,151,432,22,10,0
19127127022,19,127,127022,302,500,8,3,1,2,1,5,1,4,274,487,34,7,5
19127127023,19,127,127023,490.18449122932515,695.8423429467201,20.965120806142217,3.9933563440270885,1.9966781720135443,3.9933563440270885,0.9983390860067721,3.9933563440270885,0,1.9966781720135443,471.21604859519647,676.8739003125916,33.94352892423025,11.980069032081266,0
19127127024,19,127,127024,824.0435842431921,862.0301127498418,26.000566029132365,4,2.000113205826473,2,0,8,1,4,794.0398484509185,864.0314712197595,39.001698087397095,14.001018852438257,1
