GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
220610009-4,22,061,0009-4,19.225773184824675,2.7465390264035245,4.577565044005874,7.324104070409399,4.577565044005874,4.577565044005874,31.127442299239945,26.549877255234072,3.6620520352046997,10.070643096812924,11.901669114415274
220610009-5,22,061,0009-5,2.7742268151753264,1.2534609735964752,1.4224349559941254,3.6758959295906006,0.4224349559941254,3.422434955994125,2.8725577007600527,5.4501227447659275,1.3379479647953003,0.9293569031870758,1.098330885584726
220610010-1,22,061,0010-1,8.20164486551984,5.796265659138831,2.288601387258971,2.288601387258971,3.390886452757821,7.968089227275763,124.1498258770549,81.03527110704029,4.0260602417685165,1.3030941408821592,51.633786530039785
220610010-2,22,061,0010-2,9,5,12,14,3,8,6,2,0,7.000000000000001,4
220610010-3,22,061,0010-3,30.253482772934827,9.031772519717725,7.57359900373599,21.145346616853466,2.4354420921544206,10.48994603569946,9.400863428808634,9.42631797426318,0.038181818181818185,9.324499792444998,4.173615608136156
220610010-4,22,061,0010-4,6.941794297713788,5.950109398040389,3.966739598693593,6.941794297713788,3.966739598693593,3.966739598693593,172.55317254317129,99.16848996733982,0,0.9916848996733982,82.30984667289205
220610010-5,22,061,0010-5,1.7983551344801596,1.2037343408611691,1.711398612741029,1.711398612741029,0.6091135472421788,4.0319107727242365,72.8501741229451,50.964728892959705,3.9739397582314835,1.6969058591178408,25.366213469960215
220610011-1,22,061,0011-1,23.058205702286212,14.04989060195961,13.033260401306407,12.058205702286212,10.033260401306407,8.033260401306407,175.44682745682871,121.83151003266018,1,9.008315100326602,86.69015332710795
220610011-2,22,061,0011-2,23,7,12,21,4,4,17,18,1,18,2
220610011-3,22,061,0011-3,4,0,3,1,3,3,28,22,0,4,11
220610011-4,22,061,0011-4,23,13,3,9,4,9,70,40,1,13,28
220610012-1,22,061,0012-1,80.51400966183574,51.41256038647343,36.861835748792274,36.861835748792274,7.760386473429952,31.041545893719807,126.10628019323671,152.2975845410628,7.760386473429952,56.26280193236715,95.0647342995169
220610012-2,22,061,0012-2,4,1,0,0,0,1,1,0,0,1,2
220610012-3,22,061,0012-3,0,0,0,0,0,0,0,0,0,0,0
220610012-4,22,061,0012-4,0,0,0,0,0,0,0,1,0,0,0
220610012-5,22,061,0012-5,0,0,0,0,0,0,0,0,0,0,0
220610012-6,22,061,0012-6,1.7642512077294688,1.1265700483091787,0.8077294685990338,0.8077294685990338,0.17004830917874397,0.6801932367149759,2.7632850241545897,3.3371980676328503,0.17004830917874397,1.2328502415458937,2.0830917874396135
22063000001,22,063,000001,372.91574585635357,270.4350828729282,102.48066298342542,98.68508287292818,38.90469613259668,43.649171270718234,31.31353591160221,55.03591160220994,5.693370165745856,246.71270718232043,37.95580110497238
22063000002,22,063,000002,233,188,61,48,24,32,24,37,7,127,19
22063000003,22,063,000003,296,188,113,107,42,48,29,30,8,216,17
22063000004,22,063,000004,331.40218445553324,281.9471478407864,110.48900336778831,87.73344732281875,46.50834715018312,46.21911321240865,22.93908998267568,38.77846822101765,15.437650863523682,260.7917087217863,30.547150172700178
22063000005,22,063,000005,380,323,103,107,27,42,37,54,10,226,25
22063000006,22,063,000006,272.8119840741769,171.8815430797012,67.95316819430047,79.94490375800056,16.98829204857512,35.97520669110025,5.995867781850041,24.982782424375173,8.993801672775062,161.88843010995112,13.990358157650096
22063000007,22,063,000007,135,120,33,31,11,25,22,21,9,128,16
22063000009,22,063,000009,178,162,68,71,38,29,67,51,17,104,39
22063000010,22,063,000010,194,115,62.00000000000001,62.00000000000001,36,22,20,28,6,141,20
22063000011,22,063,000011,180.0260091756123,108.01368903979595,49.019985998102094,63.019164655714334,47.00657073910206,33.004654273530626,58.026830518000075,63.01642684775514,14.001368903979595,107.02354514844905,22.023271367653123
22063000012,22,063,000012,150.02228235006308,98.0107390455009,63.02165999129159,93.02705549979773,31.005301472562394,31.010583564088442,46.03617038162104,33.023894170545304,12.999951330848297,103.02435444318499,8.026245069138769
22063000014,22,063,000014,188.03795537792664,111.8041317632822,82.28719836549604,58.43514130604118,58.60685811684294,45.65982954940157,32.48883905064439,33.5059081312914,8.633013884898267,170.2888181641056,13.315739525285197
22063000015,22,063,000015,70.95630238358069,50.95354266323235,22.00088515474876,39.94436352671818,21.986772251522957,7.013600310724069,16.979361891328345,11.992784864467067,5.991688131158265,63.962863363179196,5.992360174169018
22063000016,22,063,000016,340.68956354680745,236.3359214454346,88.22190326599144,99.8418267377362,35.56318360090611,37.18813142979122,44.35133542123994,56.38183521255547,11.13915589525633,250.02382188861029,36.39943161362471
22063000017,22,063,000017,170.5635432580402,136.08186713875136,88.05591581155953,51.9141358773454,16.640272978614124,23.510859915418155,43.93329508572928,24.537810488585823,7.829380279535346,113.88573276945436,28.388129910719165
22063000018,22,063,000018,135.31043645319255,112.6640785545654,49.77809673400856,41.1581732622638,16.436816399093896,11.81186857020878,17.648664578760066,20.618164787444524,5.860844104743669,139.97617811138971,17.600568386375294
22063000019,22,063,000019,231.27162489894906,141.2789005658852,49.350848827809216,65.80113177041228,28.062247372675827,31.93290218270008,28.062247372675827,40.641875505254646,11.611964430072756,208.04769603880356,34.835893290218266
2206300001A,22,063,00001A,90,99,23,15,37,8,1,2,1,98,0
2206300001B,22,063,00001B,234.68746722378043,261.2454476695588,79.01665095939276,75.74183429697109,35.166712676169745,28.584069517433925,17.673862080258047,38.634778744619474,8.732489098966546,207.34372017500058,21.63731194494016
2206300001C,22,063,00001C,191,164,61,43,23,19,15,15,2,130,4
2206300001D,22,063,00001D,340,240,77,76,30.999999999999996,54.99999999999999,39,35,11.999999999999998,188,15
22063000020,22,063,000020,63,41,10,22,4,8,2,9,1,37,5
22063000021,22,063,000021,305,249.99999999999997,86,94,31,52,111,87,15,173,44
22063000022,22,063,000022,110,77,38,26,34,13,8,17,4,135,11
22063000023,22,063,000023,175.96949891067538,216.31372549019608,69.52941176470588,54.93681917211329,12.875816993464053,33.47712418300654,14.592592592592593,26.610021786492375,6.867102396514161,163.9520697167756,12.875816993464053
22063000024,22,063,000024,333.81812993630575,378.4385630573248,140.96870997876857,92.36333248407644,44.65864968152866,65.57323821656051,38.82136050955414,67.78227091295116,11.967571974522293,266.2396806794055,28.83352186836518
22063000025,22,063,000025,217.4843955632955,209.5791278532942,77.14709849343728,58.98803398824203,24.181042321672763,15.473186923643334,40.15185076964434,37.08375273203286,3.6523217896422353,214.94246543320983,35.62870767540527
22063000026,22,063,000026,173,229,67,57,28,25,20,38,16,181,16
