GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
220950007-5,22,095,0007-5,521,391.98345864661655,8,4,7.332330827067668,509.99999999999994,18,109.33082706766916,147.65864661654135,35.998496240601504,9,12,6,3,7,1,10.998496240601504,4.666165413533834,4.666165413533834,1
220950007-7,22,095,0007-7,418.64996663415633,347.4455110107284,2.961295621374673,3.980647810687336,0.9806478106873364,412.11231456290744,13.864534674811354,114.95498177711617,153.41732970586725,30.07530414249782,26.518299881936247,1.6344130178122271,0.9806478106873364,2.9806478106873366,0.9806478106873364,0,2.961295621374673,4.980647810687336,1.9806478106873364,1.3268826035624455
22095004-13,22,095,004-13,0.15900210399759543,0.12383528704538622,9.017132551848512e-4,0,0,0.15088668470093175,0.0036068530207394047,0.04177938082356477,0.05229936880072137,0.01112113014727983,0.004207995190862639,0.0027051397655545534,9.017132551848512e-4,0.0015028554253080852,0.0015028554253080852,0,0.0036068530207394047,9.017132551848512e-4,0,9.017132551848512e-4
22095004-14,22,095,004-14,237.8903991339763,454.3697032826518,2.982896157223262,1.1235929973174648,1.1235929973174648,237.51164405688044,9.336571306398918,203.40179339727965,152.99474726417716,34.60017763325507,19.89510213912167,4.325022204156884,0.38788283472913176,6.273564135435795,0.38788283472913176,0.7357101625883329,6.661446970164927,3.3307234850824634,0.38788283472913176,0.12929427824304393
22095ZZZZZZ,22,095,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22097000001,22,097,000001,631.1773903125596,340.3904303818377,6.216784893725549,0.9999999999999999,1.3811215206114191,601.6071836394947,18.226539816283925,161.1063665872906,93.84396226944048,9.297662931145988,8.55170566959983,3.329589696321683,2.275395033860045,0.27539587453024983,0.797752808988764,0.3079736777626098,3.8334782099230518,11.186280266148787,0,1.0000008406702048
22097000002,22,097,000002,371.1461677331248,485.92455039899755,3.2247617531485386,3.2403068210107047,4.12874645621116,349.4197180592071,18.43859213210377,209.93137207748987,143.29894292110595,15.373762496525275,16.277273277828154,6.659887134640326,0.976249734714746,6.118265957434852,6.580776899488037,0.66729088639201,7.597906954036454,8.220723815695203,0.3877427184466019,3.2403068210107047
22097000003,22,097,000003,242.05400485436894,297.03580097087377,2.0115291262135924,2.0115291262135924,0.6705097087378641,227.3027912621359,8.716626213592233,107.95206310679612,94.54186893203884,11.39866504854369,8.716626213592233,7.375606796116505,0,2.0115291262135924,4.023058252427185,0,4.023058252427185,6.705097087378641,2.0115291262135924,2.0115291262135924
22097000004,22,097,000004,987.015044611735,172.78107628307416,3.777622299354623,5.973715651135006e-4,3.7413787012090367,939.4113595452076,26.35690073711463,79.9364840859628,42.48001652760529,14.226735411593054,8.700644837657872,2.001194743130227,1.3278781038374718,1.3284754754025851,1.0023894862604539,1,5.368892117316286,5.588573347249529,0.0011947431302270011,0.13882915173237753
22097000005,22,097,000005,51,46.99999999999999,0,0,0,48,1,16,19,0,2,0,0,0,0,0,0,1,0,0
22097000006,22,097,000006,256.92169712857105,349.581618081345,2.058060335876545,0.9994026284348865,4.0094615295409,258.61237597460564,14.110146956101955,101.86404470442918,110.40832975989169,14.193104066711436,18.107757469841502,1.998805256869773,0.011851015801354402,1.011253644236241,3.997610513739546,0,7.00766941484556,5.04441720537985,1.998805256869773,2.9982078853046596
22097000007,22,097,000007,509.0848563822648,91.65222473267416,0.6007281553398058,0.6007281553398058,0.20024271844660196,476.2140787884211,25.179192206165272,34.20221131045591,28.234223300970875,3.4041262135922334,2.6031553398058254,2.2026699029126213,0,0.6007281553398058,1.2014563106796117,0,1.2014563106796117,3.965560825019015,0.6007281553398058,0.6007281553398058
22097000008,22,097,000008,482,570,13,3,8,477,26,260,162,28,15,11,3,5,2,1,14.999999999999998,19,3,5
22097000009,22,097,000009,487.06073070813477,716.7072861800852,7.565558899757546,1,6.729408076247806,486.2294540590252,21.445932614329905,297.0271632806622,189.4689156425048,36.74438174065714,33.994080762478056,4,3.1405191873589167,1.1405191873589164,4,1,8.140519187358917,15.288002675361593,0,3.862962962962963
22097000010,22,097,000010,494.1972401515235,434.9428182700701,2.6469534050179213,1,5.204923759188385,462.3998487986043,31.350165675305757,188.00739555646885,133.0016926320459,16.756973774498114,9.710962539482177,8.14560172529008,1.646953405017921,0,5.851877164206305,4.557970354170464,5.902570811056763,12.67391106251139,1.9408602150537633,3.26424579308669
22097000011,22,097,000011,109.85461089848734,562.312070955592,5.057347670250896,0,4.20367839134925,128.90743271976186,24.109349371241116,202.08198165360548,157.3886155154608,26.783078184800438,33.46075572565458,7.263000425247555,1.0573476702508962,0,3.2610260616001456,0.14633072109835368,15.177966101694915,9.438992163295062,2.172043010752688,1.1443563574509448
22097000012,22,097,000012,55,671,7,1,4,71,27,250,219,47,18,12,1,2,4,2,14,14,2,7
22097000013,22,097,000013,650.5261850562287,261.101915677049,4.839381798010811,1.4313929313929314,2.43814595839611,617.7714537064822,23.695486872204125,119.7046173015405,70.03670337118113,15.31428148541554,16.120446081897157,4.034587657188981,0.2144469525959368,1.028180246549459,2.684192147763791,0.4175997387902864,3.577787441439422,9.62167290611462,0,0
22097000014,22,097,000014,739.1352040422507,259.21316942919884,2.6801041069506075,1.1797876166222738,0.21471450471342324,709.2318157702884,17.105615847575447,130.381766195557,67.28307780683242,10.639752095585196,12.995506948611265,6.627121652869937,1.074311666307819,1.3800905020555083,4.105808381539552,0.5820777160983346,1.807375569887894,11.292864594864488,0,0.05787476280834915
22097000015,22,097,000015,652.171916544365,367.0222556126851,6.000967635334137,1,3,620.1638529165805,41.0061283571162,106.0106439886755,105.0061283571162,7.000645090222758,21.000645090222758,4.000645090222758,4,1,9.676353341367753e-4,3.225451113789251e-4,4.000322545111379,18.00258036089103,6,1
22097000016,22,097,000016,938.8852280258311,41.50900175663286,1.8579003181336162,0,3.1640618215978256,875.1257421895998,24.779351143502957,15.10275277864133,16.353276986756274,0,3.347974759820961,1.8579003181336162,0.9289501590668081,3.7158006362672324,0,0,2.419024600754153,5.242741437401582,1.4900744416873448,2.2351116625310175
22097000017,22,097,000017,602,44,3,0,1,557,7,9,12,0,7,2,0,1,0,0,4,9,0,1
22097000018,22,097,000018,639.2925054063742,619.0514909878736,9.937975585474923,2.9627659574468086,3.9627767318013336,622.3324398577598,33.70551118610593,294.90822884883204,166.37196222269355,35.58766481031939,13.72118754225535,6.9379648111203975,1.0000215487090502,3.9503869329926533,0.9876102011913197,1,13.795425032552693,11.900773865985308,1,0.9875886524822695
22097000019,22,097,000019,85.3691294694433,681.5819747066521,4.451227800957178,3.150409266985726,12.526084921320093,98.1644541978742,33.47771153151283,210.45378664516534,229.35963193458014,41.54176918358179,30.022313453884802,6.6065439214607675,0.22865853658536586,4.840555153412675,6.760832730119012,0.9202775767063373,15.427751419413681,20.8752963361358,3.841291730259686,3.9195409998593256
22097000020,22,097,000020,204.93911292782624,433.3387787857314,5.534155704584598,2.5686070686070686,5.093733427819207,197.88042218290525,15.297001637859426,198.6979017565925,121.59964896308011,37.018624198082435,25.25126359212138,7.614345114345114,3.002257336343115,2.002257336343115,4.5686070686070686,1,3.0937334278192066,6.714850551193666,0,0
