GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
31153000039,31,153,000039,901.1586106979502,533.5957514629936,53.44003385655985,905.353219906967,578.6016110381412,910.5250378995826,533.5190382807896,1156.3421454578931,1147.434665740908,846.3951726527591,593.7979023030321
31153000040,31,153,000040,668.8861788617886,428.77319157806966,53.35844161860422,686.0371065249115,464.9807055335511,659.3578857156093,456.40524170198967,864.2161883584648,868.0275056169365,614.5749079285665,475.4618279943483
31153000041,31,153,000041,997.7912825406689,567.903326749373,56.44209148005948,1007.5237577398522,614.6129430302492,996.6580350207506,561.902301427018,1218.4982889100957,1224.2050911027764,931.0102976098004,607.3225726270001
31153000042,31,153,000042,699.1174680159804,472.7717259552357,61.6189319868718,704.9186366080457,523.7838806821007,719.2818920932586,485.32179224330196,901.3452447950636,905.1973846606469,668.2525182711257,525.7271697101603
31153000046,31,153,000046,794.1196535591602,279.1860799145628,38.74299441578124,806.2845932063152,301.2503418169745,785.6459483230705,283.43020701756353,906.8815228609204,902.2235582735831,744.24879913090615,301.58261700321435
31153000047,31,153,000047,412.2174784516021,184.31409482420733,24.55676820762171,407.6679731148039,220.01206177742438,404.4256514810296,199.67159357489848,504.8585013223774,505.719402098472,372.20898016393346,219.05692967197396
31153000048,31,153,000048,1182.5838381983428,584.2605405443433,61.219267930337054,1206.5996834447283,616.1250187097244,1177.9830754954771,590.5199156814722,1451.9850304302868,1450.2510746700361,1104.5668661941465,636.9460210806033
31153000049,31,153,000049,804.7971598421325,503.6699165618573,56.789973021736124,812.5429414221828,547.2107127647879,796.4732302710861,532.3157344499381,1023.679013499973,1026.3465773591229,757.0010466663238,540.1838924085014
31153000051,31,153,000051,1314.9097399268621,766.9008757267844,61.178110543487016,1329.6699064310853,811.3753702692607,1320.5654928903984,758.5450926502134,1678.0527051882477,1670.2207086921555,1234.250385257407,810.2387497455311
31153000052,31,153,000052,1154.8490566037735,762.2012578616352,67.9748427672956,1204.0849056603774,777.9088050314465,1180.9433962264152,737.0754716981132,1486.6352201257862,1480.5094339622642,1102.5754716981132,802.8930817610063
31153000053,31,153,000053,835.5488054199766,721.7655285603012,56.656667850427866,867.6030485975216,743.1872258313191,857.6692903545531,713.0667408967425,1135.0068727842374,1131.9767515505935,810.5246834760757,722.6992868032695
31153000054,31,153,000054,790.4511945800234,604.2344714396988,53.343332149572134,824.3969514024784,617.8127741686809,794.3307096454469,613.9332591032575,1094.9931272157626,1094.0232484494065,757.4753165239242,634.3007131967304
31153000055,31,153,000055,1001,693,56,1029,722,1016,682,1335,1327,952,704
31153000056,31,153,000056,662,459,47,668,501,683,449,848,850,636,481
31153000057,31,153,000057,547,497,43,565,520,557,506,783,783,539,512
31153000058,31,153,000058,572.440727024964,225.43899939452584,14.027340239782886,574.1132612295537,238.60257977418246,562.681643197051,204.2351900611148,656.5892135240517,657.3808744904616,523.3285301296256,232.0824550197595
31153000059,31,153,000059,771.6298914769344,315.65512192153307,46.679069985811445,765.3489706232788,368.58926084544873,752.0747310348002,334.42085672877005,907.6662129140062,896.263867916666,719.7946106243505,349.0840757574562
