GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
31055005-28,31,055,005-28,572,532,27,653,299,86
31055005-30,31,055,005-30,792.47544526081094,638.4682744921389,30.30215123060164,911.0533461317307,341.3572358955738,78.72740111070766
31055005-31,31,055,005-31,730.178828804783,610.4452036513105,39.25692627982704,881.3179949821172,280.68702290076334,66.73677467570597
31055005-32,31,055,005-32,441.4974954969341,355.2385310406004,12.057704708949881,514.7712394974757,182.72060212793284,38.95566136737654
31055005-33,31,055,005-33,177,192,7,181,127,34
31055005-34,31,055,005-34,289,264,12,302,165,44
31055005-35,31,055,005-35,825.0765306122449,804.454081632653,28.096938775510203,996.3877551020407,421.3469387755102,66.34183673469387
31055006-02,31,055,006-02,601.8960264509221,630.8936148797596,11.304259228067282,747.0774999253875,255.7664711274562,50.937620855177805
31055006-03,31,055,006-03,589.6530121083657,592.4682299561028,21.86418850888891,682.2509677304515,279.3718350468037,68.63959542912075
31055006-04,31,055,006-04,565.9694680831426,697.3742728044023,16.300055377356433,694.5243004930805,321.00983095194505,63.050193820747516
31055006-07,31,055,006-07,440.6502544912685,729.4210561873606,22.981759304533277,569.5479479819116,338.7311480102948,48.96113938791872
31055006-08,31,055,006-08,594.8080513092789,793.4046242384791,15.809938026617933,763.7610422156919,301.35983869052455,67.18772460683576
31055006-09,31,055,006-09,687.1439085958298,738.1919578113809,18.0038248131782,815.1847862866719,336.07291050120944,81.01625545600736
31055006-10,31,055,006-10,724,752,22,834,362,88
31055006-11,31,055,006-11,723,864,35,831,491,104
31055006-12,31,055,006-12,559.0936420824565,574.0884369430064,34.9425288902786,597.0443879773907,361.42697535345957,106.81345564667285
31055006-13,31,055,006-13,857.0583871333107,805.2635245129395,37.135939237247214,949.8982352264287,470.0628098188397,110.43055615286671
31055006-14,31,055,006-14,700.0268085796507,749.722223060357,33.40280758394653,785.4742512418014,420.1389057563517,95.10073081163716
31055006-15,31,055,006-15,574,556,21,720,224,53
31055006-16,31,055,006-16,785,664,24,950,286,66
31055006-17,31,055,006-17,596.3413026389441,458.48156664833755,26.77207496184656,668.7015873119019,242.30578415060157,57.76273159161082
31055006-18,31,055,006-18,192,171,7,191,114,31
31055006-19,31,055,006-19,843.7917042334817,622.6168869370715,21.427333856097494,929.9897133062711,324.8768764503202,72.03320383262034
31055006-20,31,055,006-20,732.2158672219914,605.3879852775491,20.572801954763012,795.0194199740978,327.1251437362298,91.96722057631872
31055006-21,31,055,006-21,876.4432806786316,589.2194091281785,17.063205260753303,1044.14379187612,247.92464161396907,75.19678159878546
31055006-22,31,055,006-22,994.7449378188453,577.2539984601226,23.112705983614454,1145.42793848713,259.5963880748437,57.576304476391925
31055006-23,31,055,006-23,619.1534168733263,373.2910878728755,17.466366962001146,660.2932695757764,203.8962491411736,60.43855371568756
31055006-24,31,055,006-24,822.1346788381438,515.56269022464,30.13251820625589,885.3169261491217,298.27938241451403,92.46501290395199
31055006-25,31,055,006-25,500,655,3,647,268,53
31055006-26,31,055,006-26,499.8435479437805,600.5947914627814,21.51968308172832,611.3546330036454,287.58121936491483,75.31889078604912
