GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOKEN,G16PREOFUE,G16PREOMOO,G16PREOLAR
34021010025,34,021,010025,497.8622703780759,72.3982982820708,6.94230257499309,3.967030042853194,0,0,0,0.9917575107132985,0
34021010026,34,021,010026,467,137,7,8,1,1,0,0,0
34021010027,34,021,010027,497.34724647265904,156.47999538318132,1.993375737365367,11.960254424192202,0,3.986751474730734,1.993375737365367,1.993375737365367,0
34021010028,34,021,010028,362,50.00000000000001,1,2,1,0,0,0,0
34021015001,34,021,015001,260.8888888888889,292.63202365863964,23.807351077313054,9.919729615547105,0,0,0.9919729615547106,0.9919729615547106,0
34021015002,34,021,015002,237,240,20,2,1,0,0,0,0
34021015003,34,021,015003,193.66954012221294,345.8229905832866,15.997303978143417,2.9905424385937565,1.9511941848390446,0.007272727272727273,0.007272727272727273,0.018411413579469765,0
34021015004,34,021,015004,475.0037483703762,93.00136684206393,12.000059687426372,10.000053718683736,1.1937485274483625e-5,0,5.968742637241812e-6,1.1937485274483625e-5,1.0000059687426373
34021015005,34,021,015005,558,186,12,12,2,1,4,1,0
34021015006,34,021,015006,393.5309650160138,301.11081414104086,15.900241010748033,3.9750602526870082,1.9875301263435041,0.9937650631717521,0,1.9875301263435041,0
34021015007,34,021,015007,1062.9496435933117,180.08772726519297,12.102545384823824,15.676547414749136,0.19313317673186448,0,1.0695394658455981,2.172248803827751,2
34021015008,34,021,015008,173,238,11,1,0,0,1,0,0
34021015009,34,021,015009,310,401,23,5,4,1,1,1,0
34021015010,34,021,015010,272.24682998091214,413.8550712164049,7.977929083689734,4.986205677306083,1.9944822709224335,0,0,0.9972411354612167,0
34021015011,34,021,015011,383,237,11,8,1,0,1,1,0
34021015012,34,021,015012,461.74842548236813,243.0334614754793,8.407951502570178,7.4895075258486745,0.9387016210992346,0.004493243115466514,0.9342844787000326,4.65063204410858,0.927430462952436
34021015013,34,021,015013,693.5151314579886,103.92733958448244,11.991616105901821,9.99301342158485,0,0.999301342158485,0.999301342158485,1.99860268431697,0
