GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34019105019,34,019,105019,209.24256086564472,251.91163210099188,4.102795311091073,5.743913435527502,4.102795311091073,5.743913435527502,0.8205590622182146,0
34019105020,34,019,105020,234.49859158939347,305.7972648120253,5.004817310042449,0.0072259650636735204,0.01686058514857155,7.002408655021225,5,1
34019105021,34,019,105021,203.72512777604555,264.77849801318627,6.148773856245673,2.665737917796359,6.14380074331922,2.6458454660905457,3.512874616008034,0.01491933877935999
34019110001,34,019,110001,212.30858987061035,422.2913188653042,5.379775702767804,3.4538967992364245,6.962867840267005,1.053546434876387,3.270857854865191,4.9510241183544785
34019110002,34,019,110002,256,305,11,5,1,7,2,0
34019110003,34,019,110003,150.67422330813838,268.13531137093446,0.8100764693985935,2.4302294081957805,0.8100764693985935,5.670535285790154,0,3.240305877594374
34019110004,34,019,110004,127,327,6,3,3,6,3,0
34019110005,34,019,110005,211.37986951808435,401.0319909519646,9.775598161143119,7.948612565856716,2.9734350601998942,7.948599449284114,2.0017293288843248,2.9152090099549244
34019110006,34,019,110006,151.69705550046973,357.49905516156235,2.106298685135516,0.19057377049180327,0.44467213114754095,0.06352459016393443,0.9896247524038236,1.9792495048076473
34019110007,34,019,110007,202.19801745090788,436.0794772580746,6.252188007568712,10.651915801100824,1.1824224039491118,2.41649391725375,0.9999996323518271,0.7645748073193712
34019110008,34,019,110008,230.76824959025183,312.99744671039207,9.012947238862049,6.0240852699411125,0.034770999074430806,5.0355248356506745,1.011741100340059,0.034770999074430806
34019110009,34,019,110009,115.00000000000001,244.99999999999997,7,0,0,5.000000000000001,0,0
34019110010,34,019,110010,194.33757215618402,394.60073324568236,1.0018149040655056,1.0054447121965167,0.0018149040655055396,4.012704328458539,0,1.0072596162620222
34019110011,34,019,110011,242,451,2,6,3,1,2,1
34019110012,34,019,110012,145.7325581395349,268.30232558139534,1.930232558139535,2.895348837209302,0,3.86046511627907,0,0.9651162790697675
34019110013,34,019,110013,276.0575690185826,319.88201798468197,2.0056858549386165,3.0170575648158486,4.0056858549386165,2.039800984570314,2,1.0227434197544651
34019110014,34,019,110014,135.24700556596125,239.16196498647065,4.1985643777479424,6.128221466287531,1.1607561237797528,5.058033030922845,2.8630782701475135,1.1055501463822754
34019110015,34,019,110015,115,245,5,5,1,4,2,0
34019110016,34,019,110016,179.69735722394947,284.1460805051772,1.0000022058890374,0.41621989269794535,1.000000367648173,4.2270273946752,3.6764817290890185e-7,0
34019115001,34,019,115001,186.85830790835433,120.90831688187633,3.996969153119879,2.997726864839909,1.9984845765599395,1.9984845765599395,0.9992422882799697,0
34019120001,34,019,120001,168.16648139939923,254.4080814061734,2.3451676838785294,2.9819666764821733,0.01664703589678846,0.025484238849547126,1.7463904859863058,0
34019120002,34,019,120002,201.78854625550662,293.557268722467,3.1189427312775333,4.1982378854625555,2.0198237885462555,2.079295154185022,0,0.039647577092511016
34019120003,34,019,120003,229.09440869685614,335.923788859701,1.180297787042671,3.1779971506247775,0.09053957239235767,1.029562482151809,0.090416585570057,2.459736446013531e-4
34019120004,34,019,120004,217.2786407466521,402.8092838485379,0.9921651663551824,7.937097570297916,0.9921482787669904,0.9921356130758464,8.443794095973128e-6,0
34019120005,34,019,120005,278.65527937041253,556.3562598388716,5.7257934117208045,9.542989019534675,0.9542989019534674,3.81719560781387,0,1.908597803906935
34019125001,34,019,125001,191,374,7,5,3,1,3,4
34019125002,34,019,125002,245.0000747206251,363.00012466546394,4.000003539398031,1,0,6.000003539398031,1.0000011797993436,0
34019125003,34,019,125003,248.07627030617704,298.22083549632805,7.0448003536067505,8.090288352004738,0.13680781758957655,6.090517566935149,3.999541570139176,0
34019125004,34,019,125004,176.95036035740105,356.121868579873,1.9730078921089553,3.958422782866009,5.875599181058522,3.9274052862457633,0,0.006203499324049159
34019130001,34,019,130001,308.80976676924064,388.34609828670864,8.065690077328158,3.0463318829062374,2.047017569823945,4.014139341748647,2.045965780419928,2.0104260052264893
34019130002,34,019,130002,301.31225058055503,413.9355823050723,5.858042337397792,7.9144786211845455,1.9224836454043237,3.915812536789467,0.023615081993606582,0.9848569046957684
34021005001,34,021,005001,551,335,9,12,8,8,3,1
34021005002,34,021,005002,878.6429505931446,509.1807053165665,4.814725376989324,8.643161366935253,1.9207025259856116,13.44491768189928,3.8414050519712233,0.9603512629928058
34021005003,34,021,005003,127.07799910763043,90.83962934861799,0.9458721902814439,4.703230370551325,0.940943108063347,0.020792376715744004,0.005940679061641144,0.001485169765410286
34021005004,34,021,005004,660.0646710296257,330.55891795232037,1.9762350950016765,7.835871310937637,5.871147727447472,6.9283343440173795,0.9881175475008382,2.9298181079679804
34021005005,34,021,005005,503,310,3,5,5,2,0,7
34021005006,34,021,005006,101.91470456682663,34.99449393740505,1.1770869260114472,0.34295320972549476,0.07621182438344327,0.5334827706841029,0.15242364876688655,0.03810591219172164
34021005007,34,021,005007,375.48792124837144,246.7066445666069,4.01922842358114,3.004807105895285,4,7.0168248706334975,1,3.0024035529476425
34021005008,34,021,005008,539.7558878275121,316.5048684067282,4.304218072052273,13.358765642405341,2.1832647935137084,14.29263159382989,1.0234163386670359,3.113113880718756
34021005009,34,021,005009,284,110,2,1,3,12,0,0
34021005010,34,021,005010,192.6374249778021,91.34511240255738,2.1270829299881835,5.423609766627278,1.0423609766627278,3.4659707432900055,5,0.29652683663909457
34021005011,34,021,005011,534.3625750221979,188.65488759744264,2.872917070011817,9.576390233372722,0.9576390233372722,10.534029256709994,0,6.703473163360906
