GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35001000039,35,001,000039,178.35244210780445,364.02540836968274,71.05412494118036,7.472330641219514,2.527984772444813,0.060947022420534555,0.006977976972756829,0.7883322104129648,167.7886329260608,434.0223120607474,279.74238544041856,309.48860027725897,213.8181253482461,373.6729005680087
35001000040,35,001,000040,151,324,53,5,1,1,1,0,146,362,188,313,145,357
35001000041,35,001,000041,109.36431400659717,240.98024168553232,43.08291157835646,2.840631532638888,0.47343858877314793,1.420315766319444,0,0.47343858877314793,130.66905050138882,252.816206404861,157.18161147268512,216.83487365810177,121.20027872592587,253.7630835824073
35001000042,35,001,000042,120.1024912441432,266.5689439809032,61.5159101494392,5.8586581094704,2.9293290547352,0.9764430182450666,0.9764430182450666,0,115.22027615291786,320.27330998438185,170.87752819288667,259.7338428531877,129.86692142659385,300.7444496194805
35001000043,35,001,000043,51.22275449844931,119.31527844249571,16.86976944559708,0.6134461616580756,0,0.6134461616580756,0,0,57.35721611503007,122.99595541244416,75.14715480311426,104.28584748187285,55.2101545492268,121.76906308912801
35001000044,35,001,000044,122.0115348072306,269.2700769848174,45.134040465344675,5.796551053740462,1.583911270492148,0.5190715397127849,0.5324198653896816,0.5190715397127849,122.31187213496078,294.1855108910311,171.3582150558236,240.8464382328586,125.71845137644304,276.1114452808219
35001000045,35,001,000045,127.56672760511884,246.15904936014627,46.111517367458866,3.241316270566728,0,0,1.2413162705667276,0,127.0237659963437,271.6069469835466,161.0402193784278,229.4442413162706,113.17001828153566,276.85740402193784
35001000046,35,001,000046,178.84043013254325,416.1201710097677,56.94381032438115,14.058988145273823,0.011797629054764384,2.0117976290547643,1.0235952581095287,2.0117976290547643,175.0881803426933,461.61567143006783,247.66626416637675,385.0021947192201,156.80503724537897,463.757242978725
35001000047,35,001,000047,70.00576822106564,151.01608895822068,16.00290539756813,5.000190096006435,3.50596679211967e-5,3.50596679211967e-5,1.0000701193358423,3.50596679211967e-5,75.00653110989228,161.0175851405403,84.00833781962139,148.01566437320733,68.0056778397287,163.01799697795525
35001000048,35,001,000048,62.22032610764008,173.10013801740897,31.907859542379533,1.9942412213987208,0.39884824427974414,0.39884824427974414,0.7976964885594883,0.39884824427974414,70.59613923751472,189.85176427715822,90.13970320722217,169.11165557461152,61.023781374800855,194.63794320851514
35001000049,35,001,000049,22.8746264910289,86.20874858806516,10.579514752100867,1.8585634023960982,0.5718656622757226,0,0.2859328311378613,0,29.308115191630776,86.20874858806516,34.74083898325014,77.77373006949826,24.447257062287136,88.2102784060302
35001000050,35,001,000050,78.2397545547287,185.71789489461557,32.75782111114939,2.436532148763178,0.27072579430701976,0.27072579430701976,0,0.5414515886140395,82.30064146933401,204.93942629041396,113.97555940325532,166.49636349881715,84.73717361809719,193.2982171352121
35001000051,35,001,000051,85,364,37,2,1,1,2,0,102,361,131,331,87,378
35001000052,35,001,000052,172.78384607266423,377.8996335473236,77.74012355152708,7.022373042744522,3.8573250829524834,0.6689736742310097,0.48940679569349743,0.5257054401177349,197.25450559706476,414.69869461583943,253.65849797031012,346.73110890358754,199.20584668343673,395.71327367555654
