GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45019000205,45,019,000205,312.1137855579869,196.6870897155361,0,262.24945295404814,230.85339168490154,0,236.39387308533918,13.851203501094092,235.47045951859957,11.080962800875273,0.9234135667396062,284.4113785557987,12.00437636761488,207.7680525164114,1.8468271334792123,304.72647702407,16.62144420131291,255.7855579868709,6.463894967177243,13.851203501094092,123.73741794310722,286.25820568927793,1.8468271334792123
45019000206,45,019,000206,425,239,1,374,276,0,359,10,271,15,0,402,10,246,0,357,19,291,9,41,147,314,2
45019000207,45,019,000207,422,201,1,387,227,1,353,10,237,12,1,387,17,217,2,321,24,251,15,35,195,262,3
45019000208,45,019,000208,500,53,0,497,60,0,470,17,55,16,0,488,17,46,0,180,24,72,17,53,193,109,0
45019000209,45,019,000209,383,94,0,368,110,0,350,7,113,7,0,360,13,106,0,204,23,124,17,42,136,146,2
45019000210,45,019,000210,254,49,1,240,64,0,235,4,60,4,0,237,13,56.00000000000001,0,118,8,69,6,16,94,82,0
45019000211,45,019,000211,518.8862144420132,214.3129102844639,1,497.75054704595186,230.14660831509846,0,466.6061269146608,12.148796498905908,235.52954048140043,16.919037199124727,0.07658643326039387,514.5886214442013,13.99562363238512,206.2319474835886,2.1531728665207877,383.27352297592995,20.37855579868709,264.2144420131291,19.536105032822757,43.14879649890591,238.26258205689277,289.74179431072207,0.15317286652078774
45019000212,45,019,000212,585,145.99999999999997,0,550,167,0.9999999999999999,516,15,169,18,0.9999999999999999,556,21.999999999999996,148,0,301,26,197,28.999999999999996,48.99999999999999,213,242.99999999999997,3
45019000213,45,019,000213,606,66,0,580,85,0,550,19,83,13,1,573,20,75,0,238,27,93,21,61,255,132,2
45019000214,45,019,000214,410.00000000000006,72,0,393,89,0,377.00000000000006,15,83,7,0,381,22,74,0,187,19,93,22,45,185,109.00000000000001,2
45019000215,45,019,000215,459.94927076727964,32.22574508560558,0.9765377298668357,452.13696892834497,42.96766011414077,0,433.58275206087507,16.601141407736208,35.15535827520609,7.812301838934686,0,429.67660114140773,23.43690551680406,39.061509194673434,0,119.13760304375396,14.648065948002536,43.94419784400761,6.83576410906785,72.26379201014585,116.20798985415345,50.77996195307546,0.9765377298668357
45019000216,45,019,000216,622,98,0,600,118,1,574,12,117,14.999999999999998,0,585,23,108,0,246,36,128,29.999999999999996,51,231,174,4
45019000217,45,019,000217,541,94,0,497,122,1,467,17,132,10,0,498,29,108,0,238,19,152,29,41,197,201,0
45019000218,45,019,000218,688,52,0,674,63.99999999999999,0,641,22,60.99999999999999,17,0,650,31,53,1.9999999999999998,200,27.999999999999996,75,22,85,217.99999999999997,100,3
45019000219,45,019,000219,414.99999999999994,48,1,399,65,0,392,5,57,8,0,405,6,49,2,125,14,68,17,33,144,89,3
45019000220,45,019,000220,715,163,1,665,199,1,634,17,195,23,0,697,24,152,2,334,30,213,41,56,265,270,4
45019000221,45,019,000221,334.0896774193548,41.41096774193549,0,333.1529032258064,40.37935483870968,0,317.12129032258065,14.031612903225806,37.284516129032255,4.063225806451613,0,326.9316129032258,10.284516129032259,36.284516129032255,0,85.29612903225807,8.09483870967742,47.347741935483874,5,59.01161290322581,69.9483870967742,48.4741935483871,0
