GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PREASKE,G16USSDDIX,G16USSRSCO,G16USSLBLE,G16USSASCA,G16USSOWRI
45079000512,45,079,000512,872.5587188291315,163.54355336079124,18.606751579970258,8.81372443261749,15.668843435764428,6.855119003146937,2.93790814420583,798.1317125092505,252.66010040170138,11.75163257682332,7.834421717882214,0.9793027147352767
45079000513,45,079,000513,1034.8613988769316,112.76696053335898,15.967003261360565,15.967003261360565,9.979377038350352,0.9979377038350353,0,980.9727628698397,161.6659080212757,11.975252446020423,3.9917508153401413,0.9979377038350353
45079000514,45,079,000514,779,760,46,19,29,5,2,633,942,17,8,1
45079000515,45,079,000515,1190,380,23,14,13,1,2,1101,442,17,18,1
45079000516,45,079,000516,671.2082649264871,892.0713374991701,62.0070999406757,8.004057108957541,46.002704739305024,3.3809241312850397e-4,4.001014277239386,405.18358418032875,1206.097370614981,25.004057108957543,8.002028554478771,3
45081000001,45,081,000001,70,264,9,3,1,3,1,82,257,2,5,0
45081000002,45,081,000002,22,171,1,1,6,1,0,26,173,0,2,0
45081000003,45,081,000003,35.575272998234716,236.06575908737423,0.9359529730417016,2.807858919125105,0.972193063641928,1.8537859007832898,0,29.213862662593993,234.87612548013092,7.496683806983669,4.670704842558451,0
45081000005,45,081,000005,318,179,5,2,1,1,0,323,161,8,0,2
45081000006,45,081,000006,212,217,3,2,0,1,0,184,225,6,4,1
45081000007,45,081,000007,82,591,13,4,5,0,1,67,611,8,2,1
45081000008,45,081,000008,107.62781130829055,770.9484731105306,12.83475963126445,1.167522445425337,7.20787917004474,3.9120499654685763,3.843137254901961,114.69786505720205,743.0817343782842,12.425277002071885,11.667237185839113,0
45081000009,45,081,000009,257.47932873987946,401.5005797677559,13.011806126598016,2.0035418379794048,0.007083675958809566,1.0023612253196033,2.0011806126598017,236.44509097274522,402.5041216057353,13.022431640536231,5.0070836759588095,0.0011806126598015942
45081000010,45,081,000010,78,227,2,3,0,0,1,82,213,6,2,0
45081000012,45,081,000012,39.044167610419024,134.42695356738392,2.001132502831257,0.0033975084937712344,0.005662514156285391,0,0,44.060022650056624,125.39411098527746,3.0101925254813136,2.0045300113250284,0
45081000013,45,081,000013,75,83,0,0,0,0,0,73,82,2,0,0
45081000014,45,081,000014,69.37218869170945,438.0515268894694,5.1652403687355495,2.832477554574663,6.792120829955259,1.0879500345314237,0.1568627450980392,74.30213494279795,423.91826562171576,12.574722997928115,2.3327628141608865,0
45081000015,45,081,000015,91,359,6,1,1,0,1,83,345,10,1,0
45081000016,45,081,000016,318.24462574323366,256.1546169377159,6.074686885381192,4.023470417477802,3.044945175211646,3.0152034650420996,0.008932172350355703,302.04745819713605,261.1681090564739,7.135119839094806,2.045610395126299,0.006936512606396901
45081000017,45,081,000017,546,251,10,6,3,0,0,509,243,15,6,0
45081000018,45,081,000018,299,409,15,4,4,1,1,261,433,14,8,0
45081000019,45,081,000019,41.38055939134626,391.5072873452419,1.0629145241270415,3.1887435723811244,5.022144422201786,0.1462140992167102,0,54.72611468734938,362.7297635345916,9.493123667535018,4.324765146116521,0
45081000020,45,081,000020,155.47121380370717,150.23487520340063,0.005853587623691724,0.002926793811845862,4.003658492264807,0.001463396905922931,1.0021950953588845,149.47560399442494,150.22682652041806,6.003658492264807,1.0043901907177688,0
45083000001,45,083,000001,202,558,8,3,7,1,4,186,534,23,5,0
45083000003,45,083,000003,305.8286461739699,274.09090909090907,9.422498364944408,8.211249182472205,7.236102027468934,1.0869849574885546,2.012426422498365,275.64813603662526,291.9856115107914,8.521909744931328,2.086984957488555,1.0372792674950948
