GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSRGRA,G20USSDHAR,G20USSCBLE,G20USSOWRI
45051000230,45,051,000230,659.4601012773119,339.5444699004854,5.509849410149864,3.4436558813436653,1.0330967644030997,635.6988756960407,354.0078246021288,13.430257937240295,0.3443655881343665
45051000231,45,051,000231,433.3514508899819,253.33877623470133,4.278503254696725,2.1072828144280247,0.5725171262823857,431.6113149190683,256.79793519297465,4.837347582845652,0.19488302672356547
45051000232,45,051,000232,1009.3916770515522,594.929111677129,10.732636940384227,4.769141267179089,1.2712848138909072,1002.9146086001131,604.285664484655,12.375545906889084,0.522961612045133
45051000233,45,051,000233,592.5399610136452,197.16140350877194,4.4869395711500974,1.0557504873294348,0.5278752436647174,590.164522417154,196.1056530214425,7.918128654970761,0.2639376218323587
45051000234,45,051,000234,490.5031052217739,221.10154312817056,2.813593337792202,1.8757288918614683,0.9378644459307341,487.9239779954644,218.75688201334373,10.550975016720757,1.406796668896101
45053000101,45,053,000101,108,301,0,2,0,108,302,2,0
45053000102,45,053,000102,212,272,3,1,0,210,273,5,0
45053000103,45,053,000103,549.2259649122807,385.27298245614037,2.007017543859649,4.000701754385965,0,529.2119298245614,400.2863157894737,13.009122807017544,0
45053000104,45,053,000104,537.7225009648785,1025.3164801235043,11.006175221922037,4,0,504.69162485526823,1056.336549594751,20.02006947124662,0
45053000105,45,053,000105,441,139,4,1,0,427,148,14,1
45053000106,45,053,000106,633.4251021509522,494.56366766890244,3.647624187289595,0.729524837457919,0.6862745098039216,622.2717086834734,496.81711767275715,12.590817978567573,0.02162516382699869
45053000107,45,053,000107,203.92934575466685,374.8607374871595,2.157473699125075,2.0159271722574474,0,196.85590733590735,381.9518692217775,3.165437285253799,0.017693315858453473
45053000108,45,053,000108,NA,NA,NA,NA,NA,NA,NA,NA,NA
