GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRROM,G18USSDWIL,G18USSIMCC,G18USSLBOW,G18USSCAAL,G18USSOWRI
49005HYR02B,49,005,HYR02B,11.169811320754716,2.094339622641509,0.1861635220125786,0.5584905660377358,0.4654088050314465,0.04654088050314465
49005HYR03I,49,005,HYR03I,266.316039758568,53.2632079517136,2.7455261830780207,10.432999495696478,11.531209968927687,0.5491052366156042
49005HYR03U,49,005,HYR03U,226.93224931094946,45.29017924523358,2.3361022046824984,8.821922795811538,9.991704248542582,0.5224860229184559
49005HYR04I,49,005,HYR04I,504.6592718631317,61.45936243959237,4.328124115464251,18.178121284949857,27.69999433897121,4.328124115464251
49005HYR04U,49,005,HYR04U,73.59614363795205,8.962823667743733,0.6311847653340656,2.6509760144030756,4.03958249813802,0.6311847653340656
49005HYR05I,49,005,HYR05I,96.24065763953926,19.03364816719792,2.1104671468321015,4.839258503080526,6.791155218497278,0.04835454449863012
49005HYR5UE,49,005,HYR5UE,225.21402134039823,45.337170157056086,5.172884671373222,11.600648152917424,16.20473467211577,0.009021731217017572
49005HYR5US,49,005,HYR5US,33.051533910122025,6.525496126245682,0.7337329681081632,1.6116273624724413,2.3499863558194254,0.013836977801191842
49005LEW001,49,005,LEW001,316.63540920034177,43.08472122671224,0.017650255565049386,17.02824040890408,16.03883056224311,0.0070601022260197545
49005LEW002,49,005,LEW002,184.22503290894366,24.2381668957325,3.876948161275137,7.755505408719807,10.665630158930458,0.003218172339065253
49005LOG001,49,005,LOG001,121.45677349677781,107.59291905699611,8.106851320543573,10.178725050063271,4.252133617560526,0.07225743901408696
49005LOG002,49,005,LOG002,212,143,10,17,17,0
49005LOG003,49,005,LOG003,269,126,8,22,10,2
49005LOG004,49,005,LOG004,239,143,1,29,11,1
49005LOG005,49,005,LOG005,300,275,10,26,22,0
49005LOG006,49,005,LOG006,197,150,4,13,11,1
49005LOG007,49,005,LOG007,107,106,3,12,2,1
49005LOG008,49,005,LOG008,97,102,0,9,3,0
49005LOG009,49,005,LOG009,213.29759299781182,184.47921225382933,10.190371991247265,10.190371991247265,11.529540481400437,0.1487964989059081
49005LOG010,49,005,LOG010,138,115,6,9,3,0
49005LOG011,49,005,LOG011,157,103,3,7,12,0
49005LOG012,49,005,LOG012,64.26315789473685,50.36842105263158,1.1578947368421053,9.263157894736842,2.3157894736842106,0.5789473684210527
49005LOG013,49,005,LOG013,362.3272727272727,256.3272727272727,2.890909090909091,10.6,13.490909090909092,2.890909090909091
49005LOG014,49,005,LOG014,200.48391720038396,155.1499684063764,4.39243643637236e-4,8.716035573918868,3.487171924852821,0.8716145384829777
49005LOG015,49,005,LOG015,143,143,2,14,11.999999999999998,1
49005LOG016,49,005,LOG016,233,143,3,14,15.000000000000002,0
49005LOG017,49,005,LOG017,233,120.99999999999999,1.9999999999999998,23,13.999999999999998,0.9999999999999999
49005LOG018,49,005,LOG018,127,76,8,5,4,0
49005LOG019,49,005,LOG019,174,69,2,9,9,0
49005LOG020,49,005,LOG020,401,185,3,17,8,1
49005LOG021,49,005,LOG021,225,166,3,12,9,2
49005LOG022,49,005,LOG022,414.66098918191835,201.64537095563034,6.965945521865855,7.383963539883873,14.887544143874852,0.8511485956386373
49005LOG023,49,005,LOG023,187.73684210526315,152.6315789473684,1.8421052631578947,12.736842105263158,5.684210526315789,1.4210526315789473
