GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16PREOWRI,G16USSRAYO,G16USSDHAS,G16USSLCHA,G16USSIDAY,G16USSOWRI,G16GOVRSUN,G16GOVDVAN,G16GOVLABR,G16GOVOWRI
33011NASH06,33,011,"NASH06",1703.2546320548445,2311.184247601035,149.2721482167217,40.06043391619464,5.008056745740302,80.09479993272653,1671.1406058034283,2302.2385057876468,87.1570732493664,149.22964222302573,0.0060342361628530055,1673.1946725577652,2170.9007966410863,245.4267911225343,20.018252525051288
33011NASH07,33,011,"NASH07",1725.5848436586832,2196.652299248451,165.72996391155172,31.479046879126837,4.061785880707869,64.0197810626614,1763.4068988921406,2208.425158976952,75.09163227003263,118.54201469816853,2.0530543623066615,1752.3212636863486,2120.002180500483,188.54385381704682,24.134481181679007
33011NASH08,33,011,"NASH08",1987.482692879266,2668.501250767947,217.41041294645524,40.702439602093754,2.9783472340751045,102.2514396969168,2186.0232673675605,2576.18190650526,100.26682149120815,103.2478700469892,1.9855186462773182,2157.2344937604034,2486.833775216758,195.57282474706545,10.921252995093901
33011NASH09,33,011,"NASH09",2158,2784,184,38,6,78,2421,2608,74,95,1,2370,2570,162,3
33011NBOS01,33,011,NBOS01,1788.9810908381214,1378.6771882466646,160.72842815659675,22.961663844647056,2.9949246608872095,33.942853095654364,1919.7613069859672,1359.7096769277528,43.926165209749776,79.86520366261178,0.9983369591879924,1822.9249210561125,1347.7296046786046,156.7355688810131,10.981419162145357
33011NIPS01,33,011,NIPS01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33011PELH01,33,011,PELH01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33011PETE01,33,011,PETE01,1148.9243490323531,2423.1356225700097,165.6530540224244,53.59072919526727,0.9755366320001961,37.032520079220745,1327.2036583102388,2387.1070414514593,64.31200257262904,70.16887582157413,3.8968817964245637,1285.3091521743738,2337.408217903801,133.50823492502184,8.769828822328806
33011SHAR01,33,011,SHAR01,94.10363167408751,132.08910400761877,11.01091731249935,4.00252377335624,3.417777629016576e-4,6.003166870905353,104.10486028047404,129.09239016012424,9.004198941343251,3.007050215492582,2.8564276151119407e-5,102.10388702958268,129.08822372526484,11.011399253925575,1.0005905869883638
33011TEMP01,33,011,TEMP01,401.64610838656006,407.80497887645794,32.2126668209918,16.068206044323382,8.001350951493702,12.06018892811237,443.8102681447322,386.79809717040547,16.09479467645452,25.101745334090836,0.003600284367957765,395.7616284036481,397.74592976709215,45.17444930533452,6.019703098959686
