GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDBOL,G20USSRMAR,G20USSLBUC
2005100010A,20,051,00010A,133.49188540938184,175.98813654192833,9.306650751633908,131.76614847939405,168.00044305926525,17.158751013957986
20051000110,20,051,000110,200.84000955833125,308.7285968941453,15.674768351023832,198.87958042817044,296.9674662282242,27.435899016944905
20051000120,20,051,000120,175,226,19,184,218,17
20051000130,20,051,000130,132,184,8,140,168,16
20051000140,20,051,000140,153,252,6,161,229,18
20051000150,20,051,000150,97,203,4,99,187,16
2005100016A,20,051,00016A,116,261,20,126,254,17
20051000170,20,051,000170,220.61379310344827,475.28275862068966,20.220689655172414,231.87586206896552,460.82758620689657,19.551724137931036
20051000180,20,051,000180,190.59560246609038,521.5437401029625,20.132855756914665,197.44641914367227,512.0120140517116,20.70839351379182
2005100019A,20,051,00019A,396.28023490772193,1080.9411700633752,15.614428498277489,414.67133604718896,1048.697254659172,39.12557210627892
20051000200,20,051,000200,140,376,14,154,358,17
2005100021A,20,051,00021A,197.45448680335522,412.9560429972541,21.96691518494143,201.3671631206681,386.83794726048205,41.13348176381445
20051000220,20,051,000220,141.75528783274663,371.7358946662936,8.921661471991046,143.73787927096686,354.8838674414216,25.773688696863022
20051000230,20,051,000230,302.3804087488999,743.0202807086455,11.936068766403944,313.32180511810355,705.222729615033,35.80820629921183
20051000240,20,051,000240,187.3733775056466,581.285356204659,17.040125513384123,198.40234121172952,563.0138597872299,27.194734808710262
20051000250,20,051,000250,19.27995394303418,141.18356668467004,3.117270768664645,21.502216788238854,136.65670823268263,6.41979025087989
2005100026A,20,051,00026A,0,0,0,0,0,0
20051000280,20,051,000280,23.935309973045822,131.64420485175202,2.9919137466307277,23.935309973045822,119.6765498652291,10.970350404312669
20051000290,20,051,000290,62.682675814751285,402.54030874785593,5.876500857632933,73.45626072041166,377.07547169811323,20.567753001715264
20051000300,20,051,000300,14.995065865618624,70.23592196346819,1.0527414229114385,15.804722260281528,66.97330511855327,3.4886047320322966
20051000310,20,051,000310,38.064690026954175,184.35579514824798,3.008086253369272,49.064690026954175,161.32345013477087,13.029649595687331
20051120030,20,051,120030,52,239.99999999999997,5,61.99999999999999,223.99999999999997,11
20051120040,20,051,120040,20,77,3,19,75,5
20051120050,20,051,120050,68.00314436133483,261.9661723627055,4.399695423278146,66.63280320440708,252.01020963822856,14.045698888068763
20051120060,20,051,120060,17,74,1,16,74,2
20051120070,20,051,120070,22,75,4,21,73,6
20051900010,20,051,900010,0,0,0,0,0,0
20051900030,20,051,900030,0.6438116399577303,2.754669475884715,0.04221715671853969,0.62270306159846045,2.649126584088366,0.14776004851488894
20051900040,20,051,900040,0.054764006662237436,0.23431812686629463,0.0035910824040811438,0.052968465460196866,0.2253404208560918,0.012568788414284002
20051900050,20,051,900050,0,0,0,0,0,0
20051900060,20,051,900060,0,0,0,0,0,0
20051900070,20,051,900070,0,0,0,0,0,0
20051900080,20,051,900080,0.13374440419822597,0.572250647471098,0.00877012486545744,0.12935934176549727,0.5503253353074544,0.030695437029101044
20051900090,20,051,900090,0,0,0,0,0,0
20051900100,20,051,900100,0,0,0,0,0,0
20053000010,20,053,000010,3,29,0,1,31,0
20053000020,20,053,000020,15,34,0,13,35,0
20053000030,20,053,000030,2.9759036144578315,33.72690763052209,0,4.959839357429719,32.734939759036145,0
20053000040,20,053,000040,5,33,1,7,32,0
20053000050,20,053,000050,7.314637633774632,51.87399342715176,3.03495973708607,7.359585867171009,54.764119967738395,3.0799079704824464
20053000060,20,053,000060,2,33,1,1,31,4
20053000070,20,053,000070,80.62825468090062,247.97805323741068,7.793548387096774,89.58209254467417,225.32347372012123,19.54590294383849
20053000080,20,053,000080,98.72859825590722,235.42866085302407,8,111.91074781988402,218.18579476772166,14.060716521325602
2005300009A,20,053,00009A,102.69030397054533,268.637128160925,7.999697926612792,110.11356906809623,254.07295090699964,17.14053456464042
