GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDKEL,G18GOVRKOB,G18GOVIORM,G18GOVLCAL,G18GOVIKLO,G18SOSRSCH,G18SOSDMCC,G18SOSLHOD,G18ATGRSCH,G18ATGDSWA,G18INSDMCL,G18INSRSCH,G18TRERLAT,G18TREDFRA
20177120180,20,177,120180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177120190,20,177,120190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177120200,20,177,120200,25.678947368421053,21.205263157894738,2.7736842105263158,1.1631578947368422,0.35789473684210527,27.378947368421052,22.010526315789473,1.7,35.252631578947366,15.478947368421053,11.721052631578948,38.205263157894734,33.28421052631579,17.44736842105263
20177120210,20,177,120210,22,3,4,0,0,5,23,1,9,19,16,13,9,20
20177120220,20,177,120220,175,59,7,8,6,65,168,17,79,173,143,107,88,163
20177120230,20,177,120230,21,3,0,2,1,2,24,1,6,20,19,7.000000000000001,3,23
20177120240,20,177,120240,221,26,15,7,4,44,215,16,60,215,198,74,63,210
20177120250,20,177,120250,101,54,4,4,3,61,97,9,78,89,65,102,82,85
20177120260,20,177,120260,58,33,3,0,3,36,54,4,46,50,35,60,46,50
20177120270,20,177,120270,290.53996285001426,157.36693034336852,28.528489726984095,3.2880084060054533,2.924750828608575,198.41115505603256,264.89783833093543,16.440042030027268,266.1852671924174,216.72263177892535,158.38455382686888,317.81818348080503,238.76632583606292,241.95368747995613
20177120280,20,177,120280,159,41,11,5.999999999999999,2.9999999999999996,57,154,5,74,143,125,92,73,143
20177120290,20,177,120290,50.99999999999999,23.999999999999996,3.9999999999999996,2.9999999999999996,0,30,47,5,34,47.99999999999999,36,45,38,43.99999999999999
20177120300,20,177,120300,113.00000000000001,40,5,7.000000000000001,1,54,100,10,67,95,81,79,62,100
20177120310,20,177,120310,56.20786354437699,69.47152356172305,8.538305868748193,0.043943336224342294,6.120844174616941,81.06475860075166,55.076033535703964,3.1428158427291124,86.1853136744724,50.142237640936685,39.46111592945938,98.75657704538884,92.89968198901417,45.30702515177797
20177120320,20,177,120320,196,235,32,4,3,262,192,13,334,136,95,364,328,136
20177160010,20,177,160010,26.244702046327994,23.60403197869353,2.6492092523459143,0.8250229934042772,0.35589360547635535,26.836566537120216,23.68969592340817,2.161047211392518,33.13510844305068,19.408513201577904,15.14255660216801,35.95180504202076,31.79147116385225,20.895838508068657
20177160030,20,177,160030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177170030,20,177,170030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177200010,20,177,200010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177200020,20,177,200020,272.84129692832767,188.59556313993173,20.104095563139932,0.9573378839590444,0.9573378839590444,247.9505119453925,218.2730375426621,7.658703071672355,336.0255972696246,139.77133105802048,92.8617747440273,378.14846416382255,307.30546075085323,169.44880546075086
20177200050,20,177,200050,175,103,37,17,5,131,183,23,174,158,135,196,172,157
20177200070,20,177,200070,239.41219350563287,137.95692511597085,29.348796112215595,4.530373315661586,5.075767616523084,186.4422354760327,220.2907002429865,9.21228186436934,247.9582504970179,165.9111994698476,95.91053677932405,299.4435608570797,236.04903909874088,174.44157278550915
20177200080,20,177,200080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177200130,20,177,200130,93.8693180336007,37.63020819746731,9.29428902908725,1.0919653215897662,3.0367861286359066,46.97967641950842,95.59342206883142,1.239109836133392,64.6602197992727,78.13359546088257,53.67376885293375,89.95450882835995,59.51307528472907,83.29913303974416
20177200140,20,177,200140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177200150,20,177,200150,39,23,3,0,0,26,37,2,32,31,24,39,35,29
20177200160,20,177,200160,50,26,3,0,0,30,45,4,42,37,23,56,36,43
20177200170,20,177,200170,12.420447489700042,2.9809073975280103,0.9108328159113364,0.8280298326466695,0.33121193305866775,3.726134246910012,12.834462406023377,0.9108328159113364,5.796208828526686,11.509614673788706,10.350372908083369,7.03825357749669,5.133784962409351,12.17203853990604
20177200180,20,177,200180,7.612143180788399,1.826914363389216,0.558223833257816,0.50747621205256,0.202990484821024,2.28364295423652,7.86588128681468,0.558223833257816,3.55233348436792,7.053919347530584,6.3434526506569995,4.31354780244676,3.146352514725872,7.459900317172632
20177300090,20,177,300090,65.43043778304597,64.39456796779214,5.044147464927792,0.013796082789935124,0.0055184331159740495,79.44699308239389,53.38904953467617,2.0358698152538315,98.54908409503942,34.320069120726494,16.25108870677682,115.5932315599672,90.52701036257552,43.34490206974838
20177400070,20,177,400070,77.01101864299225,51.62277073870909,14.386673812427125,1.692549860285544,0,60.93179497027958,75.3184687827067,5.923924510999404,85.47376794441998,58.39297017985127,55.00787045928018,86.32004287456274,80.39611836356333,60.93179497027958
20177400090,20,177,400090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177400100,20,177,400100,238.25571447654443,178.97871863613022,24.240063061692318,5.067710094323474,1.0553991680828425,213.2434035503038,217.18800438222095,12.14773111488758,282.5327103169586,160.02180687797244,109.7386555744379,321.7789288417713,270.5511767063196,165.99718502549115
20177400110,20,177,400110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20177500010,20,177,500010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
