GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI
51015000801,51,015,000801,296.82178849861987,1069.5162456726116,47.94657528676324,20.472539260736635,10.283064193918623,2.2023020104913424
51015000802,51,015,000802,709.1289366792333,1625.6874159849947,84.96627480546847,50.52880142587472,12.29584278954639,14.309127391110017
51015000803,51,015,000803,588.804556354916,1161.1187050359713,70.81175059952038,39.770983213429254,18.430455635491604,19.400479616306953
51017000101,51,017,000101,120.1824785108224,263.3909251906038,8.042602891626153,2.0679084530571332,0.04175864897317926,2.9280821917808217
51017000102,51,017,000102,16.008169735044955,71.66023059467763,0.19890991222986495,2.047945205479452,3.001018441473151,0.07191780821917808
51017000201,51,017,000201,145,194,12,4,2,3
51017000301,51,017,000301,42.88211382113821,282.6321138211382,10.720528455284553,5.847560975609756,1.9491869918699187,0
51017000302,51,017,000302,22,87,1,0,0,0
51017000401,51,017,000401,128.38482483998862,324.92899654391965,7.7158117462628475,3.861004546184504,1.92440017642889,1.9121959831021658
51017000501,51,017,000501,123,311,16,4,6,1
51019000101,51,019,000101,344.94992878661145,1441.6306910856933,45.02393544134472,18.51515067387834,2.956727169181209,12.667113320978812
51019000102,51,019,000102,186.44054713255028,602.6319550764341,15.309328475050174,10.079394923709568,1.0820124874284662,6.99584232836575
51019000103,51,019,000103,286.3228663623453,974.9584261306369,46.785192095592166,8.618670303348459,5.732807737900854,5.7357979766223055
51019000104,51,019,000104,252,933,28,8,5,3
51019000201,51,019,000201,182.40472640719815,511.64677495291903,21.606429169282276,10.26163946432308,4.076532747436702,6.098909290646579
51019000202,51,019,000202,198.45756172839506,677.4930555555555,19.55246913580247,7.820987654320987,1.9552469135802468,2.9328703703703702
51019000203,51,019,000203,461.73969170810693,1408.2061160535122,40.97689904768914,13.992111869942633,13.992111869942633,10.993802183526356
51019000204,51,019,000204,146.9270571751608,426.3186229057684,9.624301471980438,9.569209047188847,0.9769281537221468,1.9277598957009083
51019000205,51,019,000205,360.6771473718565,1022.1361698488579,30.784105409992307,11.665964548423345,8.129379555229928,7.22743785043401
51019000301,51,019,000301,112.12436877950739,494.99349312381736,17.130111896869185,11.568387255028542,0.4449379713472516,1.5572828997153805
51019000302,51,019,000302,305.1858530626974,1014.098600096422,26.853290512509464,14.18655432157753,5.070658102501893,5.166556279953197
51019000303,51,019,000303,183,620,19,8,1,3
51019000304,51,019,000304,212,626,20,17.999999999999996,1,8.999999999999998
51019000305,51,019,000305,147.0425453938394,528.1210152844942,15.003678276124443,10.001348701245629,2.000980873633185,3.000858264429037
51019000306,51,019,000306,375.86816466085975,1661.9224356161787,56.80969712524473,38.842747180565134,1.8277401684414607,5.347625351551753
51019000401,51,019,000401,475,1392,53,43,3,17
51019000402,51,019,000402,325,895,40,36,6,5
51019000403,51,019,000403,609.8167928291081,1776.4681895486121,71.65992335424008,63.62080078807386,12.053124550057964,10.212902533853336
51019000404,51,019,000404,367,1311,33,41,10,1
51019000502,51,019,000502,133.23404344425217,416.1632767287142,14.964732955315384,6.2565295287250295,1.3691185356549602,6.304290057632462
51019000503,51,019,000503,141.16988476418388,489.1238260843554,21.871390597267926,2.982462354172899,3.976616472230532,6.959078826403431
51019000504,51,019,000504,217.79502121215114,715.3327573163718,22.086011899619816,11.009623293545895,2.024969682235271,5.036992069456889
51019000505,51,019,000505,528.5895474001096,1229.0061338923485,75.53694725191059,16.01301597689404,5.982965679666109,22.828308776098158
51019000506,51,019,000506,571.0443632429237,1877.7546085590882,78.60861837292794,67.8022163318674,13.743771560893514,12.79829238028835
51019000601,51,019,000601,273.26362957430916,967.0530246452577,23.13778939507095,19.04368932038835,10.036967886482449,7.026885735623599
