GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDKAI,G18USSRSTE,G18USSLWAT,G18USSOWRI
51067000501,51,067,000501,294.74203364319084,701.7140240806722,17.29833007983491,0.3899553970804206
51067000502,51,067,000502,276.0892782237732,742.8688429580576,10.15713732691338,2.0090447939025315
51067000503,51,067,000503,169.7857552320722,378.2913462592546,13.027539375237279,0.001998800719568259
51067000504,51,067,000504,159.13469849323923,419.6767083027186,13.585311696132898,0.6135194709772226
51067000601,51,067,000601,391.00035054149305,902.7373320461751,19.062706913526426,1
51067000602,51,067,000602,336.5364354697103,864.4846356453029,18.05838454784899,1.0092186128182616
51067000603,51,067,000603,215.44462752911656,716.9080119631631,12.509571050155008,1.0362263029835455
51067000701,51,067,000701,506.8401225591406,681.0422998510697,26.673050196649704,0.989526805719632
51067000702,51,067,000702,464.75887573964496,459.0192307692308,6.039940828402367,1.0014792899408285
51067000703,51,067,000703,355.87963011656507,419.22523533233607,12.148503279026349,1.0001083824686563
51069000101,51,069,000101,378.7140508215814,1077.1555709598679,24.23374166310098,1.0011285553618023
51069000102,51,069,000102,428.7104741969494,1066.837528137936,20.787145313348674,2.958996441813181
51069000103,51,069,000103,666.7248120681593,1086.5515303119778,28.98803530731127,2.9987622731701316
51069000104,51,069,000104,354.91688313683966,704.2542129321458,20.72761637876541,0.9924724956572091
51069000201,51,069,000201,235.8062397372742,745.3875205254516,9.991789819376026,0
51069000202,51,069,000202,472.25820256776035,944.5164051355207,19.315263908701855,1.9315263908701854
51069000203,51,069,000203,637.2269514364696,1271.692768738409,29.869141016893213,1.990728722417949
51069000204,51,069,000204,541.00492924079,1093.099028095895,24.130399827088535,2.123141395605023
51069000301,51,069,000301,287.8328513721467,691.5832040266736,8.72510579635804,0.9846114388304693
51069000302,51,069,000302,1073.7135714285714,1105.6035714285713,58.424285714285716,8.955
51069000303,51,069,000303,730.9740263562223,1367.9513926885254,39.99857873358262,1.9999289366791309
51069000401,51,069,000401,631.6235997131613,867.1224898332786,27.005156201966543,1.8616580637513507
51069000402,51,069,000402,303.2999831240357,520.7160448994765,13.085174892947004,1.0055867791015758
