GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27163000140,27,163,000140,0.14712748647635643,0.9475810557330779,0.004681329115156795,0.0033438065108262823,0,0.17889364832920612,1.673802120449456,0.006018851719487309,0.007021993672735193,0,0.18290621614219765,0.8994302419771795,0.015381509949800897,0,0.1752154611672972,0.897089577419601,0.012706464741139874,0.008359516277065706,0,0.1835749774443629,0.891739487002279,0.019394077762792436,6.687613021652565e-4
27163000145,27,163,000145,1110.5220693839992,1400.5937506243731,55.06581942568678,14.029319309517172,1.9999873173849485,1332.0647175797528,1182.0216753168743,49.043801407665036,16.05871471472465,0,1338.9617448832214,1118.911794489914,79.16124351972938,0.0073520219556328734,1328.991216384119,1030.8020721956418,110.10958278550666,57.087862808938624,0.0073520219556328734,1402.1524979516937,990.7141015844751,129.20503858608691,6.99995561084732
27163000150,27,163,000150,176,138,4,1,0,191,117,9,3,0,194,105,15,0,183,107,13,10,0,192,101,21,0
27163000155,27,163,000155,866.0070261687385,1124.0088651479211,48.00034877191392,23.00008877830536,1.0000126826150515,1009.0084275977017,983.0074827428804,43.00031072406876,31.000101460920412,0,1030.0084719868544,917.0070832405063,82.00050096329454,0,1007.0084085737792,858.0065252054441,102.00069754382784,46.00036145452897,0,1073.0088714892286,814.006271553143,128.00081802867084,7.000044389152681
27163000160,27,163,000160,752.8621331328052,911.1018311285843,49.08525702732592,13.059751996194104,0,910.5345017206591,759.40061916379,43.101943345525,8.043940006659161,0.00810470582750136,892.4791994994989,712.2584702268235,75.22502278428288,0.00405235291375068,876.4723665444556,678.0707121102937,77.22891616834862,42.10607518286276,0.00810470582750136,934.6217458585854,625.9978505949811,107.33999751721328,3.0078662525554654
27163000165,27,163,000165,343.1281596776363,353.1419647309711,8.978734597952474,3.9912685809286397,0.002159612182619786,416.7647046857412,275.52710881503333,6.011738411493087,7.958781427848462,0.004319224365239572,402.9647942088266,260.4675282157439,21.963855062111925,0.9940378239125753,406.92366860701594,245.46409753320265,15.012069131271758,12.014838374255694,0.9918782117299555,428.8378525889276,233.52268597315603,27.956156963961437,0.01079806091309893
27163000170,27,163,000170,1025.6430936976412,1610.8285324170774,49.63271065334682,20.23465874167453,0.007248594038429948,1237.9858254931355,1365.9154493238875,60.738884637413186,36.387135102685725,0.9903091834828072,1283.4718386047498,1265.3899677688312,92.12426140644057,0.012215762270809654,1268.1241439132666,1198.3802308074582,102.06674416615213,60.73387702915768,0.006107881135404827,1308.7583010864248,1183.670701139639,141.64286338000025,4.123923650812556
27163000175,27,163,000175,1194.3926516888891,1694.2529143142242,40.475915885109195,16.536326639144313,0,1491.2324389067219,1383.0714883005196,33.79370286007323,26.11683940367717,0.9996856211035661,1487.8187915691847,1302.4938448323396,89.88252489395168,1.9993712422071321,1494.9160918778193,1208.593451389999,73.20227906158787,68.55280448094311,0,1569.319401970064,1189.7385065428048,105.22499762827277,6.178162857163327
27163000180,27,163,000180,363.96046085898536,587.2540809071273,29.380085556451462,8.814199893172383,0,448.31426918449466,505.82454453673296,27.421374469079822,7.84378859958743,0.9785989421034176,454.19342885293923,468.58055295431643,42.13716214039289,0,442.4455260907445,443.07583070034093,53.88595647305794,20.58902949598634,0.9785989421034176,470.86245555308784,417.6125456859383,65.65050447006548,2.940336435804668
27163000185,27,163,000185,79.9492939275705,110.93752127235162,2.9996026541847423,8.414723920833382e-4,0,98.93705372309867,88.95324422140966,2.999415660319835,1.998613139600384,9.349693245370424e-5,98.93761470469339,84.95396100969492,6.996548442588149,0,95.93969499529283,82.95366492531036,7.996602987847971,1.999828599722282,9.349693245370424e-5,99.93813673461548,77.95657109471469,10.994522697248547,2.8049079736111273e-4
