GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PRECCas,G16PREMVac,G16PRESKen,G16PREGSte,G16PREIDeL,G16PREIMcM,G16PRELJoh,G16PREOth
27125000075,27,125,000075,108.90350513569433,83.16153349686627,0.99,0,0,4.95,0,3.96,8.910219070980895,0
27125000080,27,125,000080,36.43551208816663,23.32941575662264,0.926410577669909,0.03334912083204809,0,0.16395611327181348,0,0.09911753220000195,4.038203688703974,0.9924889324699102
27125000085,27,125,000085,17.231816834354092,7.855190270921121,0.03833580677469174,0,0,0,0,0,1.144076214002841,0.03833580677469174
27125000087,27,125,000087,8.1,16.84,0.01,0,0,0.05,0,0.04,1.09,0
27125000090,27,125,000090,22,5,0,0,0,0,0,0,1,1
27125000095,27,125,000095,49,17,0,1,0,1,1,4,4,0
27125000100,27,125,000100,25.999999999999996,8,0,0,0,0,0,2,2,0
27127000005,27,127,000005,107,46,0,1,0,1,0,9,12,0
27127000010,27,127,000010,99,14,0,2,0,0,0,2,2,0
27127000015,27,127,000015,71.99399526904891,20.998248620139265,0,0,0,0,0,0.9999166009590126,0.9999166009590126,0
27127000020,27,127,000020,59,7,0,0,0,0,0,2,1,0
27127000025,27,127,000025,28,14,1,0,0,0,0,0,1,0
27127000030,27,127,000030,133.66868729134418,34.17108403521152,2.0355109362405446,0,0,0.9989466906908053,0.009404388714733543,2.0072977700963444,9.056350937220383,0
27127000035,27,127,000035,64,8,1,0,0,0,0,1,2,0
27127000040,27,127,000040,88,16,0,2,0,0,0,0,3,0
27127000045,27,127,000045,27.90062396013105,7.086571180889584,0.032363436709517385,0.07278176845527766,0,0.06367759360406285,0,0.10568125745205668,0.9100737368175758,0.07462371432136636
27127000050,27,127,000050,52,7,0,0,0,0,0,0,2,0
27127000055,27,127,000055,76.00368408135871,20.00226032944133,0,0,9.433020227569576e-5,1.999990207438444,0,9.433020227569576e-5,4.000074745079163,1.0000894339214976
27127000060,27,127,000060,249.45323330927175,94.36936380526474,2.0855339461466644,1.9919254419510621,1.9919254419510621,2.987888162926593,0,8.06131027199985,11.002394182828644,0.9959627209755311
27127000065,27,127,000065,91.54676669072825,15.630636194735262,1.9144660538533356,0.008074558048937901,0.008074558048937901,0.01211183707340685,0,1.9386897280001492,0.9976058171713573,0.004037279024468951
27127000070,27,127,000070,71,14,0,0,0,2,0,2,2,3
27127000075,27,127,000075,74.00460901653534,31.00086034975326,1,0,0,1.0000614535538046,0,3,7.000368721322827,1.0000614535538046
27127000080,27,127,000080,293.32563912078615,92.23874175869996,0,2.020849026776637,0,4.990026577887684,0,7.085390791529012,18.063449262881917,0.9980053155775368
27127000085,27,127,000085,114.67436087921384,16.761258241300034,0,0.9791509732233628,0,0.00997342211231607,0,3.9146092084709876,3.936550737118083,0.001994684422463214
27127000090,27,127,000090,100.99999999999999,11,0.9999999999999999,0,0,0.9999999999999999,0,1.9999999999999998,1.9999999999999998,0.9999999999999999
27127000095,27,127,000095,38.841227105075376,20.17092256466273,1.322053122319693e-4,6.610265611598465e-5,6.610265611598465e-5,1.322053122319693e-4,0,1.4938755533262527,5.949239050438618e-4,6.610265611598465e-5
27127000105,27,127,000105,157.89711836711146,125.42002554437478,3.9532865489564633,0.9873208875054823,0,4.984640424741821,0,0.036026990410807216,2.14891089354859,2.9819776571891174
27127000110,27,127,000110,436.3332654962919,227.2739586636216,6.036527821816217,3.9999999999999996,0,10.018263910908109,0,18.036527821816215,28.10958346544865,8.018263910908107
27127000115,27,127,000115,470.71378090984905,259.5341326555281,6.001856960993686,3.998805998349824,0,11.998704380239115,0,11.996674999847189,28.087683882034668,4.999586439332672
27127000120,27,127,000120,507.31644853988104,257.06159127271366,5.014599671958723,1.0046506677233142,0,16.97521735140216,0,8.963973009589193,24.917232359952344,7.993937008497272
27127000125,27,127,000125,71.66673450370807,14.726041336378369,1.9634721781837827,0,0,0.9817360890918914,0,1.9634721781837827,5.890416534551348,0.9817360890918914
27127000130,27,127,000130,23.12707660771533,14.06598208477527,1,0,0,0,0,1.0048875618352051,1,0
27127000135,27,127,000135,115.0060047309511,38.001751379860735,0,0,0,1,0,2.0000833990409874,7.000083399040988,1
27127000140,27,127,000140,15.751828498246006,10.763778951889217,0,0,0,0,0,1.9581419570899776,0.0026674720469595362,0.9770703745097691
27127000145,27,127,000145,89.24647657479423,12.235992518633063,0,0,0,0,0,3.0418009105405925,1.9972944397067538,0.022929625490230893
27127000150,27,127,000150,60.926315789473684,68.46315789473684,0.010526315789473684,0,0,4.010526315789474,0,1,4.031578947368422,1
27127000155,27,127,000155,62.84871261914803,35.91355006808459,0,0.9975986130023496,0,1.9951972260046993,0,0.9975986130023496,1.9951972260046993,1.9951972260046993
27127000160,27,127,000160,83,18,0,0,0,0,0,2,4,0
27127000165,27,127,000165,42.99631591864128,24.99773967055867,0,0,0.9999056697977243,9.792561556147649e-6,0,0.9999056697977243,0.9999252549208366,0.9999105660785024
27127000170,27,127,000170,76,9,6,0,0,0,0,3,0,0
27127000175,27,127,000175,90,10,0,0,0,0,0,1,2,0
27127000180,27,127,000180,93.00169492695976,19.00022852947772,3,0,0,1,0,9.00005713236943,6.000038088246287,0
27127000185,27,127,000185,91.00239306830542,15.647859362398242,0.9817766351010936,0,0,0.015141699804813722,0,1.1331936331492307,7.808787981394307,0.9969183349059073
27127000190,27,127,000190,74.99760693169456,12.352140637601757,1.0182233648989063,0,0,0.9848583001951863,0,10.866806366850769,5.191212018605692,2.0030816650940926
27127000195,27,127,000195,276,50,0,0,0,4,1,9,10,0
27127000200,27,127,000200,150.18298366806127,128.8495452824774,1.999867794687768,1.0023352843415343,0.999933897343884,2.0046705686830686,0,5.503638271836193,9.004207850090257,1.0047366713391845
27127000205,27,127,000205,44,5,0,0,0,0,0,0,1,0
27127000210,27,127,000210,90,13,1,0,0,0,0,3,1,0
27127000215,27,127,000215,74.99539098346466,13.999139650246736,0,0,0,0.9999385464461955,0,0,5.999631278677173,0.9999385464461955
27127000220,27,127,000220,103,16,0,0,0,0,1,4,1,1
27129000005,27,129,000005,45,27,0,1,0,1,0,1,3,0
27129000010,27,129,000010,66.91857635941832,31.839529225372036,0,0,0,0,0,1.9844961240310077,3.9835907882080006,0.9922480620155039
27129000015,27,129,000015,90.83925904727528,44.893529040801155,1.0709481663874958,0,0,1.0709481663874958,0,0.3094708722567585,3.3985270225165425,0.0618941744513517
27129000020,27,129,000020,324,185,4,3,1,4,0,8,17,2
27129000025,27,129,000025,86.0212869077207,23.011374911418773,1.791324632877942e-4,1.1942164219186279e-4,0,1.0003284095160276,5.9710821095931396e-5,7.762406742471081e-4,6.001253927243014,1.0001492770527398
27129000030,27,129,000030,151.52610441767067,40.34136546184739,0.9839357429718876,0,0,0,0,8.855421686746988,5.903614457831325,0
27129000035,27,129,000035,79,10,2,0,0,0,0,0,2,0
27129000040,27,129,000040,162.73243198551165,68.04894622104155,0.9865376892260422,2.958426228273375,0.986142076091125,2.9586240348408337,0,4.930908187023084,7.890521254701211,1.97228415218225
27129000045,27,129,000045,78.40947579453727,20.845592570880463,3.217344769573528e-4,1.2869379078294112e-4,6.434689539147056e-5,3.8608137234882336e-4,0,0.9932018742355391,1.985438545040206,6.434689539147056e-4
