GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27107000135,27,107,000135,12.999999999999998,25,0,0,0,0,0,0,0,0,14.999999999999998,20,0,1,0
27107000140,27,107,000140,30.24705882352941,23.31764705882353,0,0,0,0,0,0.023529411764705882,0,0.011764705882352941,35.258823529411764,17.294117647058822,0.011764705882352941,0,0
27107000145,27,107,000145,27,40,0,0,0,0,1,0,0,0,31,34,1,0,0
27107000150,27,107,000150,159.21913944916403,191.75718082241764,2.0672776688972756,2.9999662541391405,0,0,0,0.9999887513797135,1.067288917517562,0,159.28643961530187,160.38737861588837,26.2016080342861,6.100882757485054,0.9999887513797135
27107000155,27,107,000155,28.999999999999996,18,0,0,1,0,0,0,0,0,32,13,1,0,0
27107000160,27,107,000160,63.833982002156404,79.3769848797836,1.9328922845159962,3.3745860859253975e-5,0,0,0,1.1248620286417993e-5,1.9330509893089816,0,65.76927423721945,68.72796046425354,5.814796139985629,2.899117242514946,1.1248620286417993e-5
27107000165,27,107,000165,15,15,1,0,0,0,0,1,0,0,18,10,3,0,0
27109000005,27,109,000005,1531.4653600836882,2020.5324824970453,51.38565827585131,8.86392664787529,8.136099376902036,0,0.12852673383977745,5.181457160943606,7.279745372089003,5.909284431916861,1455.3291566076769,1826.766557787765,213.67725981795084,67.31560996020147,0.12852673383977745
27109000010,27,109,000010,1024.8613001873455,822.381106716941,20.480391659063038,3.963743533970855,3.37755733682195,0,1.2173740036792871e-4,2.182773593832777,1.5993812575825213,6.350638896450919,926.0385213174723,815.3043438906744,79.18098088339171,27.41928547407307,1.3928308402376879
27109000011,27,109,000011,178.83977180765655,160.3846409046179,4.568653187001549,0.6820629945866976,0.5602232124382672,0.12252102334322429,0,0.603365903720406,0.45578781279982195,0.5172292656791674,165.96806236535,154.96330889265056,13.612283132182766,3.4838234678721465,0.11503624086634402
