GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREIFUE,G16PREOWRI,G16USSRMUR,G16USSDMET,G16USSLMIL,G16USSICRA,G16USSIGIA,G16USSISTO,G16USSOWRI,G16HALRYOU,G16HALDLIN,G16HALLMCD,G16HALISOU,G16HALOWRI
0217011-060,02,170,11-060,804,254.99999999999997,60,13,9,2,25,507,89,444,13,4,98,2,672,282,139,47.99999999999999,5.999999999999999
0217011-065,02,170,11-065,491.2934713734604,149.78459493093305,41.93968658066125,14.978459493093307,3.994255864824882,0.9985639662062205,11.982767594474645,319.5404691859905,37.94543071583637,265.6180150108546,4.992819831031102,1.997127932412441,70.89804160064165,2.995691898618661,406.4155342459317,162.76592649161393,98.85783265441582,28.95835501998039,2.995691898618661
0217011-070,02,170,11-070,761.8602519796833,353.0075224361895,99.1648410476322,18.266196676502823,12.208090722954607,8.13309864587306,52.87655839153096,541.1134417846702,109.96244301516926,437.3061837927333,10.372479703488217,17.214048180855386,156.0026596758245,3.0193683435610907,649.2325632757455,430.4139941140499,132.56660031301558,45.218998252832776,10.199398184721908
0217011-075,02,170,11-075,754.6203094916808,296.1042946693079,99.03153667869827,19.806307335739657,13.864415135017758,9.903153667869828,24.75788416967457,479.3126375248996,99.03153667869827,478.3223221581127,15.845045868591724,8.912838301082845,119.8281593812249,1.9806307335739655,587.2570125046808,356.51353204331383,200.04370409097052,50.50608370613612,0
0217011-085,02,170,11-085,707.7065286265396,197.3124924477077,53.992352254290196,15.710860895256209,10.79215190216541,4.904348655153003,27.473543085137006,444.6634143091551,58.8895207404743,402.4208199406017,18.638248130133945,0.9834545918594039,78.54856034110593,0.9848906256531834,586.9728152686314,217.92339389673558,160.9577013261667,26.517373135359414,2.9460556741968724
0217011-090,02,170,11-090,492.99999999999994,123.99999999999999,28.999999999999996,5,13,4,24,257,32,307,5,3,66,8,416,142,97,12,10
0217011-095,02,170,11-095,838.5192111962381,276.8880767650341,64.80359243436969,3.9274904505678596,3.9274904505678596,1.9637452252839298,34.365541442468775,510.57375857382175,108.00598739061614,467.3713636175753,11.78247135170358,6.873108288493754,99.16913387683846,0,676.5102301103138,321.07234433392256,141.38965622044296,39.2749045056786,10.800598739061614
0217011-099,02,170,11-099,608,263,33,12,4,2,26,336,68,373,8,4,140,6.999999999999999,513,263,96,34,5
0217012-200,02,170,12-200,558.999190212715,104.9998478932649,45.99993336276367,3.99999420545771,4.999992756822138,0,12.999981167737559,300.9995639606927,30.999955092297256,336.9995118098121,0,0.9999985513644275,40.999940605941525,1.999997102728855,471.99931624400983,127.99981457464672,98.99985658507833,13.999979719101985,5.999991308186565
0217012-205,02,170,12-205,705.3745991089019,184.45311247175584,44.951191710833854,2.5102231838284506,2.477101545692163,6.21189783939587,22.512826083549033,381.63144510669235,53.06636776509357,408.11309751821346,7.613878979457668,7.267122827525082,89.89892798749824,4.092745210244861,604.2660573609298,188.44458441830275,123.09654028497641,25.230022874063053,3.1285969346966307
0217012-210,02,170,12-210,1158.8247734138974,213.38972809667675,81.99697885196375,11.85498489425982,9.879154078549849,0.9879154078549849,26.673716012084594,565.0876132930514,113.61027190332327,692.5287009063444,13.830815709969789,3.9516616314199395,79.03323262839879,4.9395770392749245,901.9667673716011,312.18126888217523,201.53474320241693,33.58912386706948,8.891238670694865
0217012-220,02,170,12-220,1590.6441108911674,462.6963964493366,116.42530737191345,38.096660766343966,19.062829498123577,10.019332153268794,61.12082595792996,931.6050076529699,150.63312801955297,938.0443752081749,22.03383126822039,7.048330383171983,217.608962827967,0.03383126822038796,1356.3106312472808,489.88005190539013,282.66212624945615,91.09666076634396,22.004833038317198
0218039-902,02,180,39-902,25,86,6.999999999999999,2,14.999999999999998,6.999999999999999,4.999999999999999,87.99999999999999,6,39.99999999999999,1,0,4.999999999999999,0,90,39,6,8,0
0218039-906,02,180,39-906,3,8,0,0,1,0,0,11,0,2,0,0,0,0,8,4,0,0,0
0218039-908,02,180,39-908,35,51,13,0,9,1,18,57,12,41,1,3,7,0,67,46,8,2,1
0218039-912,02,180,39-912,32,147,13,3,9,1,5,125,22,44,1,6,13,0,126,64,9,8,0
0218039-914,02,180,39-914,10.974025974025974,32.391465677179966,0.9604205318491033,0.02040816326530612,0.08163265306122448,1.7575757575757576,15.204700061842919,42.26221397649969,3.6988249845392702,10.851576994434136,0,0,2.758812615955473,0.02040816326530612,37.72541743970315,18.29004329004329,1.7983920841063699,0.919604205318491,0
0218039-920,02,180,39-920,26.680608327832324,66.96577937248269,1.148288971896563,0.9999999985125325,2.296577943793126,1.1977186296912397,2.1482889704090953,75.26235730735101,12.593155875686511,19.087452444708475,0,0.9999999985125325,5.395437254920077,0,64.75665390165992,41.186311727573546,6.098859306664549,1.1977186296912397,0
