GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39003002ACE,39,003,002ACE,333.7937835023378,254.63697198606914,8.583268718631544,3.814786097169575
39003002ACG,39,003,002ACG,413.63723117098306,282.7520203415174,8.992113721108327,1.9982474935796282
39003002ACT,39,003,002ACT,716,125,6,1
39003002ACU,39,003,002ACU,342,70,1,2
39003002ACW,39,003,002ACW,499.55317017427865,117.89454816112976,6.9937443824399015,0.9991063403485573
39003002ACX,39,003,002ACX,349.66196827868987,149.85512926229566,4.995170975409856,0.9990341950819711
39003002ACY,39,003,002ACY,369.41232831721993,136.4128391157821,5.132008007737071,2.0188582868195817
39003002ACZ,39,003,002ACZ,211.8752967295403,281.8532761395566,6.151825987291276,4.011135013642999
39003002ADA,39,003,002ADA,273.91736604145365,152.2475212501636,2.9826241239523035,1.9838060506143138
39003002ADB,39,003,002ADB,348.33850105916383,193.43206959371597,3.5983813377779414,2.297694342148022
39003002ADC,39,003,002ADC,521.4009015101159,158.79933334650747,5.032226865907596,2.016113432953798
39003002ADD,39,003,002ADD,488,156,8,2
39003002ADE,39,003,002ADE,487,138,6,0
39003002ADF,39,003,002ADF,480.1357733175915,149.57733175914993,5.066115702479339,2
39003002ADG,39,003,002ADG,327.9317738654366,165.01913580632018,6.914461686286062,0.0017525064203717322
39003002ADI,39,003,002ADI,329.3047619047619,230.60952380952378,5.152380952380953,0
39003002ADQ,39,003,002ADQ,414.44682982572135,110.10545183887024,3.0062556175600985,1.0008936596514426
39003002ADR,39,003,002ADR,460,121,4,3
39003002ADT,39,003,002ADT,483.2602062331352,67.46346900431548,7.941689712555886,1.0192920231356912
39003002ADU,39,003,002ADU,174.73979376686484,23.536530995684515,3.058310287444114,1.9807079768643088
39003002ADW,39,003,002ADW,620,117,7,1
39003002ADY,39,003,002ADY,425.25419942819866,119.86554665575851,3.0861889520692865,0.012713396793427098
39003002ADZ,39,003,002ADZ,509,82,4,1
39003002AEA,39,003,002AEA,412,89,3,1
39003002AEB,39,003,002AEB,456,100,11,2
39003002AEC,39,003,002AEC,297.9232896505588,104.36099984283726,4.431897430946438,1.1705102224668344
39003002AED,39,003,002AED,344.7014681892333,93.75122349102773,6.628874388254486,2.84094616639478
39003002AEE,39,003,002AEE,420,180,8,3
39003002AEF,39,003,002AEF,455,169,2,3
39003002AEG,39,003,002AEG,321.1336568585821,98.60413848261172,4.763948045359654,0.9636456264719969
39003002AEN,39,003,002AEN,739,117,5,1
39003002AEO,39,003,002AEO,144.43609109550098,30.65802038248534,3.0795747112676817,0.013772673019147601
39003002AEQ,39,003,002AEQ,677.563908904499,109.34197961751465,11.920425288732318,0.9862273269808524
39003002AES,39,003,002AES,705,107,9,0
39003002AET,39,003,002AET,639.1272825750707,130.26643318217748,9.171394781457844,4.95796232858337
39003002AEW,39,003,002AEW,196.68268617935775,52.44511373661726,6.032572002909146,1.0193281953608648
39003002AEX,39,003,002AEX,455,41.99999999999999,4,1
39003002AEY,39,003,002AEY,378.31731382064225,56.55488626338275,4.967427997090854,1.9806718046391352
39003002AEZ,39,003,002AEZ,526,107,8,0
39003002AFB,39,003,002AFB,400.8837267404454,121.99684200335754,2.0006825412484592,0.999073543846914
39003002AFC,39,003,002AFC,300.711655457316,131.71530200177776,3.008776751210028,0.009193930566263924
39003002AFE,39,003,002AFE,121.03037570495617,19.076856000588375,2.0134804262708283,1.992617887795663
39003002AFF,39,003,002AFF,433.24624049858124,106.14019388183333,13.993047389741854,3.007382112204337
39003002AFG,39,003,002AFG,421.6428455267955,126.35126588333284,2.9496455578529974,0.9666855071699381
39003002AFI,39,003,002AFI,428.1159510654581,303.1957550401938,9.097575698609157,3.032525232869719
39003002AFJ,39,003,002AFJ,336.96458720420895,264.23592919405166,7.9462509275251625,7.892599603427211e-4
39003002AFK,39,003,002AFK,399,211,9,4
39003002AFN,39,003,002AFN,422,145,5,1
39003002AFO,39,003,002AFO,406.5332610391049,161.6217598765222,6.9408117738383766,0.991544539119768
39003002AFP,39,003,002AFP,361.0366013428314,129.0053435696364,17.14343144743359,0.12067346528606056
39003002AFQ,39,003,002AFQ,462.9079904286018,187.86760636556826,4.0872979526134126,2.904500413275673
39003002AFR,39,003,002AFR,363,167,3.0000000000000004,1
39003002AFS,39,003,002AFS,466,210,8,0
39003002AFT,39,003,002AFT,487,192,9.999999999999998,1
39003002AFU,39,003,002AFU,430,149,10,1
39003002AFV,39,003,002AFV,458.00000000000006,139,6,1
39003002AGB,39,003,002AGB,500.3190395178112,182.62863881366698,6.75187303171924,0.974389512949675
39003002AGC,39,003,002AGC,470.0945751766657,151.03852307842635,10.00081530324712,6.114774353387817e-4
39003002AGD,39,003,002AGD,485,115,4,2
39003002AGI,39,003,002AGI,407.7512793173844,64.80154805777502,6.978628252375772,0.9969468931965388
39003002AGK,39,003,002AGK,400.2487206826156,89.19845194222498,14.021371747624228,2.003053106803461
39003002AGL,39,003,002AGL,355,72,9,0
39003002AGN,39,003,002AGN,574,109,8,2
39005003AAA,39,005,003AAA,458,255,6.999999999999999,4
39005003AAB,39,005,003AAB,470,299,13,4
39005003AAD,39,005,003AAD,566.2893777130009,243.56714277683884,12.066184977438773,5.011506003824452
39005003AAF,39,005,003AAF,402.98517335014037,162.99400311680614,7.999705674444474,1.9999264186111185
39005003AAG,39,005,003AAG,493,177,17,0
39005003AAH,39,005,003AAH,507.1514659257913,253.61247513792625,13.03260934722217,6.0088862429285115
39005003AAJ,39,005,003AAJ,490.21819266639176,231.20727549860783,9.92367572383958,1.98572873662487
39005003AAQ,39,005,003AAQ,308,213,12,0
39005003AAS,39,005,003AAS,426,273,13,3
39005003AAU,39,005,003AAU,470.5197524150456,239.94195252415065,5.999295487432156,0.007466743283896753
39005003AAV,39,005,003AAV,259.89389790008306,111.95429448003578,10.995511065003514,1.999183830000639
39005003AAZ,39,005,003AAZ,416.7676218878438,130.85765456142872,0.10850701204452373,4.998347936979199
39005003ABB,39,005,003ABB,226.13463892288863,119.64137086903304,6.0195838433292534,3
39005003ABC,39,005,003ABC,425.1595197618064,127.72393254311154,3.9048656247260523,0.0016666666666666668
39005003ABG,39,005,003ABG,807,170,16,5
39005003ABI,39,005,003ABI,639.3744384491885,202.00354028968087,9.070546545072716,2.033902475261896
