GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39093047AFO,39,093,047AFO,198.58907746373728,315.82039149612183,21.122392752831217,6.047074135704315,2.0470741357043143,194.815033315118,296.3025760033743,10.131807579972081,18.207126197098983,7.122392752831217
39093047AFP,39,093,047AFP,87,369.00000000000006,10,4,2,92,332,3.0000000000000004,8,16
39093047AFU,39,093,047AFU,510.9917356352045,457.0714123925039,41.91327511497628,9.979738061309316,3.9913536436827757,500.0206212070995,418.1472829375956,29.93699862594224,24.94860663394472,17.96195300245582
39093047AFV,39,093,047AFV,286.79507858940224,362.2039281373598,9.132130987862652,4.050819610716404,4.050819610716404,300.03901272084096,325.64491241947934,13.142294910005932,9.22360628715218,7.132130987862651
39093047AFW,39,093,047AFW,223,339,12,3,1,234,292,9,20,7
39093047AFX,39,093,047AFX,188.43478260869566,342.4347826086956,14.347826086956522,3.826086956521739,3.826086956521739,206.6086956521739,301.30434782608694,11.478260869565217,15.304347826086955,7.652173913043478
39093047AFY,39,093,047AFY,182,266,15,4,1,193,232,14,15,11
39093047AFZ,39,093,047AFZ,485,569,31,1,4,505,484,14,25,25
39093047AGN,39,093,047AGN,519.7875858100263,383.84314029048096,26.98897080167444,6.9971405782118925,2.9987745335193825,565.7687953239902,319.8692835754008,6.9971405782118925,16.993055689943166,5.997549067038765
39093047AGO,39,093,047AGO,516.7975739196361,392.02426080363915,43.83927217589083,4.215314632297195,5.058377558756634,555.5784685367703,309.4040940106141,21.919636087945413,26.13495072024261,13.489006823351025
39093047AGP,39,093,047AGP,581.8796617502855,454.3018655414904,25.153768345889034,6.032617527915856,4.023298234225611,677.3130089068819,350.8172622695977,14.069894702676834,10.060575408986589,11.060575408986589
39093047AGQ,39,093,047AGQ,92.56930693069307,79.93069306930693,4.4405940594059405,1.3663366336633664,0.3415841584158416,110.33168316831684,55.16584158415842,2.391089108910891,3.2450495049504955,3.7574257425742577
39093047AGS,39,093,047AGS,345,327,41,14,5,364,302,17,14,19
39093047AGT,39,093,047AGT,438,335,30,7,3,466,271,12,25,9
39093047AGU,39,093,047AGU,401,313,32,9,2,425,256,13,30,11
