GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
46083VTD-06,46,083,VTD-06,321.1813949825429,120.27602771896557,26.471950850771087,4.120953930489076,376.4889970415653,92.55055570583501,326.3463702771195,149.6925954740717,395.6748509540681,67.10057360880703
46083VTD-08,46,083,VTD-08,145,62,9,1,166,51,145,73,176,38
46083VTD-11,46,083,VTD-11,138.72059187286547,65.35495063353873,14.055491283080412,2.0139904123551253,162.89413570158104,56.2629920156136,134.7548587331499,84.40085426393122,174.8903655286738,34.22086036867494
46083VTD-12,46,083,VTD-12,279.76949615492254,83.93084884647675,19.983535439637322,3.9967070879274647,314.7406831742878,73.9390811266581,279.76949615492254,109.90944491800528,323.7332741221246,49.958838599093305
46083VTD-13,46,083,VTD-13,194.40501389943475,64.89264603571014,9.025951594242255,2.998699377560931,210.47460502932503,60.84924026467237,194.45559054322575,82.83151896918956,212.4384418052611,56.841105288416486
46083VTD-14,46,083,VTD-14,270.99312621200454,106.06518705926695,19.006465570644217,4.0026593375223145,314.0425619981628,89.02657705191281,269.0240961186979,131.05156377085578,327.01391351708554,65.03880974717562
46083VTD-15,46,083,VTD-15,750.6314828287925,272.8271357554441,62.40726655116235,13.098208384832049,881.6093318893047,226.28562166226757,796.8433727524362,313.11730808450136,912.1453289704441,167.35358485820598
46083VTD-16,46,083,VTD-16,689.1596732813717,228.78813725289686,56.703783272131055,7.958646431999715,789.6637355070069,185.99509482189845,714.0339961927739,270.5641583693288,800.5933037763031,146.21257933891883
46083VTD-21,46,083,VTD-21,147.3036783575706,61.70829769033362,10.948246364414029,0.995295124037639,163.2284003421728,55.73652694610779,145.31308810949528,71.66124893071002,171.1907613344739,36.82591958939265
46083VTD-23,46,083,VTD-23,347,130,44,8,399,134,350,181,410,110
46083VTD-26,46,083,VTD-26,238.94001105865846,82.01241303663525,14.194456102494561,5.520066262081218,266.54034236906455,74.12660409080493,234.20852569116025,101.72693540121102,272.0604086311458,58.35498619914431
46083VTD-B1,46,083,VTD-B1,19.605553781752672,6.729298987796296,1.1646863632724358,0.4529335857170584,21.87022171033796,6.082251008200498,19.21732499399519,8.34691893678579,22.32315529605502,4.788155049008903
46083VTD-B2,46,083,VTD-B2,19.30834462460945,6.627286603826346,1.1470303737391752,0.4460673675652348,21.538681462435623,5.990047507304581,18.92600116669639,8.220384345130755,21.984748830000857,4.715569314261053
