GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCOP,G16PREIMCM,G16PREISTE,G16PREICAS,G16PREIFUE,G16PREOWRI,G16USSRCRA,G16USSDSTU,G16USSCWRI
16055554058,16,055,554058,310.3311619894958,414.99995371809774,52.67768020104839,4.126257759553016,28.30670729951786,19.36209617426078,0.10184065012116181,1.031564439888254,0,411.30184750372644,393.3239425417678,22.728364560915306
16055554059,16,055,554059,223,232,24,1,7,17,2,1,0,251,218,22
16055554060,16,055,554060,202.02371032245148,226.7050727820634,32.537350102682566,0.985261962972787,10.877998295837054,3.951988770928347,1.008967287553385,3.9355773923725486,0,227.74993055011592,231.58032497475375,17.78394946917756
16055554062,16,055,554062,283.87423445376265,166.34247069659997,30.1775874249179,2.0027624015346217,14.049982601356868,3.023139098378246,3.9982408104567178,0.030135716234647357,0,339.93770741266366,145.42990728217688,20.08856874599694
16057575001,16,057,575001,125.99843035005892,133.9983306897452,27.99965118890198,0,13.99982559445099,4.999937712303925,0,0,0,182.99772027032367,114.99856738299027,7.99990033968628
16057575002,16,057,575002,266,503,80,0,33,30,17,2,3,403,506,32
16057575003,16,057,575003,281,293,53,3,37,19,31,1,1,416,301,22
16057575004,16,057,575004,229.99999999999997,266,28.999999999999996,2.9999999999999996,40.99999999999999,13.999999999999998,21,0,1,358,263,17
16057575005,16,057,575005,209.94673123486683,301.0556900726392,35.65133171912833,3.9612590799031473,41.593220338983045,11.883777239709444,12.87409200968523,0.9903147699757868,0,329.77481840193707,274.31719128329297,23.767554479418887
16057575006,16,057,575006,177.2147634052624,498.0708787044793,65.90231741853137,1.9672662970497121,37.5414622472179,36.62329650459362,20.803611077872176,1.7377448047544972,3.6885644768856447,317.83924321593344,532.8745828513688,24.311754616888038
16057575007,16,057,575007,343.76702947519357,415.5919704072897,70.47678966724837,4.759739528050166,57.00549550832778,34.82819362310238,11.507040677837775,2.4067190311534508,0,474.6688331623361,437.32117713171095,43.15106394432679
