GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIWES,G20PREIPIE,G20PREIBLA,G20PREIFUE,G20USSRRIS,G20USSDJOR,G20USSIFLE,G20USSCWRI
16065653414,16,065,653414,445.2041166380789,161.58421955403088,31.580789022298458,2.5708404802744425,4.4459691252144085,3.5732418524871354,2.1818181818181817,428.34030874785594,130.2277873070326,39.128644939965696,13.67958833619211
16065653415,16,065,653415,1299.0441595441596,315.02991452991455,90.02564102564102,12.997150997150998,12.851851851851851,3.8618233618233617,5.522792022792022,1333.4472934472935,251.26780626780626,93.11965811965811,35.87749287749288
16065653416,16,065,653416,989.7792372153369,266.10170396502764,45.69390797319762,3.871517663393284,3.653514200559601,4.095074639560116,1.2483796296296297,1003.9334900769965,210.1936289485231,58.12981270820506,24.779572554044027
16065653417,16,065,653417,305.90599017027967,11.117681404470707,3.192318550303633,8.009646256548475e-6,0.19289965113892882,0,0,297.21650106894793,11.850732117383663,13.958547004996204,1.2312901528996196
16065653418,16,065,653418,625.9791666666666,74.92708333333333,29.208333333333332,3.0208333333333335,3.0416666666666665,3.0208333333333335,4.020833333333333,617.0625,110.08333333333333,34.229166666666664,20.125
16065653419,16,065,653419,707.7584555864455,55.34830133045364,12.10745969179492,0.48070221224558507,4.798423484079427,0.47273642132805965,0.23598748895425428,698.204583180824,74.59233598428376,27.388689914783193,8.761889524069314
16067672701,16,067,672701,464.99010503988353,97.4504971986067,5.065390268273602,3.9973416398193913,2.0190569716222435,3.011195830313094,2.0051733197758312,452.62834122908936,91.67019371663899,25.057113172171622,5.12990887025231
16067672702,16,067,672702,917.4463004340616,158.87404359508665,9.175208102916562,1.0801603653104,7.053720224755934,0.01038976920396565,6.998365745605775,897.8575846220061,163.99465846526772,27.45371858657556,12.223010079797216
16067672703,16,067,672703,644.5872326453876,198.32856310357582,10.322476016772162,10.192273298236474,2.065793637069297,1.9999431814274924,4.001634254394225,614.0769019812436,191.650523283049,30.06361030575659,11.387299267962433
16067672704,16,067,672704,638.6333147989887,128.30124077587638,9.574679108413966,5.744794435575386,1.9149488511557868,0,1.3029472993648456e-5,593.6321112605069,137.87593942849983,31.59660066881026,11.48963447430625
16067672705,16,067,672705,673.9956090676011,149.99902278952547,4.999967426317516,0.9999934852635032,2.9999804557905096,0,1.9999869705270064,617.995973892845,157.9989706716335,40.99973289580363,8.9999413673715285
16067672706,16,067,672706,478.7385486754389,75.88726064622385,3.004707853738353,3.00018827617054,0,0.004519577567813482,0.002259788783906741,458.7305141346169,72.94356708965098,20.987759200490338,6.995919733496779
16067672708,16,067,672708,614,181,7,0,2,0,0,567,180,33,14
16067672709,16,067,672709,398.7647548438237,220.9248411893368,15.583909959413798,6.416904100935094,0,1.833401171695741,0.9167005858478705,363.0134319957567,220.00814060348893,30.251119332979727,12.833808201870188
16067672710,16,067,672710,499.9896828655221,160.2734718444798,9.021322147077187,4.009453490245954,1.0029947131288135,2.0031726036519992,1.0018830138696617,491.9427830679013,151.27382778686265,25.046236837167402,7.019133957722798
160676727A1,16,067,6727A1,590.8890469416785,155.88335704125177,8.402560455192035,4.577524893314367,0,0.16500711237553342,0.08250355618776671,552.6714082503556,174.800853485064,27.722617354196302,4.155049786628734
160676727B1,16,067,6727B1,350.26145132456116,24.112739353776146,4.995292146261647,2.9998117238294606,0,1.9954804224321865,0.9977402112160932,327.2694858653831,46.05643291034902,15.012240799509664,5.004080266503221
16069696001,16,069,696001,339.9865773254163,367.98547192868585,21.999131473997526,2.999881564636026,2.999881564636026,0,0,348.9862220193244,313.9876037652374,27.998894603269576,10.999565736998763
