GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRLIT,G18GOVDJOR,G18GOVLBOE,G18GOVCBAY,G18GOVOWRI,G18LTGRMCG,G18LTGDCOL,G18SOSRDEN,G18SOSDHUM,G18CONRWOO,G18TRERELL,G18ATGRWAS,G18ATGDBIS,G18SPIRYBA,G18SPIDWIL
16041413213,16,041,413213,85.29929525346834,11.661992121075583,1.053989013072475,3.1676379176379177,0,83.25387833080104,18.89211589661667,88.16295669896287,12.94614253247638,93.80786734387351,94.77095980696598,89.45274036599693,13.693253861420786,70.62598032115187,31.497286633538565
16041413214,16,041,413214,160.39869573245173,14.419166007986787,3.5844295110464706,0.9368313596620701,0,155.98603214681106,17.102963254393813,154.20286716504347,21.51562684003448,165.87488751033365,160.49824324376394,158.66077961946243,14.392016686719819,102.18339038609138,70.9056050151135
16041413215,16,041,413215,322.9046767414826,19.56503174461236,5.063399803272825,10.310761870696593,0,311.1081775909863,40.74546186175445,312.0350084950371,38.830479298935884,339.2599704909237,331.8523428418135,322.2844496110167,25.493941697218993,216.4033577751945,130.14159885540553
16041413216,16,041,413216,220.00000000000003,27,2,3,0,222,29.000000000000004,227,25,245,230.00000000000003,227,20.000000000000004,117,137
16041413217,16,041,413217,154,29,1,1,0,145,37,153,29,172,170,151,32,88.00000000000001,97
16043433501,16,043,433501,221.42980009252386,37.73225536975603,2.995413655242282,0.21020346430991668,0,206.98045168884536,57.26832522271849,215.9380453862277,50.21980780105149,245.89098371043377,245.8591122467898,226.80351713110866,39.35891089619184,151.40455088693338,114.7656761756879
16043433502,16,043,433502,340.1709259318804,76.96029325104892,4.381698579111232,8.42677046471814,0,347.818436641241,80.15877300056341,361.2658343711655,67.3335582802226,392.10343365927497,388.7722893824249,362.6610225857479,63.730932964125095,252.25364026416128,175.70583597293844
16043433503,16,043,433503,416.4491615002286,78.77799434752949,2.4396482574048113,8.44665012406948,0,409.50402195017733,88.37813078647305,414.58971610204435,80.50778526609342,467.3286304378791,468.77528056194853,437.3374090094683,65.31344223460002,323.55463929891374,183.7984451957749
16043433504,16,043,433504,113.87683751543537,19.73985781144449,0.852594938034288,1.0083058770591302,0,108.52773814695693,26.836335971532943,109.55578144833311,25.18274177908928,124.45598562604796,125.3695498134957,116.84284068136971,19.113349829931945,86.67641255885817,49.073445021386235
16043433505,16,043,433505,345.3636363636364,57.560606060606055,3.9696969696969697,11.909090909090908,0,359.25757575757575,58.553030303030305,375.1363636363636,41.68181818181818,392.00757575757575,395.97727272727275,364.21969696969694,51.60606060606061,272.9166666666667,145.88636363636363
16043433506,16,043,433506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16043433507,16,043,433507,111.85056392078096,12.884617161741762,0.02093015627182788,6.350411892157073,0,114.92710573883268,16.183505423932193,120.5497869520967,8.971001143683097,121.5092344481173,124.67309492586398,123.73101778841952,6.570568926001609,81.11660683984682,49.97945121296888
16043433508,16,043,433508,272.58411632336714,41.88859982071698,2.995148296225019,7.496573200230719,0,266.81186824489555,51.11776397400425,278.0365557226103,41.60229058996893,310.7823976752931,309.08839175046023,285.6041327577139,33.88248615524957,199.98006837684673,124.71037937253806
16043433510,16,043,433510,324.0783806689017,76.83083889275652,7.5954305219453335,2.5351493735988235,0,321.55324889415397,87.7943043523239,331.67595781917225,78.51664521850525,375.5906407933237,378.1229279958222,345.1817280800893,62.482165468965135,224.50418277681402,181.46746456151592
16043433511,16,043,433511,216.78844392979494,91.5527331885106,4.389767917579173,7.036461797003169,0,224.00990144105043,87.72444031977597,224.5633320342316,89.42968700535961,293.9521809965455,295.6919825923455,236.59991765796082,80.38966745856625,169.19740562821067,141.5727404582151
16043433512,16,043,433512,335.91050010289507,110.66439216217826,9.79330904090073,12.73130175317095,0,346.6831400478859,116.54037758671869,342.7658164315256,123.39569391534921,423.07095056691156,423.07095056691156,363.3317654174171,99.89175221718746,253.64670415932892,206.6388207630054
16043433513,16,043,433513,221.63500071540577,48.30686012710557,6.0252223200734845,10.03766055082573,0,230.5217663238356,50.49042380330091,226.64726496728863,53.351962893317655,258.8584058083356,255.86549586764355,237.67161949218493,47.31359803033518,169.704669876729,113.2874700237391
16043433514,16,043,433514,151.33543121792795,22.791480605109633,0.9116592242043853,1.367488836306578,0,144.0421574242929,32.36390245925568,145.40964626059946,30.084754398744717,164.09866035678937,165.46614919309593,155.4378977268477,21.87982138090525,114.86906224975255,61.536997633796005
16043433515,16,043,433515,413.12355353108353,48.64619417877328,3.773250153694954,7.343471397759345,0,397.9325195285271,75.89117040389011,417.32490577116437,54.19430597625997,448.67080444070547,450.45278210240286,421.9422167020429,47.90155921618178,270.26750238591916,200.73338611865606
16045458001,16,045,458001,278,156,5,3,0,270,158,280,146,344,346,287,130,242,183
16045458002,16,045,458002,321.268057348554,159.80571779534742,2.9887677768543295,1.1839707859168895,0,306.2692711722273,171.70310727864052,316.9826898696035,158.50911809325126,399.98967979238,401.28627949447616,321.1554284323748,154.84457681932133,284.0567656962892,189.85550310798672
16045458003,16,045,458003,410,152,4,7,0,398,164,400,151,499,501,430,120,339,214
