GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOMCM,G16PREGSTE,G16PREIHED,G16PRECCAS,G16PREIKAH,G16USSRBOO,G16USSDELD,G16USSLGIL,G16USSOWRI
05045000026,05,045,000026,888.0669043629065,222.01176923024187,28.002650727531954,21.000848232810224,9.000848232810226,6.000318087303834,15.00053014550639,4.000212058202556,814.059058209412,306.0195093546352,45.00392307674729,1
05045000027,05,045,000027,252.12514507242997,36.848918407468105,10.82919630920699,1.9655930163718944,0.9766516017987565,3.9188962199694077,2.9299548053962696,1.9655930163718944,208.39050620127307,73.46433037222296,21.818160184480938,0
05045000028,05,045,000028,728.8372300353466,152.10810805223284,30.82731710316221,10.933043644784918,5.968008959766751,9.937579008063352,8.942114371341786,4.9718616286790915,659.2270710676427,228.66194247980832,46.73836662592105,0.0020480830982772405
05045000029,05,045,000029,970.4492886648582,168.90804114439928,45.97334057720116,7.9962219837311155,10.99340865578745,4.998117017860315,2.0000120519895144,6.995986384282742,866.5095754510965,257.859066116436,69.95940469592018,2.9979519169017226
05045000030,05,045,000030,258.51302899243626,63.300523830835225,10.017482145229026,8.943140587236377,3.9686416577679706,0.0136968572584429,0.9921604144419927,0.0136968572584429,247.7422196979929,82.68574913831236,13.267900533723862,0.9921604144419927
05045000031,05,045,000031,327.09525395203207,57.31103051198281,7.069418215554325,1.0199233443082936,0.02334839820124339,1.0666201407107805,0.07004519460373017,1.0199233443082936,265.7278784610173,96.13075661375528,26.79078155388414,0
05045000032,05,045,000032,109,20,1,0,0,0,0,1,88,29,11,0
05045000033,05,045,000033,157,52,6,4,2,0,0,0,133,80,5,0
05045000034,05,045,000034,248.1315051571617,55.68585613620353,5.125638602051025,0.15604681404421328,2.908933226250121,4.761529369281194,1.9436234512235309,1.969631253564233,221.46996177760764,84.98325081743036,9.28596742907546,0.9913175773672921
05045000035,05,045,000035,548.0225454441719,111.70915369097332,24.327562917521025,6.171543557029541,3.3796541005140726,7.121883073056666,6.163397789281314,5.130655559550491,479.58167549794365,184.6708046117225,36.26338275937907,1.0716162243688923
05045000036,05,045,000036,705.3209817623141,550.8074391286482,61.17453656760299,15.068666741307588,14.985561759388938,3.3430187818840973,4.306377740876577,1.5759383005551555,662.4823063209993,607.3111424205327,58.49080080769008,3.1131898550054897
05045000037,05,045,000037,699.0114320169818,130.74005441532688,16.985270899277314,5.968293036402343,2.996664400890728,3.0091822835802846,1.0197512714461703,2.0019488948236712,611.8953603854281,193.7200783647904,36.010044341446964,2.0019488948236712
05045000038,05,045,000038,295.98856798301824,113.25994558467312,6.014729100722687,0.03170696359765634,1.0033355991092716,1.9908177164197152,1.9802487285538297,0.998051105176329,250.10463961457182,138.2799216352096,15.989955658553034,0.998051105176329
05045000039,05,045,000039,1279.9034599539334,275.49003287507736,53.77868791101864,16.97105930783393,17.906091667043597,3.0063484786658266,3.013570840452748,5.9797065284880135,1160.3679379217663,395.98086236486506,72.82535176788872,0
05045000040,05,045,000040,204.56601621539681,316.70067575287624,23.20484525207389,9.097741195042575,9.08337208862138,1.7647351108559017,1.7647351108559017,0.30998840681605244,193.91653684797134,330.2865906029212,28.796466023339104,1.4673196721583943
05045000041,05,045,000041,176,247.99999999999997,30.999999999999996,10,10,1,0,3,186,245,30.999999999999996,2
05045000042,05,045,000042,491.3451013631299,389.64622541549284,59.07204079625448,22.422299409112217,16.33091853903251,4.795766015817356,4.791092904487961,1.9545244180156984,485.60555699164615,417.4013098670902,70.03591158757216,0.8000731878577918
05045000043,05,045,000043,845,690,62,49,30,6,7,4,816,758,95,5
05045000044,05,045,000044,950,508,44,33,18,3,6,4,941,560,47,1
05045000045,05,045,000045,417.34727126125574,203.65085665483593,14.611720656849215,5.479395246318456,5.479395246318456,0.9132325410530759,0.9132325410530759,1.8264650821061519,421.9134339665211,200.9111590316767,21.004348444220746,1.8264650821061519
05045000046,05,045,000046,653,406,40,46,7,2,6,1,671,433,41,0
05045000048,05,045,000048,723.825443397321,388.3006257291873,35.69234188712278,17.593866434453883,10.814705659139767,3.8193064765659033,2.9272661548704697,3.356992243779316,699.2283692139391,410.99109830704913,43.09863264278102,3.389580387657057
05045000049,05,045,000049,415,485,36,33,12,3,4,2,427,488,48,3
05045000050,05,045,000050,973.9999999999999,486.99999999999994,63,41,11,6,9,6,983,537,57,2
05045000053,05,045,000053,576.2477711651865,239.2114010858931,28.00909251982336,15,5.004546259911679,3,1,0.0045462599116796575,581.2250398656281,260.21822047576063,20.02727755947008,0
05045000054,05,045,000054,261.25984109730194,178.61475834726116,25.044108222225013,5.016540583334381,4.016540583334381,1.0027567638890633,1.0027567638890633,1.0055135277781269,265.2736249167473,176.60648805559393,23.06340556944846,2.0055135277781266
05045000055,05,045,000055,635.6465769368887,111.97208157312602,25.196691592104678,8.069886138673741,8.037734151635574,3.0639858867724987,5.057343431162309,2.03193992883561,561.2042952718489,185.45948204912048,37.29830560141147,0
050470001-A,05,047,0001-A,222.05074044595912,82.98794440155221,10.964789030056842,3.9732220148328543,3.0756535208738907,0.04282067532609516,0.12838814601047163,2.007762765192126,217.76555407812273,80.52340892122201,18.99591397079316,0
050470001-B,05,047,0001-B,233.69633356469015,70.28789188127561,7.305137167766885,0.9140622159437745,3.6506509921265327,0.912717832035844,0,2.7386165359480894,221.8246533972976,81.24938975185195,11.867359576231303,0
050470001-C,05,047,0001-C,15.574144486692015,4.684410646387833,0.4866920152091255,0.060836501901140684,0.24334600760456274,0.060836501901140684,0,0.18250950570342206,14.783269961977187,5.414448669201521,0.7908745247148289,0
050470002-A,05,047,0002-A,270.6020936407056,92.48455535155013,14.921965733588058,4.973224515140564,2.98255939618452,0.9941864653948399,0,2.9848515843508845,245.72909450050372,117.36901543258386,17.89994075343985,0
050470002-B,05,047,0002-B,91.90728652066655,14.015636212984528,4.3911932678321275,1.145210100347854,0.12344360408438469,0.12559253400150872,0,1.0998497995290348,83.22703655865202,27.929616607353157,2.4593074222083122,0
050470002-C,05,047,0002-C,28.020141787245663,1.5275059078019024,2.095011815603805,0.10666666666666667,0,0.10666666666666667,0,0.9941725744685692,22.835945581569483,6.037529539009513,2.982517723405708,0
050470002-D,05,047,0002-D,30.679999999999996,3.933333333333333,0.7866666666666666,0.7866666666666666,0,0.7866666666666666,0,0,29.106666666666662,7.866666666666666,0,0
050470002-E,05,047,0002-E,109,45,4,3,0,0,0,2,106,42,10,1
050470003-A,05,047,0003-A,178,46,4,0,1,0,0,1,145,76,8,0
050470003-B,05,047,0003-B,45.67603379474964,8.60387563390225,4.541976380861839,0.7444093447122548,1.5076982438508102,0.037761004223032045,5.985380309568525e-7,1.4888182903991558,47.16484859367695,10.054935314230496,5.305266776345472,0
050470003-C,05,047,0003-C,109.81697124600639,39.08858785942492,2.7610479233226837,1.0575079872204474,0.11501597444089456,0,0.104,0.11501597444089456,103.57998722044728,38.931603833865815,6.026555910543131,0
050470003-D,05,047,0003-D,176,27,2,5,0,0,2,0,158,42,10,0
050470003-E,05,047,0003-E,6.999999999999998,4.999999999999999,2,0,0,0,0,0,9,4.999999999999999,1,0
