GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPOL,G18GOVRSTA,G18GOVLHEL,G18GOVOHAM,G18ATGDWEI,G18ATGRBRA,G18ATGLROB,G18SOSDGRI,G18SOSRWIL,G18SOSCCAM,G18SOSOHUB,G18TREDYOU,G18TRERWAT,G18TRECKIL,G18RGTDSMI,G18RGTRMON,G18RGTLTRE,G18RGTOOTW
08069069539,08,069,069539,436.5256146716625,588.8954648768054,22.964372940567877,16.90674044972587,412.5835145176211,607.8406266236948,27.964911486266153,438.463128042556,584.0030472231249,24.923476991815765,6.963290952381599,423.5083015179093,572.1509476376677,38.8248376249062,404.5415161001624,544.1968200717893,34.93182161017666,16.91754974742355
08069069540,08,069,069540,221.72998343456652,292.01435670900054,24.9718387631143,8.883489784649365,212.62562120375483,307.80949751518494,20.369409166206516,224.7901711761458,291.9983434566538,22.148536720044174,3.176697956929873,215.81833241303147,297.6167863059083,24.546107123136387,209.84649364991716,270.46824958586416,26.325234676974045,15.662617338487022
08069069541,08,069,069541,405.69782075028144,736.5827091315916,21.059161540135552,19.128910336650577,381.78234278701325,753.7950083981872,29.6696512158883,428.6463130936122,714.5894222929635,24.87564351649071,3.8282620915901036,407.59769165658156,727.9846195771388,33.48303316191847,386.55093023774594,703.0953359272182,28.71382570512077,14.34916277674792
08069069542,08,069,069542,489.550399755858,393.6270042663937,34.61299730656673,4.946368355587227,456.9124222660662,407.4760967914918,38.569319845484586,467.79665393217283,406.48187053659353,17.80279885158973,3.9556711707200347,459.88358811122606,410.43718615962945,22.748875702661344,449.99252996034005,371.86751393020046,35.60476810885086,6.923667056477051
08069069543,08,069,069543,238.75837470927505,336.87359690119763,26.694133863697783,3.297485941584764,214.97345905976647,347.5677307648954,30.041200795546676,229.5104697579544,336.17946303749983,19.892457824754292,3.2479049513206366,217.86591688452077,346.92317789146176,23.842876834490166,206.7255541084458,319.08030105697156,37.090781785810805,4.644552873433656
08069069544,08,069,069544,373,238,19,10,349,248,31,363,239,22,6,353,244,32,350,223,27,12
08069069545,08,069,069545,292,366,32,7,289,362,33,298,360,24,3,286,360,38,275,349,35,9
08069069546,08,069,069546,298.5248283276985,219.5189401409021,16.293078468338834,4.801205417153818,288.9445746005224,220.51906401716963,18.214769204680263,291.84826067093286,220.46870695550703,15.331225958934867,5.744929384359256,284.1856691151651,227.18153169666977,20.110274268957152,268.89875737049334,211.89059138706497,23.90732724491044,8.612358370372627
08069069547,08,069,069547,287.73757915116386,292.99522666287186,25.03873132528943,10.028627501300882,269.69716385520974,306.02722210550223,38.04715117861322,284.7409470924934,293.98680680954806,29.042099266618944,3.0117877946533045,278.71568753252205,288.96659916157097,43.06567485592555,262.6836920898917,281.91944798295776,40.05893897326652,13.028627501300882
08069069548,08,069,069548,254.86855088480308,228.7273447915521,11.962377402151263,6.891478899212968,233.47487917020038,246.39120838818195,15.09282300598759,258.46975417640994,227.21769207927827,12.12220740592099,1.1500352037919273,250.3483250715202,227.81705459341475,17.783736099457165,240.8770732581264,210.98356619303735,21.784514400488398,6.220933706730222
