GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,G16USSDBEN,G16USSRGLE,G16USSLTAN,G16USSGMEN,G16USSOOTH,G16RGTDMAD,G16RGTRGAN
08121121003,08,121,121003,14,133,2,0,0,2,33,115,0,0,0,23,117
08121121004,08,121,121004,65,408,18,0,7,4,113,375,8,0,5,74,388
08121121005,08,121,121005,11,176,8,0,0,2,22,163,1,0,4,20,157
08121121006,08,121,121006,23,327,10,0,0,3,52,298,7.999999999999999,0,3,31.999999999999996,292
08123123100,08,123,123100,194.0160666468313,831.1808985421006,42.00654567093127,6.000595060993752,15.002380243975008,11.001190121987504,266.03272835465634,771.1642368342755,45.00535554894377,4,9.001190121987504,216.0208271347813,799.1648318952692
08123123101,08,123,123101,26.983933353168702,303.8191014578994,10.99345432906873,0.9994049390062482,3.9976197560249926,1.9988098780124963,54.96727164534365,275.8357631657245,8.994644451056233,0,1.9988098780124963,34.979172865218686,276.8351681047307
08123123102,08,123,123102,22.996569063329627,215.96518723466525,5.999114968953594,8.85116944664443e-8,0.999857997227094,0.9998912771711467,46.99239843469674,191.96935790755398,5.999081733265389,0.9998414015109148,1.9997160608379587,29.995326395839605,199.9679561990164
08123123103,08,123,123103,39.970819940370504,341.75031147319413,3.9970845955661174,0.9992695879740889,0.9992706285857159,6.994883993983742,71.94746756777388,305.77657716900137,10.991981076889383,1.998538135336551,3.997076270673102,54.95987624732136,316.768535352435
08123123104,08,123,123104,86.40126749286753,449.74084507042255,19.796651969462893,2.1600316873216885,3.959471238963001,4.32358450140394,127.45102448155707,417.6854689385311,16.56259035397332,2.880511733330326,3.2418080943628143,90.37059788676011,427.05030108593917
08123123105,08,123,123105,587.4208932626798,272.3406510219531,46.71536714610144,10.9333838001514,4.9697199091597275,13.915215745647238,592.3906131718395,259.4193792581378,34.78803936411809,7.951551854655564,15.903103709311129,580.4632853898562,276.31642694928087
08123123106,08,123,123106,519.5791067373202,350.6593489780469,54.284632853898565,10.0666161998486,1.0302800908402725,19.084784254352762,555.6093868281605,322.5806207418622,46.21196063588191,8.048448145344436,8.096896290688873,539.5367146101438,358.68357305071913
08123123107,08,123,123107,527.3041507296567,273.6399293450748,45.939427460312906,12.982866986918895,3.9947325556059448,19.973647423807027,583.2303942247618,247.67420458377066,25.965755469749563,3.994726413916866,19.97363821127341,566.2527117694344,262.6544624152488
08123123108,08,123,123108,468,496,69,19,10,24,549,468,45,15,15,530,490
08123123109,08,123,123109,384.81161825726144,378.5601659751037,47.927800829875515,9.72448132780083,6.251452282157676,13.892116182572614,430.655601659751,347.3029045643154,32.646473029045644,9.72448132780083,12.502904564315353,398.0091286307054,367.44647302904565
08123123110,08,123,123110,242.88318584070797,125.7929203539823,34.01946902654867,9.493805309734514,4.746902654867257,10.680530973451328,259.49734513274336,122.6283185840708,28.481415929203543,7.120353982300886,7.911504424778761,256.7283185840708,138.05575221238936
08123123111,08,123,123111,494,495,52,18,12,17,574,435,42,19,12,530,467
08123123112,08,123,123112,492,321,83,32,9,10,511,302,68,29,11,493,353
08123123113,08,123,123113,592,246,108,43,9,17,597,269,70,35,12,568,332
08123123114,08,123,123114,463,379,43,4,11,5,483,376,22,11,8,425,395
08123123115,08,123,123115,401.4910781933428,773.3711007281744,93.18773398413813,6.967307213767336,25.256488649906593,16.547354632697424,432.84396065529575,803.8530697884065,41.80384328260402,2.6127402051627513,3.483653606883668,352.7199276969714,828.2386450365921
