GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWAR,G18USSRDIE,G18USSUAYY,G18USSOWRI,G18GOVRBAK,G18GOVDGON,G18GOVOWRI,G18ATGDHEA,G18ATGRMCM,G18ATGOWRI,G18SOCDGAL,G18SOCRAMO,G18SOCGSAN,G18SOCOWRI,G18TREDGOL,G18TRERORR,G18TREGGUE,G18TREOWRI,G18AUDDBUM,G18AUDRBRA,G18AUDLFIS,G18AUDGSTA,G18AUDOWRI
25021000801,25,021,000801,911,798,43,2,1300,419,6,1117,614,1,1155,504,33,1,1029,588,42,1,951,591,80,15,2
25021000802,25,021,000802,921.5396825396825,816.8042328042328,69.39682539682539,3.0264550264550265,1403.6190476190477,392.984126984127,9.06878306878307,1174.9894179894181,623.6984126984127,2.0105820105820107,1200.4867724867725,534.7989417989418,47.216931216931215,1.0264550264550265,1094.6719576719577,602.4497354497355,43.264550264550266,2.0211640211640214,983.1164021164021,651.7460317460318,62.33862433862434,35.148148148148145,2.005291005291005
25021000803,25,021,000803,940,785,56,0,1315,443.00000000000006,9,1156,611,0,1185,530,42,0,1087,581,49,1,995,602,69,34,0
25021000804,25,021,000804,967,1015,67,2,1641,394,8,1225,814,1,1276,701,36,1,1147,792,43,1,1006,832,74,29,3
25021000805,25,021,000805,1002.0674658488988,821.6579314190132,57.020630052969054,5.60858656258712,1435.7981600223027,428.12210761081684,5.60858656258712,1229.2152216336772,637.5093392807361,1.8695288541957067,1283.4315584053527,520.6637858935044,45.80345692779482,1.8695288541957067,1147.890716476164,602.9230554781154,54.21633677167549,2.80429328129356,1054.4142737663785,635.6398104265403,73.84638974073042,32.71675494842487,1.8695288541957067
25021000806,25,021,000806,962.9325341511012,727.3420685809868,66.97936994703095,2.3914134374128797,1288.2018399776973,436.87789238918316,9.39141343741288,1180.7847783663228,572.490660719264,1.1304711458042933,1197.5684415946473,488.3362141064957,43.19654307220519,2.130471145804293,1103.109283523836,554.0769445218846,44.78366322832451,0.19570671870643988,1006.5857262336214,573.3601895734597,69.15361025926958,33.283245051575136,1.1304711458042933
25021000807,25,021,000807,1024,882,45,5,1511,450,5,1286,663,1,1313,573,40,0,1203,628,44,0,1067,684,77,30,0
25021000808,25,021,000808,964.6846743891078,955.0464185374825,55.33009692692181,3.08757233314044,1556.7953921910214,387.71733910083844,9.229376893473674,1185.3378466619013,769.8079367474318,0.076262126865671645,1256.2318929814178,615.7901822784258,45.93554130935414,0.07626240252380302,1136.5423645237352,713.2611981666809,39.596177577089705,1.0509071223383424,1014.887748316941,750.409035152493,77.20121159051155,26.574754789676494,0.03813189040722995
25021000916,25,021,000916,610,450,22,1,730,323,8,739,337,1,788,251,27,0,697,313,33,0,658,330,39,12,1
25021000917,25,021,000917,556.0004687234505,587.0004401632402,44.00002184016078,2,879.0006879650645,277.0002158815892,2.000003360024735,733.000589684341,432.0003301224302,8.400061836961415e-7,757.0006510047923,355.00025032184277,42.00001512011131,8.400061836961415e-7,690.0005653241616,390.00029568217667,40.000024360179324,8.400061836961415e-7,615.0005250038648,417.00032340238073,54.00002436017933,30.000011760086572,8.400061836961415e-7
