GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SSCRJAC,G18SSCRANG,G18SSCDEAR,G18SACRHEA,G18SACDARR,G18SACRGRI,G18SACRRAY,G18SACDHAM,G18SACRKIT,G18SACDCOL,G18SACLMON
37179000001,37,179,000001,72.03142452151131,44.00703439820818,283.79655618551146,114.03846442425707,285.79608903593936,79.0331364245092,41.001849148376266,275.80234876659324,108.0364035352145,267.80998792781304,20.99082471292373
37179000002,37,179,000002,240.6588838301047,103.55511381645782,575.895931249455,329.7675717424277,582.0988521149708,233.4299831190649,112.4593411426723,558.0842477873916,323.5760263948567,559.8001585756695,31.652575579285042
37179000003,37,179,000003,189.71955826794536,74.29991281604185,308.4405696018599,251.01598372566116,320.4463818657367,192.76373147340888,58.248764893926186,303.41034582970065,243.97646033129905,302.4219703574542,20.056960185992445
37179000004,37,179,000004,62.35751748251748,45.53088578088578,470.1558857808858,99.96998834498835,478.0743006993007,72.25553613053613,36.622668997668995,469.1660839160839,96.01078088578089,467.1864801864802,13.857226107226106
37179000005,37,179,000005,698,277,634,954,650,703,265,617,913,614,69
37179000006,37,179,000006,549,237,223,785,220,613,165,216,761,219,23
37179000007,37,179,000007,819.3411161698953,320.44488618354217,683.104068750545,1129.2324282575723,687.9011478850291,837.5700168809351,294.5406588573277,663.9157522126084,1077.4239736051434,657.1998414243305,86.34742442071496
37179000008,37,179,000008,341.68644372527865,190.2660913340525,823.4516361021216,520.5195972671701,820.7608773822366,367.37648327939587,168.00898957209637,802.2146709816612,493.97339086659474,792.9568500539374,58.164688960805464
37179000009,37,179,000009,174.8531174502281,69.14976307372767,427.10471360412316,239.06238383818533,427.11233079162315,172.92055649756404,70.09102135694621,422.1735868183798,226.23753356991404,428.0877264490291,14.808013494811322
37179000010,37,179,000010,137.1699794846907,68.57467527547543,419.750524498647,198.68276795894656,432.79865867737334,157.43815562330877,51.32712807059719,419.67488507493425,181.43522075406833,416.65425614119437,30.378197118563968
37179000011,37,179,000011,907.7238095238096,419.4394889663182,192.21277584204412,1327.1493612078978,199.2192799070848,1107.8650406504064,221.30569105691058,177.18211382113822,1295.1131242740998,179.19419279907086,44.05853658536585
37179000012,37,179,000012,912.0741433985655,421.194635642894,192.48174875699777,1325.1926046868257,206.67267780646796,1068.8081662642846,259.3320069083695,169.95632044769246,1289.313386947584,187.00429929150266,50.5224936647115
37179000013,37,179,000013,1018,413,199,1414,216,1123,281,196,1383,193,54
37179000014,37,179,000014,351.59474075239757,152.67805970978972,297.43907070874866,497.84896074173463,301.3080238539663,384.1608187156506,136.19124193834216,273.7733593602145,472.014668421817,283.75003736647307,41.05471921388278
37179000015,37,179,000015,1023.1714871595193,335.7056740338502,1003.4573179100304,1334.3890782652124,1017.7573641650123,948.4446519367339,428.44213169714925,951.2509219906917,1250.377593093342,965.8513926036123,128.02826586391612
37179000016,37,179,000016,1276.5312402486593,491.5140210096146,1029.4939891735512,1731.8920190265208,1049.5914901528279,1221.5932248836116,536.4860185940952,987.3647750558398,1636.6198825539157,970.4098594461057,166.4596373324554
37179000018,37,179,000018,947,288,548,1220,563,899,334,522,1169,529,88
37179000019,37,179,000019,1533,562,1081,2038,1132,1480,590,1057,1935,1068,165
37179000021,37,179,000021,769,326,298,1086,315,845,239,288,1053,287,59
37179000022,37,179,000022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37179000023,37,179,000023,618.2804417320547,257.70008718395815,378.5594303981401,872.9840162743388,383.5536181342633,656.2362685265911,213.7512351060738,352.58965417029935,839.0235396687009,362.5780296425458,48.943039814007555
37179000024,37,179,000024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37179000025,37,179,000025,541.3135562747213,246.7339086659475,249.54836389787846,781.4804027328299,254.2391226177634,627.6235167206041,166.99101042790363,230.78532901833873,758.0266091334053,242.04314994606256,32.835311039194536
37179000026,37,179,000026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37179000027,37,179,000027,543.6485741649857,263.1247898657979,224.5212810329815,798.7595418774775,224.5212810329815,603.1986826607238,186.68019517834273,214.5215209886292,797.5843894002392,207.6548230769129,24.041466459918276
37179000030,37,179,000030,1039.6453893556875,484.7062233913291,931.8229845604735,1495.6649178932441,961.498875788514,1120.759492045665,393.7001569586714,906.103878829505,1453.1294737997193,914.0174498236491,93.97365555546176
37179000031,37,179,000031,822,322,837,1123,854,851,302,809,1068,815,90
