GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PREIDeL,G16PRELJoh,G16PRESKen,G16PREISmi,G16PREGSte,G16PREOth
47029001409,47,029,001409,898.85,132.44,0.99,13.99,1,6.91,5.95,3.97
47029001410,47,029,001410,949,161,1,28,0,1,4,0
47029001411,47,029,001411,421.68,93.54,2.01,7.05,1.01,0.01,4.01,2
47029001412,47,029,001412,471.76,91.9,0.97,7.82,1.95,2.93,1.95,0
47029001413,47,029,001413,170.19,31.59,1.62,2.88,0,0.03,0.12,0.03
47029001414,47,029,001414,534.65,85.69,3.14,6.46,0.99,1.02,3.03,0
47029001415,47,029,001415,525.31,130.76,0.33,9.6,0.05,3.05,1.04,0.99
47029001416,47,029,001416,444.41,142.11,1,15.01,3,1,5,2
47029001417,47,029,001417,405.34,72.5,1.02,10.21,1,0.04,0.02,0.02
47029001418,47,029,001418,59.84,10.55,0,1.16,0.01,0.03,0.08,0
47029001419,47,029,001419,738.33,140.87,1,14.99,3,1,1,0
47031001501,47,031,001501,595.24,241.45,2.75,22.25,1.83,2.81,7.34,0.94
47031001502,47,031,001502,350.92,140.95,2.01,20.29,0,1.04,5.02,1.02
47031001503,47,031,001503,666.41,224.04,3.41,21.43,0.85,5.12,9.35,4.26
47031001504,47,031,001504,664.64,298,1.01,20.14,0.99,4.01,12.9,1.01
47031001505,47,031,001505,723,217,1,11,2,3,5,2
47031001506,47,031,001506,584.35,154.09,1.01,19.82,0.01,2.99,0.16,1.01
47031001507,47,031,001507,732.3,192.12,1,19.01,0,0,3,1
47031001508,47,031,001508,884.99,187,1,42,1,5,8,4
47031001509,47,031,001509,650.18,179.5,0,17.08,1,2.98,5,1.01
47031001510,47,031,001510,660.49,175.09,0,29.66,0,4.94,0.01,7.9
47031001511,47,031,001511,862.56,195.28,2.2,22.83,1.14,0.3,8.47,1.16
47031001512,47,031,001512,512.69,126.19,0.06,14.14,0.03,2.92,1.17,0.99
47031001513,47,031,001513,406.79,76.87,0.93,11.4,0.12,0.93,1.04,0.42
47031001514,47,031,001514,929.68,273.78,1.58,18.88,0.15,1.89,3.63,1.75
47031001515,47,031,001515,893.69,318.38,2.97,27.79,2.93,1.99,1.02,8.79
