GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
1100102-081,11,001,02-081,3955,186,27,13,10,12,58,3480,122,63,96,94,81,74,32,39,1728,216,77,122,1225,803,811,568,278,141,67,103,220,73,82,59,85,37,32,41,29,18,32,33,27,3153,304,434,60,3051,332,295,79
1100102-082,11,001,02-082,2344,116,26,11,6,4,36,2046,105,44,49,55,39,38,24,33,1003,151,49,87,705,397,587,389,154,103,45,47,136,51,31,37,45,29,22,17,16,14,14,15,26,1873,189,257,34,1825,164,183,59
1100102-083,11,001,02-083,6442,393,60,25,13,3,91,5520,299,132,144,176,130,116,60,57,2864,481,164,229,1997,684,1651,1079,459,319,111,171,223,145,87,144,81,74,41,67,35,52,36,32,47,5221,614,633,77,5095,418,584,118
1100102-084,11,001,02-084,1907.4722997283716,170.33675606376724,24.049055017162942,6.017235546570764,1.0053032450986967,3.0079548676480448,27.096784223051213,1633.9300429170298,122.26118482111082,41.08882935540317,35.060987318635014,52.103413279424586,57.13125531619274,31.07291962010708,17.033145281866855,30.07424543138175,736.2449367869191,198.41232730642366,60.11534558089665,61.117997203446,722.3085757281034,140.2625106323855,618.0792103775848,454.7557124265643,113.1948942573771,83.17765871080634,32.078222865205774,37.06231312990968,148.45342745593857,29.05435826226164,9.018561357845439,41.08617773285382,18.045077583338923,21.049055017162946,12.018561357845439,12.021212980394786,11.010606490197393,7.019887169120112,3.025190414218809,12.023864602944135,16.04772920588827,1433.595938475812,262.5183922083976,196.37255296818344,33.078222865205774,1385.4752896498167,133.2717913113082,196.37255296818344,52.13788437256611
1100102-085,11,001,02-085,2615.5277002716284,253.66324393623276,36.95094498283706,12.982764453429237,3.9946967549013035,5.992045132351955,72.90321577694878,2207.06995708297,196.73881517888918,66.91117064459684,45.93901268136499,77.89658672057541,98.86874468380726,54.92708037989292,24.966854718133145,55.925754568618245,937.755063213081,310.58767269357634,86.88465441910334,88.882002796554,985.6914242718966,197.73748936761453,812.9207896224152,569.2442875734357,146.8051057426229,133.82234128919367,58.921777134794226,46.93768687009032,341.54657254406146,40.94564173773836,13.981438642154561,64.91382226714619,33.95492241666108,36.95094498283706,13.981438642154561,15.978787019605214,7.989393509802607,14.980112830879888,18.97480958578119,17.976135397055867,35.95227079411173,1955.4040615241881,390.4816077916024,280.6274470318166,58.921777134794226,1864.5247103501833,204.7282086886918,280.6274470318166,103.8621156274339
1100102-086,11,001,02-086,1976,109,15,4,0,1,38,1747,79,37,28,55,34,24,13,29,771,130,47,57,737,225,549,346,141,80,29,30,220,29,21,38,25,25,14,17,9,8,12,10,22,1543,170,188,38,1443,127,175,56
1100102-087,11,001,02-087,2226.3830401745213,166.16434759824284,28.007304337699683,10.038347772923329,6.005478253274761,3.007304337699682,38.03652168849841,1986.132866608307,102.06391295487221,34.056608617172536,39.062086870447295,62.04930427947285,54.03104343522365,41.04930427947285,17.025565181948885,36.027391266373805,904.1833027073485,155.11321723434506,51.027391266373805,54.111391149920145,648.5113036389777,340.62086870447297,565.3633908005592,355.3195647743611,162.13147807859426,70.07486946142174,53.03834777292333,37.065739039297135,371.0511303638978,37.020086928674125,20.074869461421738,39.029217350798724,23.073043376996818,18.014608675399362,62.04930427947285,18.031043435223648,11.018260844249205,17.009130422124603,6.007304337699682,20.010956506549523,10.034695604073487,1754.8406931003199,244.1880866957668,235.27026049488822,26.027391266373808,1692.8059974962464,184.26113007276362,215.1515650072684,49.063912954872215
1100102-088,11,001,02-088,1962,154,15,8,6,2,50,1685,108,49,43,53,57,34,15,36,656,173,46,53,731,134,639,472,113,87,35,38,448,31,8,27,19,12,6,12,10,12,9,8,13,1463,250,196,34,1346,171,186,62
1100102-089,11,001,02-089,2548,306,30,10,4,5,63,2161,207,64,54,70,94,50,26,56,873,337,83,91,988,132,825,546,170,129,57,35,387,39,13,61,43,38,8,13,5,15,16,22,30,1866,447,242,62,1682,217,294,116
1100102-090,11,001,02-090,1466,111,23,2,1,5,25,1264,94,24,23,34,33,32,14,18,530,139,33,35,549,99,363,324,82,61,38,37,264,37,13,30,12,16,5,10,6,11,5,10,9,1101,189,142,31,1033,105,167,37
1100102-091,11,001,02-091,4258.639468919734,316.3089921544961,40.88642124321062,19.302836451418226,12.930597465298733,7.651418225709113,61.32963186481593,3746.727942063971,210.50621605310803,106.0031382015691,78.9794809897405,93.44791792395897,88.28702474351238,85.65612552806276,35.81701870850935,47.3990343995172,1783.0974049487024,319.7064574532287,104.73023536511768,129.6103802051901,1368.4744719372359,583.1781532890767,1031.938322269161,752.1354254677127,252.91949305974651,187.17030778515388,80.26022933011467,110.00470730235365,420.26650573325287,68.86433313216656,62.51418225709113,83.09619794809898,57.83910681955341,53.910078455039226,49.44321062160531,32.93216656608328,25.605672902836453,32.908509354254676,23.815449607724805,33.094628847314425,36.211345805672906,3365.1159927579965,445.62281231140616,446.8737477368739,70.16560048280024,3193.2280024140014,342.8485214242607,408.8405552202776,114.33277006638504
1100102-092,11,001,02-092,1080.9813768804077,35.204789916444824,4.110975141857773,7.250242471962622,4.110975141857773,6.203820028594339,10.240080538836754,1008.3544277747558,15.297858615242333,6.502678555055771,17.714466905645452,23.644333284983478,5.107587830815818,13.454062500556962,14.326150803489409,4.086070264652654,537.8374838163521,27.605879163610535,6.203820028594339,14.898962979207154,143.8334850091053,417.32415108781044,50.4279339000718,142.08972600399366,45.12068945086176,16.668044462277166,28.029262076097563,18.88541373503933,2.167559518351924,10.563843942503306,56.63175392866614,5.38154148007213,20.230694704869045,5.306826848456772,27.506259654790057,4.384928791114086,10.738178082939141,3.2388868389253256,9.318182481494068,10.364604924862352,7.275147349167741,924.1923445156011,36.948966522309725,83.73870034666774,9.118943463853114,897.5581731637435,102.69924631407571,35.32931430247042,5.132492708020937
1100102-093,11,001,02-093,1204.656222889808,52.02149477673745,5.0025287972632295,10.004425395210651,6.0025287972632295,6.003793195894844,8.006321993158075,1123.6119689377015,12.009482989737112,24.003793195894843,25.010747388368724,23.01454058426357,6.003160996579037,17.008218591105496,10.008850790421304,9.00252879726323,538.3268470462724,22.017069381526802,2.0037931958948447,38.008850790421306,182.08724350558143,480.25351192563875,80.03097776647456,170.0866113062656,71.02718457057972,17.010115189052918,41.0170693815268,24.011379587684534,3.0012643986316148,20.006321993158075,61.03477096236941,22.003160996579037,27.01201178700034,8.003160996579037,22.017069381526802,14.00252879726323,17.006321993158075,4.001896597947423,12.005689793842267,6.006321993158075,8.004425395210651,1005.561392992437,51.02275917536907,126.0505759452646,10.005689793842267,946.544955810226,171.06258773226494,47.021494776737455,5.003160996579037
1100102-094,11,001,02-094,1435,44,8,6,5,5,9,1331,17,13,19,34,6,19,11,4,653,24,6,29,197,532,70,205,99,37,48,26,3,20,52,9,26,11,32,16,17,11,14,11,7,1205,48,152,6,1131,178,53,7
1100102-095,11,001,02-095,1171,43,2,6,3,3,7,1091,6,6,21,32,8,15,6,3,577,13,5,22,147,491,58,146,55,20,45,19,0,20,41,13,23,9,24,17,13,2,18,6,14,1012,27,105,7,961,117.00000000000001,48,7
1100102-096,11,001,02-096,1700,42,3,17,6,7,12,1571,12,10,25,41,9,21,11,4,842,25,8,44,206,663,77,218,73,20,42,39,3,30,54,18,36,8,33,20,31,5,17,19,12,1426,48,149,12,1377,152,70,7
1100102-097,11,001,02-097,968,26,5,5,12,7,8,880,9,17,21,28,6,8,10,7,481,13,4,22,144,392,36,140,57,12,26,30,4,11,26,10,17,6,14,21,14,8,8,6,8,838,36,80,4,791,103,43,7
1100102-098,11,001,02-098,1527,41,3,8,5,7,6,1432,9,12,18,21,8,31,12,4,744,23,11,39,202,612,73,264,92,23,41,35,1,23,47,12,23,15,26,18,16,10,9,9,11,1273,45,156,8,1242,167,52,8
1100102-099,11,001,02-099,1195,43,3,12,6,4,13,1118,8,14,25,28,6,19,14,3,600,20,5,34,129,449,68,156,77,22,27,25,3,19,46,18,28,12,23,23,26,6,7,4,12,1005,34,121,11,970,140,47,8
1100102-100,11,001,02-100,1786.388384823594,50.71210830297546,4.784247465924759,10.525148388785832,4.784247465924759,8.611514747832139,10.525475115866895,1676.353089105919,13.396306758892006,20.092663139392155,29.661484798322736,27.748613520558198,4.784356374951781,19.136663136617972,14.35296021582832,3.8274850999614247,867.8397718957146,26.79228679070295,8.611514747832139,36.358494632985014,242.07590803445262,679.3449523538031,61.23812796397747,213.37292814652557,87.07005839082537,27.74785115736905,43.057247012079635,36.3589302690931,6.697554379797385,22.963385873390244,69.84964271180961,15.30874240054846,49.753712301606804,12.438455302658456,22.96523732684961,15.308633491521439,29.660722435133586,9.56795038671441,13.395653304729878,15.309286945683569,11.481910754749165,1506.0406752422837,41.144702461396164,154.04745364225857,5.741554377023202,1478.2917349946445,155.00628527973532,55.495920132792136,5.741118740915115
1100102-101,11,001,02-101,1253,50,6,7,4,1,11,1177,19,10,15,30,14,13,9,8,623,39,14,25,154,500,116,176,71,22,30,26,7,15,44,16,20,8,46,15,12,8,7,8,7,1065,52,114,7,1048,110,59,9
1100102-102,11,001,02-102,1904,42,6,9,10,5,9,1763,10,17,38,39,7,21,16,2,906,31,6,42,261,734,110,226,106,27,35,38,3,31,76,17,28,12,34,26,29,11,15,7,9,1577,59,160,13,1494,213,59,10
1100102-103,11,001,02-103,2495.613053987417,72.04850248243952,10.011086281700461,17.01108628170046,8.00554314085023,8.008314711275345,8.006928926062788,2321.524363733813,17.01108628170046,23.013857852125575,30.022172563400922,61.02910148946371,15.00554314085023,32.01801520776325,23.020786778188363,8.001385785212557,1230.748324014781,32.031873059888824,10.006928926062788,64.02494413382604,274.2009388558208,988.6582479759649,121.05404562328974,328.1801520776325,146.06374611977765,22.011086281700457,59.04157355637673,58.05265983807719,11.004157355637672,27.026329919038595,69.05127405286463,20.00554314085023,43.0360304155265,14.008314711275347,68.03880198595161,12.024944133826036,46.03880198595161,9,20.022172563400922,22.002771570425114,24.008314711275347,2102.3552979378815,61.05681719371486,223.1468932325311,15.008314711275345,2033.309567025867,238.16906579593203,84.06928926062788,16.005543140850232
