GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16DELDNOR,G16DELLMOU,G16DELGSTR,G16DELOWRI,G16COUDWHI,G16COURCEL,G16COULKLO,G16COUGAIK,G16COUIGRO,G16COUICHE,G16COUOWRI,G16HALDGAR,G16HALOWRI
1100102-062,11,001,02-062,2584.717295873573,103.26953467954345,20.852502194907814,40.71202809482001,33.76119402985075,2453.6444249341525,102.27655838454784,140.00965759438103,25.817383669885864,2345.4100087796314,138.02370500438983,48.6558384547849,259.16681299385425,1259.0939420544337,225.4056189640035,39.719051799824406,2262,77.4521510096576
1100102-063,11,001,02-063,2828,83,23,77,38,2679,92,177,16,2413,130,97,383,1263,246,45,2551,49
1100102-064,11,001,02-064,1793,37,13,34,24,1727,47,77,11,1583,67,68,209,659,215,25,1615,37
1100102-065,11,001,02-065,2046,40,18,30,24,1968,55,67,11,1761,78,54,207,627,222,14,1806,28
1100102-066,11,001,02-066,3319,64,34,57,37,3265,82,92,9,2991,116,103,348,1122,333,34,3085,41
1100102-067,11,001,02-067,2150,71,19,30,26,2094,57,78,22,1936,109,60,231,954,286,37,1991,37
1100102-068,11,001,02-068,1467.3136152529944,81.07797604497678,31.640185773649474,33.61769738450257,49.4377902713273,1411.9432901491077,86.02175507210951,111.72940601319971,17.79760449767783,1254.731117086287,155.23466145196772,75.14544121241751,214.5600097775605,741.5668540699096,152.2683940356881,20.76387191395747,1389.2019066242972,46.47152285504767
1100102-069,11,001,02-069,1558,42,8,25,17,1507,40,59,10,1395,57,43,166,622,188,22,1419,28
1100102-070,11,001,02-070,1131,20,14,23,24,1068,56,56,11,973,63,53,128,492,141,20,1045,37
1100102-071,11,001,02-071,1671,48,24,23,19,1648,64,50,6,1496,82,66,164,624,201,24,1564,35
1100102-072,11,001,02-072,2745,60,29,34,44,2630,83,98,25,2307,125,107,250,891,326,46,2496,51
1100102-073,11,001,02-073,1478.6863847470056,51.92202395502322,20.359814226350526,23.382302615497434,40.5622097286727,1414.0567098508923,71.97824492789049,85.270593986800293,18.20239550232217,1241.268882913713,120.76533854803226,60.8545587875825,170.4399902224395,732.4331459300904,145.7316059643119,21.23612808604253,1361.7980933757028,47.52847714495233
1100102-074,11,001,02-074,3213,118,49,57,81,3033,201,171,30,2709,262,168,361,1176,325,55,3000,75
1100102-075,11,001,02-075,2871,84,61,51,64,2706,177,154,17,2422,212,151,309,1214,247,30,2678,62
1100102-076,11,001,02-076,971.8456122458284,42.99317008906443,11.99809397834356,21.996505626963195,17.99714096751534,894.8578425514572,49.99205824309817,64.98967571602762,6.998888154033744,810.8711847030522,72.98840503492332,72.98840503492332,105.98316347536812,239.9618795668712,128.97951026719326,11.99809397834356,917.8541893432823,11.99809397834356
1100102-077,11,001,02-077,2035,44,28,35,36,1938,91,79,12,1708,105,88,261,638,197,24,1817,40
1100102-078,11,001,02-078,1894.7952980479001,36.041230546024224,13.0177832378512,36.027310197328944,22.029321059475926,1831.7407284990852,57.04763479738873,62.06589454065404,7.009050454063637,1609.4654122802767,72.09627345144874,93.09627345144874,197.1967783081725,472.5964692026445,197.2851100027194,20.028368048647707,1699.5221006805334,29.03366045404596
1100102-079,11,001,02-079,1367.7557938429609,32.2383258388101,11.128329297820823,24.183327568315462,12.256658595641648,1301.8941542718783,44.42165340712556,43.49498443445175,8.036665513663092,1132.8509166378417,76.78830854375649,63.7149775164303,122.75994465582843,357.4365271532342,140.27326184711174,16.256658595641646,1188.3092355586302,13.256658595641646
1100102-080,11,001,02-080,1014.1446982242809,28.947043551677307,11.978086986900955,15.970782649201274,32.939739213977624,972.2213937701274,47.91234794760382,46.91417403202874,7.985391324600637,876.3966978749198,79.85391324600636,46.91417403202874,107.80278288210859,344.37000087340243,100.81556547308303,19.96347831150159,892.3674805241211,33.937913129552705
1100102-081,11,001,02-081,3585,139,56,48,130,3324,270,195,53,2923,379,207,386,1365,284,66,3257,121
1100102-082,11,001,02-082,2114,83,55,37,85,1965,176,149,34,1759,258,142,266,1004,172,31,1978,81
1100102-083,11,001,02-083,4427,198,124,55,165,4055,423,278,63,3603,667,296,464,1972,390,62,4190,150
1100102-084,11,001,02-084,1876.1766438141194,126.2466008970894,54.11534558089665,26.039774338240225,114.19887169120112,1714.896897635163,236.44282096574116,119.21345561522254,48.09280678922719,1510.4434701792245,361.65495076968904,133.2267137279693,209.35796904416202,1052.876022953664,137.19224263482775,27.05966150736034,1674.8332586939787,110.1895910122784
1100102-085,11,001,02-085,2392.8233561858806,185.7533991029106,86.88465441910334,29.960225661759775,149.80112830879887,2182.103102364837,333.55717903425887,160.78654438477747,69.9071932107728,1840.5565298207755,493.34504923031096,170.77328627203073,269.642030955838,1413.123977046336,144.80775736517225,44.94033849263966,2134.1667413060213,142.81040898772162
1100102-086,11,001,02-086,1845,96,50,20,62,1714,160,98,52,1487,251,109,201,942,155,33,1672,101
1100102-087,11,001,02-087,2192.855301775719,94.05295644832269,49.021913013099045,37.029217350798724,76.06026078602237,2050.7786062298724,176.08765205239618,116.08582596797126,42.014608675399366,1761.60330212508,276.14608675399364,119.08582596797126,227.1972171178914,1002.6299991265976,190.18443452691696,37.03652168849841,1970.6325194758788,87.06208687044729
1100102-088,11,001,02-088,1891,113,58,25,88,1722,213,133,38,1469,293,113,186,1056,135,20,1636,82
1100102-089,11,001,02-089,2387,259,78,27,178,2148,386,165,76,1839,616,182,201,1404,138,32,2042,166
1100102-090,11,001,02-090,1363,66,43,17,79,1233,159,87,34,1040,250,102,132,733,87,15,1207,79
1100102-091,11,001,02-091,3383.087869643935,154.65926372963187,63.23657211828606,42.419553409776704,128.2617984308992,3117.010621605311,273.87531683765843,208.214484007242,55.49052504526252,2728.2315027157515,432.51092335546167,159.2649366324683,311.6135184067592,1526.1780325890163,315.70814725407365,40.00156910078455,3029.4333132166566,119.93530476765238
