GEOID20,STATEFP,COUNTYFP,DISTRICT,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
1100102-038,11,001,02-038,1596,38,24,72,38,6,1292,47,189,114,100,1644,97,10,1542,112,69,1145,59,228,380,752,48,33,1582,35,1393,280,25
1100102-039,11,001,02-039,2167.9276020961206,45.7093169116652,41.97794410254967,164.18040360108316,41.04510090027079,19.589707247856513,1699.6403145521224,62.50049455268507,344.2191416409073,150.18775556689994,152.98628517373658,2281.7344727741443,141.79216674639,11.194118427346579,2056.919261024934,196.829915680844,130.59804831904341,1403.9290194297168,74.62745618231054,423.5108138346123,391.7941449571303,1456.1682387573342,72.76176977775276,34.51519848431862,2099.8300483297626,72.76176977775276,1733.222669834162,546.6461165354247,40.11225769799191
1100102-040,11,001,02-040,2308.8776753267803,67.93755167556083,43.959592260657004,185.82918546550462,49.95408211438296,14.986224634314889,1804.3414459715125,73.93204152928678,462.57480037918623,135.87510335112165,129.8806134973957,2448.7491052470527,142.86867484713528,9.990816422876591,2215.963082594028,230.7878593684493,119.88979707451911,1397.7152175604353,104.90357244020421,483.55551486722703,380.6501057115982,1630.5012402134598,102.9054091556289,38.96418404921871,2231.948388870631,63.941225106410194,1802.3432826869373,637.4140877795265,36.96602076464339
1100102-041,11,001,02-041,1884,52,30.999999999999996,122,49,12,1553,50,260,154,93,1977.9999999999998,120,5,1841,160,85,1391,84,318,339,958,67,22,1899.9999999999998,49,1659,375.99999999999994,24
1100102-042,11,001,02-042,1040,22,25,55,19,7,849,34,133,60,65,1078,60,10,982,91,63,738,38,148,258,577,40,16,1012,23,858,218,15
1100102-043,11,001,02-043,1026.4738735704334,25.98668034355528,16.991290993863064,62.96772544784548,20.989241815948493,1.9989754110427136,809.585041472299,34.98206969324749,141.92725418403268,72.96260250305905,63.967213153366835,1074.4492834354585,52.97284839263191,8.99538934969221,967.5040989446734,89.95389349692212,52.97284839263191,764.608094723838,29.984631165640707,164.91547141102387,246.87346326377514,506.7402666993279,42.97797133741834,24.987192638033918,1015.4795088096985,27.98565575459799,870.5537915091018,206.89395504292085,17.99077869938442
1100102-044,11,001,02-044,1349,61,14,32,42,8,1196,37,95,106,53,1358,84,9,1312,110,30,1190,82,151,384,307,80,22,1320,34,1278,136,15
1100102-045,11,001,02-045,1418,20,20,71,28,15,1141,25,196,90,81,1465,66,7,1347,103,73,1050,34,226,315,690,38,35,1347,49,1189,289,25
1100102-046,11,001,02-046,1573,20,22,84,40,13,1312,47,178,102,78,1634,75,7,1524,126,50,1247,47,212,338,743,44,25,1582,34,1405,253,25
1100102-047,11,001,02-047,2012.1864716212858,38.26694344215102,24.908531187008087,108.16068571767221,58.68941392924846,13.293736228792705,1589.9326612529003,39.63395927954297,303.96661679136986,154.7680547569488,107.34549995880971,2080.017502566018,97.18380204631666,12.19582415252847,1936.8441914094294,164.06276610267642,92.19106249676608,1409.428908291121,56.814909593771034,316.4621788023825,435.5590270655325,1108.8636217405788,73.61415831699078,33.46573002337018,1968.5311914708043,57.10704160313577,1658.1733680079585,431.2141971351838,43.6307395325897
