GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREICAS,G16PRENROC,G16PREONON,G16USSDCOR,G16USSRHEC,G16USSIJON,G16USSNSAW,G16USSNGUM,G16USSNWIL,G16USSONON
32003001385,32,003,001385,0.012930099695239058,0.01153762742036716,6.962361374359493e-4,1.9892461069598552e-4,0,9.946230534799276e-4,0.01263171277919508,0.012034938947107122,9.946230534799276e-5,2.9838691604397823e-4,9.946230534799276e-5,9.946230534799276e-5,8.951607481319348e-4
32003001386,32,003,001386,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001387,32,003,001387,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001389,32,003,001389,419.78090015171335,360.0711200610027,19.806755061923514,4.109679289555245,0.1561222268532044,15.847946828789429,384.216368788043,356.6527593370784,7.350906472893095,6.23492060475389,8.378967769574407,8.152872074495606,33.280205714804396
32003001390,32,003,001390,819.3328911758425,667.8237484672728,42.906453541225524,9.12201047879754,4.259587040584584,29.596759116015704,799.5344670851715,637.5287221340637,21.707469237031773,12.758774400811363,13.667881281178602,4.327468239958264,56.53413398747462
32003001391,32,003,001391,641.1080233496864,500.95882754766194,51.68622823904448,5.963795566043594,0,31.806909685565838,610.2950795917945,500.95882754766194,13.915522987435054,9.939659276739324,19.879318553478647,5.963795566043594,51.68622823904448
32003001394,32,003,001394,441,592,32,5,1,16,419,590,7.000000000000001,9,10,5,31
32003001395,32,003,001395,381.11764705882354,608.6588235294117,24.188235294117646,5.047058823529412,0.047058823529411764,16.282352941176473,345.4470588235294,627.0235294117647,5.11764705882353,2.047058823529412,11.094117647058825,3.070588235294118,24.28235294117647
32003001396,32,003,001396,456,365,18,2,0,14,435,346,9.999999999999998,11,14,3,25
32003001410,32,003,001410,555,636,60,3,0,45,530,647,26,13,12,4,44
32003001411,32,003,001411,465,520,19,4,3,20,420,515,14,9,14,2,36
32003001509,32,003,001509,459.55577795382277,670.5368744172426,29.266044158290505,3.8784184371435146,0.9446264484227308,22.178689066603095,441.15228472396626,665.339035631335,7.884047653803009,8.390567526540313,11.983846326056469,2.227664673002609,32.43099351000117
32003001510,32,003,001510,266.554530278157,529.4999547553747,8.12589506291855,1.0045743920496555,1.0045743920496555,22.041103340744883,229.59364426753618,568.3732479630302,3.0360481577792933,3.021164836692409,7.017137423260704,2.009148784099311,10.112718865387535
32003001511,32,003,001511,397,482,25.999999999999996,2,1,20,365,502,8.999999999999998,5,16,2,19
32003001513,32,003,001513,532,759,33,3,1,39,487,780,16,13,9,2,35
32003001514,32,003,001514,472,621,39,3,2,41,450,641,12,8,10,8,30
32003001517,32,003,001517,301,397,6,0,0,21,320,357,6,4,2,3,23
32003001518,32,003,001518,523.7463126843658,770.7246804326451,27.503441494591936,1.0943952802359882,1.0314650934119962,26.59783677482793,474.43166175024584,809.9695181907572,4.220255653883973,5.220255653883973,13.534906588003935,4.094395280235989,23.755162241887906
32003001519,32,003,001519,141,311,9,0,0,11,106,347,0,3,0,0,10
32003001520,32,003,001520,253.88235294117646,359.3411764705882,7.811764705882353,1.9529411764705882,1.9529411764705882,11.71764705882353,267.5529411764706,332.9764705882353,4.88235294117647,1.9529411764705882,3.9058823529411764,2.9294117647058826,11.71764705882353
32003001521,32,003,001521,321.8205128205128,608.7179487179487,21.30769230769231,0.02564102564102564,1.0256410256410258,16.48717948717949,309.5897435897436,599.948717948718,8.128205128205128,7.128205128205129,6.102564102564103,1.0256410256410258,23.30769230769231
32003001525,32,003,001525,515.236236933798,818.0850174216029,11.799303135888502,0,0,25.56515679442509,493.604181184669,807.2689895470384,8.849477351916377,3.9331010452961674,8.849477351916377,0.9832752613240419,29.498257839721255
32003001528,32,003,001528,457.75357761269197,658.743845420354,40.59103601767274,0.8407728458434494,0,27.02103456692674,437.0978235568737,665.7894977747995,9.92754073030068,6.965451853192548,12.969830108661947,2.321817284397516,26.22036197170986
32003001533,32,003,001533,6.75397708450898,5.515065389907133,0.03263589915054078,0.8678699329957841,0,0.4079640477051328,6.378648935954389,5.538376746443234,1.2245489963214957,0.013986813921660334,0.004662271307220111,0.004662271307220111,0.041960441764980996
32003001543,32,003,001543,0.002948356543022535,0.0026308412230047233,1.5875766000890572e-4,4.5359331431115914e-5,0,2.2679665715557958e-4,0.0028803175458758604,0.002744239551582513,2.2679665715557957e-5,6.803899714667388e-5,2.2679665715557957e-5,2.2679665715557957e-5,2.0411699144002161e-4
32003001550,32,003,001550,308.7154251250555,402.2591206254358,19.841503871397087,0.9928435005036983,0.9928435005036983,13.91005309950303,299.74397929694277,400.3259345982411,5.95321946835297,3.9700934904583867,4.966778525631304,1.9856870010073966,18.852501905562608
32003001552,32,003,001552,286.92328591275356,326.9125940539039,13.996257849402612,0,2.999198110586274,11.996792442345097,268.9280972492359,318.9147324256738,10.997059738816338,7.997861628230064,7.997861628230064,0.999732703528758,18.994921367046402
32003001553,32,003,001553,16.9384739575462,10.02662731637586,1.3942351593777083,0,0.1483228892955009,0.830608180054805,15.514574220309392,10.056291894234958,0.44496866788650263,0.7416144464775045,0.3263103564501019,0.11865831143640071,1.5128934708141089
32003001601,32,003,001601,442.56721915285453,308.55064456721914,22.296500920810313,3.294659300184162,0,20.589318600368323,419.50644567219155,288.37384898710866,14.766114180478821,7.3535911602209945,10.235727440147329,1.0589318600368325,37.29650092081032
32003001602,32,003,001602,441,207.99999999999997,15,3.9999999999999996,3,12.999999999999998,415.99999999999994,185,12,11,6.999999999999999,3.9999999999999996,28.999999999999996
32003001603,32,003,001603,425,200,10,0,3,11,393,180,12,4,6,3,34
32003001604,32,003,001604,414,328,12,3,2,13,382,309,21,7,6,4,32
32003001605,32,003,001605,472,269,24,1,2,17,454,235,20,12,9,4,33
32003001606,32,003,001606,174,235,12.999999999999998,0,1,12,163,242,4,2,4,1,9
32003001607,32,003,001607,49,34,3,0,2,1,42,34.99999999999999,0,2,4,1,3
32003001608,32,003,001608,429,639,26,2,2,27.000000000000004,425.00000000000006,656,3.0000000000000004,2,7,2,20
32003001609,32,003,001609,675,452,49,6,2,25,636,440,15,10,12,8,58
32003001611,32,003,001611,605,278,22,3,3,24,548,267,8,10,12,5,48
32003001612,32,003,001612,632,592,28,9,1,18,602,552,9,13,9,7,52
32003001613,32,003,001613,388,249,25,1,1,21,381,220,13,11,8,2,34
32003001614,32,003,001614,387,316,26,1,0,11,383,278,16,7,9,3,28
32003001615,32,003,001615,448,320,19,4,2,16,450,286,9,8,10,4,30
32003001616,32,003,001616,329,242,17,1,2,17,321,222,8,13,10,4,19
32003001617,32,003,001617,459,286,17,5,2,22,428,263,14,14,5,5,33
32003001618,32,003,001618,516,377,25,4,1,16,472,372,15,5,9,3,37
32003001619,32,003,001619,738,550,24,1,1,25,695,526,13,14,8,7,47
32003001621,32,003,001621,442.5485300955344,264.7299333528592,27.97146465615116,3.9959235223073084,3.9959235223073084,21.977579372690197,423.5678933645747,241.75337309959215,15.983694089229234,15.983694089229234,9.98980880576827,4.994904402884135,28.970445536727986
32003001623,32,003,001623,202,142,13,2,0,10.999999999999998,198,130,5,5,10.999999999999998,3,18
32003001624,32,003,001624,239,201,23,1,1,9,237,191,5.999999999999999,5.999999999999999,5.999999999999999,5,15
32003001625,32,003,001625,369,281,22,3,2,19,348,261,15,6,7,6,34
32003001631,32,003,001631,584,358,27,1,2,21,572,301,16,21,10,12,47
32003001632,32,003,001632,340.99999999999994,197,25.999999999999996,1.9999999999999998,0.9999999999999999,7.999999999999999,334,164,7.999999999999999,10,7,7.999999999999999,22
32003001633,32,003,001633,676.7748504284173,326.95877502342034,16.894526368991325,4.968978343820978,2.981387006292587,11.925548025170349,636.0292280090852,280.2503785915032,16.894526368991325,11.925548025170349,8.944161018877761,8.944161018877761,50.68357910697398
32003001634,32,003,001634,458.0136418539255,175.57189604400477,16.22131648232653,4.77097543597839,4.77097543597839,11.450341046348138,437.0213499356206,158.39638447448257,11.450341046348138,6.6793656103697465,7.633560697565424,5.725170523174069,25.76326735428331
32003001635,32,003,001635,354,129,16,0,3,8,320,118,11.000000000000002,7.000000000000001,4,2,22.000000000000004
32003001641,32,003,001641,390,252,13,3,1.9999999999999998,9,368,228,12,7.999999999999999,9,1.9999999999999998,25
32003001642,32,003,001642,302.76091669970884,127.37514294809758,10.77789671099287,2.9394263757253287,0.9798087919084428,11.757705502901315,281.2051232777231,118.55686382092159,5.8788527514506574,7.838470335267543,1.9596175838168857,0.9798087919084428,23.51541100580263
32003001643,32,003,001643,379.5223684943806,313.61238507982694,17.03575063725698,2.9438216268630018,1.805752970261744,9.8721900463248,344.3317446636407,315.5344276413295,8.066437076063055,5.044218058709925,5.4172589107852325,2.7870268458827447,20.09847484434957
32003001644,32,003,001644,5.851663585951941,5.095194085027726,0.3202402957486137,0.04852125693160813,0.019408502772643253,0.23290203327171904,5.570240295748613,4.745841035120147,0.1843807763401109,0.1843807763401109,0.12615526802218113,0.06792975970425139,0.5337338262476894
32003001645,32,003,001645,78,51,6,0,0,5,77,44,2,2,2,4,8
32003001651,32,003,001651,130.99912562967137,311.9979175302097,11.999919905008065,0,0,6.999953277921372,137.99907890759275,286.99808439477624,5.999959952504033,3.999973301669355,3.999973301669355,2.9999799762520163,12.999913230425404
32003001652,32,003,001652,794,394,34,5,5,18,763,341,25,20,9,9,45
32003001653,32,003,001653,727,274,22,5,6,26,681,246,11,17,12,14,49
32003001655,32,003,001655,688,297,27,4,0,24,658,258,20,19,8,10,41
32003001661,32,003,001661,573,302,24,6,2,21,533,292,13,11,8,8,46
32003001662,32,003,001662,489,294,23,2,5,22,464,266,13,15,15,10,32
32003001664,32,003,001664,308,369,16,1,0,15,311,339,15,8,6,0,20
32003001665,32,003,001665,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001668,32,003,001668,598.2886666386959,767.9057409521729,31.058472490756525,5.01364497856677,0.9991253575950851,21.04920072421433,580.1467510343101,734.9210905085916,13.020161482270959,17.01215836500346,15.022916745108965,5.031663169158114,39.11003447093908
32003001669,32,003,001669,229.6772834210792,242.6590429187924,14.978953266592123,0.9985968844394749,0,10.984565728834223,224.68429899888184,247.65202734098978,1.9971937688789498,1.9971937688789498,6.990178191076324,0.9985968844394749,13.980356382152648
32003001670,32,003,001670,503,388,30,3,4,19,469,364,11,12,7,11,57
