GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
32003007613,32,003,007613,409.30499723217935,554.149110973804,9.348581080302642,3.018586793063197,5.33599955209809
32003007614,32,003,007614,459,450,12,3,17
32003007615,32,003,007615,784,894,23,2,27
32003007622,32,003,007622,272.14884801305794,254.0055914788541,9.549082386423086,0.9549082386423086,2.8647247159269256
32003007623,32,003,007623,661.8058076671736,665.8046342996035,12.996186555397667,0,16.995013187827716
32003007624,32,003,007624,737,568,11,3,11
32003007625,32,003,007625,380,419,6,1,10
32003007631,32,003,007631,697,903,20,2,17
32003007632,32,003,007632,487,391,11,2,10
32003007633,32,003,007633,476,497,7,0,7
32003007634,32,003,007634,311,330,1,2,7
32003007635,32,003,007635,448,407,7,4,6
32003007641,32,003,007641,373,486,1,1,8
32003007642,32,003,007642,345,377,0,0,4
32003007643,32,003,007643,311,289,3,1,10
32003007644,32,003,007644,508,593,10,0,16
32003007645,32,003,007645,225,174,4,2,5
32003007651,32,003,007651,955,925,10,1,20
32003007652,32,003,007652,418,537,6,2,6
32003007653,32,003,007653,342,539,9,2,8
32003007654,32,003,007654,493,487,6,2,7
32003007661,32,003,007661,404,272,6,2,5
32003007662,32,003,007662,524,465,13,4,5
32003007663,32,003,007663,624,548,8,0,11
32003007664,32,003,007664,439,354,8,5,3
32003007665,32,003,007665,469.74669618450946,406.34430637949055,5.152013926340481,1,11.035767982668348
32003007671,32,003,007671,402,434.00000000000006,6,0,9
32003007672,32,003,007672,415.2533038154905,370.65569362050945,16.847986073659516,0,3.9642320173316516
32003007674,32,003,007674,194,195,5,1,5
32003007675,32,003,007675,342,439,6,0,6
32003007681,32,003,007681,448.99999999999994,455.99999999999994,7.999999999999999,1.9999999999999998,12.999999999999998
32003007682,32,003,007682,338,278,3,1,2
32003007683,32,003,007683,532,559,12,2,5
32003007684,32,003,007684,412,320,9,3,9
32003007685,32,003,007685,519,427,10,3,10
32003007691,32,003,007691,287,351,0,0,6
32003007692,32,003,007692,613,636,14,3,15
32003007693,32,003,007693,747,589,13,4,8
32003007694,32,003,007694,663,582,13,2,11
32003007695,32,003,007695,518,502,10,1,8
32003007701,32,003,007701,60.305788951551875,44.18411160737034,1.0144457926081125,0.00820915031612028,3.929173148813233
32003007702,32,003,007702,694.6942110484481,494.8158883926297,14.985554207391887,2.9917908496838796,13.070826851186768
32003007703,32,003,007703,483,453,10,4,5
32003007704,32,003,007704,262.4399033640424,237.60559383816405,2.0077516011284997,2.0029068504231873,9.005813700846375
32003007705,32,003,007705,452.81212611724834,623.3647110644939,7.979068301625522,2.9921506131095708,5.9843012262191415
32003007706,32,003,007706,503,479,8,3,6
32003007707,32,003,007707,440,435,8,2,13
32003007712,32,003,007712,410.7479705187093,381.0296950973421,7.013180097245979,2.004942536467242,7.009885072934484
32003007713,32,003,007713,352,350,7,1,5
32003007714,32,003,007714,482,325,5,1,6
32003007715,32,003,007715,790,651,17,4,17
