GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
1719700DU19,17,197,00DU19,751.5232142559431,256.21105366299895,11.171182042534236,12.087725867043462,2.0241753635680575,4.010133184226193,700.1742652853271,228.7700336261004,60.53417319249211,23.182472823757855,13.214466177557256
1719700DU20,17,197,00DU20,665.0510232835977,210.2340802589099,10.824878269979243,4.053957761762835,0.07551185283570061,3.924025436202775,618.4269561452554,189.55086489304875,64.16366908807198,11.910777968482414,8.995448355501104
1719700DU21,17,197,00DU21,783,314,11,6,3,3,732,290,59,17,14
1719700DU22,17,197,00DU22,814.7132596317159,371.9557150050322,12.072979526956988,8.06417774253226,0.011216670882643009,1.0067006229366084,764.275421459871,333.76782219535284,64.52478810805907,21.110777043162006,28.086023492438002
1719700DU23,17,197,00DU23,1136.369387412456,378.67045976794367,12.055773061309512,7.045364890385633,2.999138721533051,2.011269449390829,1081.7453341329463,344.51441003340597,66.5140154503229,16.113842865197558,16.161217405339404
1719700DU24,17,197,00DU24,655.941176732504,257.44458214614065,7.891021674977491,2.959133128116559,1.9727554187443728,2.959133128116559,618.4588237763609,246.5944273430466,53.264396306098064,6.904643965605305,5.918266256233118
1719700DU25,17,197,00DU25,660,239,5,7,1,2,598,221,67,11,12
1719700DU26,17,197,00DU26,650.4896052210846,251.23700321413148,7.790294673306402,2.9213605024899008,0,0,594.0099688396132,220.07582452090585,67.19129155726772,9.737868341633003,9.737868341633003
1719700DU27,17,197,00DU27,914.2049097014918,236.01571523013922,10.800465005920868,8.727341516282694,4.799899695947833,2.9674618811452946,841.1780300152493,217.31660555176032,82.06054842504327,13.702285339383717,17.476563548459538
1719700DU28,17,197,00DU28,813.4396071507393,245.92360216185145,7.965136912124742,10.952063254171522,1.9912842280311855,0.9956421140155928,744.7403012836635,217.04998085539924,81.6426533492786,16.925915938265078,10.952063254171522
1719700DU29,17,197,00DU29,941.7476747855582,410.810933748632,16.108512103527097,9.086063241483654,8.612784669490299e-4,2.0215875835764927,878.5974482848326,387.5069850216272,59.96455103320658,19.21472746447566,12.298781056203103
1719700DU30,17,197,00DU30,847.0430069485765,241.7014350169971,4.549203494213487,4.3394468419056595,2.1629593264916673,1.173090085235663,768.8736329772103,215.76038281248861,95.85392265734076,8.633572190331982,14.692248349561485
1719700DU31,17,197,00DU31,425.13823325879576,242.11514687949173,5.000855051085335,4.000285017028445,2.0005700340568895,3.0005700340568895,382.134528037426,231.1085914878375,38.007980476796455,9.00171010217067,12.000285017028444
1719700DU32,17,197,00DU32,752.7650679789474,549.1764515197252,21.070513237132843,11.070568265211659,2.0117604604006294,2.0117604604006294,735.6239039344847,481.329274654673,57.694202834917924,22.15290799643971,22.105822132374136
1719700DU33,17,197,00DU33,652.2308324291807,434.8205549527872,5.929371203901643,5.929371203901643,0.9882285339836072,0.9882285339836072,640.3720900213775,363.66810050596746,58.305483505032825,12.846970941786893,8.894056805852465
1719700DU34,17,197,00DU34,484.86176674120424,403.8848531205083,2.9991449489146658,0.9997149829715551,1.9994299659431103,1.9994299659431103,471.865471962574,380.8914085121625,27.992019523203545,5.9982898978293315,0.9997149829715551
1719700DU35,17,197,00DU35,602.6402217166524,236.57441388706647,6.139941833351559,9.047668692503063,3.0031645400481364,0,573.4823809216582,211.14084194817303,42.521491965157075,13.115513199831666,10.083717355514539
1719700DU36,17,197,00DU36,718.3638778752195,526.4285796404212,15.860173725613956,6.952391838383637,0.9968464655676271,1.10056157633682e-5,695.5216251224797,475.8617828911866,63.47882169489218,14.884607861941731,10.916403706258858
1719700DU37,17,197,00DU37,543,424,7,10,2,1,540,360,60.99999999999999,22,11
1719700FL01,17,197,00FL01,179.108836145923,340.413827387883,6.927062264056026,1.9791549920947837,0,0.00015833379425925893,189.9938521431315,295.88293902437175,26.718612185003863,6.9271018475045905,6.926864346813202
1719700FR01,17,197,00FR01,641.2159229536871,915.8800644058117,12.98412305046407,3.995114784758176,0.998778696189544,0,623.2379064222754,849.9606704573018,69.91450873326808,15.980459139032703,7.990229569516352
1719700FR02,17,197,00FR02,509.1224524307291,804.0090141982566,12.002599224149535,4.001679875142269,1.0018435361973095,0,491.12099399578204,761.0102753839224,42.01072421870822,18.993540366035248,8.000105881914841
1719700FR03,17,197,00FR03,614.7602063012372,609.7143478575017,10.168842951459398,4.075095674267803,1.0452967869995766,0.005709347501560171,602.3541761232235,565.5310860728894,46.52826889627989,20.974331656527706,6.104651557253521
1719700FR04,17,197,00FR04,518.7922362272797,594.2627525205999,11.849480774365285,4.9359636278617485,2.9504899404772393,0,503.98434534369443,564.488567378575,43.52201774760477,6.051463087066178,5.932660555925363
1719700FR05,17,197,00FR05,713.2129038675698,936.775291850314,11.106471096676175,2.0972797490021446,2.0199259925340383,1.009352344361791,681.3215028087852,866.3693682006374,61.903874885116686,21.856843211743012,18.843579029852904
1719700FR06,17,197,00FR06,426,602,11,7,2,2,421,540,60,16,6
1719700FR07,17,197,00FR07,498.99999999999994,639,6,6,1,1,477,580,50,19,6
1719700FR08,17,197,00FR08,610,788,11,8,3,3,595,725,50,16,14
1719700FR09,17,197,00FR09,572.2993065738375,610.5979062609459,12.04931509027286,11.018291388191793,4.0064581909858,1.0016290259103962,557.1647513045742,565.4916139714721,62.17842666564737,20.044507317993425,3.0384813467495193
1719700FR10,17,197,00FR10,640.084926740583,561.942367556201,9.056051482195754,7.0185905416355805,2.015644334367799,1.001350741778194,601.9718771793933,536.6990623581426,47.25653043168626,7.124727053731856,4.05096829328936
1719700FR11,17,197,00FR11,735.8385365262584,965.7880791907141,17.996051165044364,3.9991224811209696,0.9997806202802424,0,675.8516993094438,962.7887373298734,51.9885922545726,16.99627054476412,6.9984643419616965
1719700FR12,17,197,00FR12,465.47977884919936,588.3424672578936,8.989952810392264,1.9977672911982807,0,0.9988836455991403,451.4954078108114,547.3882377883289,42.95199676076303,13.984371038387964,6.992185519193982
1719700FR13,17,197,00FR13,467.47449082684045,549.6037726824615,10.009067953548632,3.0019389379839883,1.9998041527881791,0.0011163544008596516,446.4609182609525,508.56201701986856,42.043890447788726,23.013376718676096,7.007129015564645
1719700FR14,17,197,00FR14,557.3310128954632,596.1528524914255,12.978150391936875,3.997814506597178,5.987605584384232,0.9986492582218062,530.3556855198714,546.2472018612515,45.93893836943973,24.946926613285434,12.972787935753619
1719700FR15,17,197,00FR15,453.05655621891924,574.5354570072889,13.9402017298129,4.978643474933179,1.9914573899732715,0,439.11635448910636,516.7831926980639,43.81206257941197,20.91030259471935,12.944473034826265
1719700FR16,17,197,00FR16,671.0214127145085,750.5568703908965,13.902668399409576,5.9613753867052255,0.9944635023136982,0.9926616265880437,618.3562902335726,722.6992791960334,52.71557500125427,17.893135538743948,12.911808648547186
1719700FR17,17,197,00FR17,618.6425672064743,1079.461687171592,21.44441844358725,10.130229553814576,3.9815335714589986,1.990647655638209,588.5248144854984,1044.5457898635586,64.14380573464788,14.607231043826335,10.4778651232356
1719700FR18,17,197,00FR18,482.39899471481283,605.4563265910211,14.766895492921941,4.922265856438677,0.9845902643360099,0,429.2396397943825,600.5303396375579,56.114594567527014,6.893013162805264,6.891446385110697
1719700FR19,17,197,00FR19,569.0118798460928,584.0133730614981,13.000065877150238,7.000065877150237,1.0000219590500792,2,563.0112210745904,537.0126044947453,39.001273624904584,17.000307426701106,15.000087836200317
1719700FR20,17,197,00FR20,490.94344378108076,630.4645429927111,23.0597982701871,4.021356525066821,2.0085426100267285,1,469.88364551089364,600.216807301936,47.18793742058803,24.08969740528065,10.055526965173735
1719700FR21,17,197,00FR21,478.9333373619231,542.8566780775802,16.718412187171854,8.850924099090982,0.983436011010109,0,444.5130769765693,520.2376498243477,48.18836453949534,19.668720220202182,10.817796121111199
1719700FR22,17,197,00FR22,532.4955494470066,599.4265981760203,2.9528403851035483,2.9528403851035483,0.9842801283678495,0,502.9671455959711,564.9767936831456,57.08824744533527,13.779921797149893,3.937120513471398
1719700FR23,17,197,00FR23,486.12518929540556,618.2978135404842,12.247197723829933,1.083789898229268,2.01536732269323,0,438.26475941701347,636.1820385323446,31.937126299429547,9.121477828378845,4.117305857520975
