GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR
170970Avo19,17,097,0Avo19,324.4008321892733,161.86246481328578,15.500380901216463,6.090149642497,2.210453932438138,303.17416066836495,157.06256964888374,27.522199766663086,11.196674001271992,1.1029786654133173,287.84010474893824,157.59409494449622,26.356206203497717,19.14634971188916
170970Avo20,17,097,0Avo20,294.11519580204305,192.47656669051835,27.496841458424623,8.13667329916295,6.1933766143975415,288.89129858189295,185.73765870579172,28.295598668512742,11.262265162196643,2.048870495213541,265.6779555325676,198.94020079776422,26.29884613290687,23.266495693465124
170970Avo21,17,097,0Avo21,373.94661286690837,258.47458693359954,34.32578106972337,8.685863505948118,7.725924017065848,363.5883802819033,271.9137397779513,23.750977323349158,11.457396391910349,0.9754088575514974,314.5996889801788,303.0348456389741,34.9144557105442,12.525621461477204
170970Avo22,17,097,0Avo22,381.15500362971653,282.890675083846,40.84639277372338,12.619897582671948,15.562507591187664,342.21048233174974,347.17342398136805,20.408138872937222,15.524305212674172,0.9793586795839965,264.5600603636533,418.96116123546045,20.427493875115456,13.638473892455389
170970Avo23,17,097,0Avo23,372.3900490307165,269.07929212084923,41.140939744068,9.067225777944904,16.051255039827314,325.30667828279735,350.1947901923173,18.08645803333726,10.089626626955132,1.9968081754679041,268.89691673514955,396.6109121581152,21.06727223977335,17.02566236628499
170970Avo24,17,097,0Avo24,415.55400430248665,167.82012558596625,12.986245467246723,8.990370110703862,4.99465449885475,386.58509606871064,154.8341097517168,21.97655567369043,26.97099052359128,2.996806676973553,379.5926436681915,161.82669194479962,33.96349284432723,20.977457041991045
170970Avo25,17,097,0Avo25,409.4955756850902,215.92608777189133,29.39057564496415,13.101028050112058,11.033716067586873,412.91785567274206,198.9172766911963,36.41582160130761,16.24606484921601,4.0710803049208995,391.0497292156611,219.0741029794511,32.26037869647149,24.136294742927547
170970Avo26,17,097,0Avo26,357.86306069276424,167.49273285105687,28.681847664167528,9.578111542871191,5.737769185218734,332.9970614695077,160.8254954723519,32.52219002181999,17.234302341434617,4.773309682101782,331.0506468084584,175.16641930443564,23.95052755362258,15.326378120979134
170970Avo27,17,097,0Avo27,281,125,19,6,7,277,118,21,18,0,259,139,19,17
170970Avo28,17,097,0Avo28,331,173,28,11,9,334,167,32,9,0,317,175,36,13
