GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPRI,G18GOVRRAU,G18GOVCMCC,G18GOVLJAC,G18ATGDRAO,G18ATGRHAR,G18ATGLHAR,G18SOSDWHI,G18SOSRHEL,G18SOSLDUT,G18COMDMEN,G18COMRSEN,G18COMLBAL,G18TREDFRE,G18TRERDOD,G18TRELLEH
17163000FY2,17,163,000FY2,117.42045416553312,282.5810071776421,16.915319194818032,10.945268327158228,94.53613452174679,303.47671042379716,16.914618915690358,156.22806071248678,256.7090360532971,12.93528528304483,109.46073648155054,276.6120067286738,23.879503191511546,104.4872697198713,280.592040640447,18.90463587157696
17163000LB1,17,163,000LB1,438,447,37,41,424,495,41,534,402,31,466,445,44,438,471,45
17163000LB2,17,163,000LB2,180.48570497160392,165.52832610655386,19.94317182006673,5.982951546020019,168.5198018795639,190.45729088163728,12.963061683043376,203.42035256468066,158.5482159695305,9.971585910033365,173.50559483458056,175.49991201658725,20.940330411070068,171.5112776525739,182.4800221536106,15.954537456053385
17163000LB3,17,163,000LB3,64.51305831307252,181.46817630792168,15.056538324779307,4.0169711592722575,61.47901937614334,194.53896032503815,7.03680305121811,91.57788898071864,168.44853765274513,5.028317471581981,70.49305250803428,183.49655175053445,9.059495675837555,67.48742766107175,188.51634499512645,7.0453272782081
17163000LZ1,17,163,000LZ1,127.86505952932909,251.3665127062957,21.964825699003,10.919696811183282,111.69881007072614,275.9594246793367,19.19940553476126,183.29980667281546,220.22175411075975,7.407087951545987,132.63540329624652,257.017419290276,15.060032168005083,124.12077813125717,268.0901997654929,13.377383600006384
17163000ML1,17,163,000ML1,225.52781416140053,460.43038640677366,30.87420070551019,11.886711375414157,197.81939722187337,492.3598483676115,26.70423619002301,302.7710058992631,400.2480513093165,11.90714357774358,230.51806960542703,454.71178494469024,24.74695519683831,226.54221101206934,464.5288382141079,19.869076865623626
17163000ML2,17,163,000ML2,318.0800598102197,554.1727291786101,43.014084119041215,15.002967311526122,292.0711730337955,608.1934457899382,15.005934623052244,435.10750289439017,477.1593277706495,13.00594068631388,306.0808031539167,587.1793919872052,23.008152527619792,298.0852177416361,590.1742401190505,19.008880713162643
17163000ML3,17,163,000ML3,107.92028025672197,232.82801203533535,18.985975230349236,3.9970474169156285,95.92913800597508,260.80734395374475,7.994094833831257,144.89296886319153,214.84129865921503,7.994094833831257,108.91954211095087,241.82136872339552,10.991880396517978,114.91511323632432,234.8265357437932,11.991142250746885
17163000ML4,17,163,000ML4,198.52169395569243,292.5487473857928,18.22602935597428,8.631022592549764,169.75426085391572,326.117027912165,11.508855813000478,238.80293700807434,266.6574135563052,6.713953353530714,178.38899904966905,307.8937233318733,17.26179747821929,196.60487242355362,297.3466223278254,12.468876673791428
17163000ML5,17,163,000ML5,239.32892903926822,470.7501944721638,17.318047578049846,18.123115191503167,223.04166025909416,498.0785016495056,14.277009180882123,324.1291777840388,411.124358915356,6.123115191503166,244.38022703572787,469.6886368764122,18.256489982298262,245.33918863856016,477.79123286933157,12.205191985838608
17163000MR1,17,163,000MR1,172.02257423243557,312.04235000630473,37.00373127808852,15.002052202948688,152.01977577386918,354.04645441220214,23.0035447141841,234.0320889915613,293.0371262169808,10.001305947330984,163.0235070519577,336.04309626192247,24.002798458566392,152.0220145407223,353.04514846487115,22.002425330757543
17163000MR2,17,163,000MR2,134,231,31,10,116,273,15,176,220,14,136,252,12,131,253,15
17163000MS1,17,163,000MS1,172.24031390863374,415.41742969096947,37.96055847683159,19.00519227365536,167.16214793851222,451.481963971053,21.98091175504379,253.9989816639786,365.65720443457667,22.97874992389697,183.17026670057382,425.47055048522003,25.006457306911344,172.18336982808614,432.5123617477399,30.93298323444863
17163000MS2,17,163,000MS2,343.7596860913663,505.5825703090305,50.039441523168414,31.99480772634464,313.83785206148775,581.518036028947,30.01908824495621,408.0010183360214,492.34279556542333,31.02125007610303,341.82973329942615,536.52944951478,41.993542693088656,327.81663017191386,559.4876382522601,31.067016765551365
17163000MS3,17,163,000MS3,352.2964067208873,642.7417784362884,35.60987014903038,20.76769902494703,330.50016773079483,681.3900161942149,33.60476773393368,439.3774076508688,579.447943225534,32.58095299744224,358.21248416444297,633.8960136428791,42.50723527119127,341.388836768533,653.6729745319127,38.56318364215418
17163000MS4,17,163,000MS4,263.6348984802903,380.7891342231817,23.495134757740967,12.747511966220781,242.25154963917575,420.6119465143229,16.76127740836269,328.09266104393,341.5746279226505,9.083423842597018,263.7188210367347,386.4111502432839,22.63506109779793,251.02725744147682,398.1866918076358,22.579112726835028
17163000NA1,17,163,000NA1,142.51272302606938,285.2306424348806,31.632985602889065,10.280562738782104,113.65009047598626,331.22214877217357,15.441727209397309,175.87052126756987,285.48352247647,11.299893222646936,130.35947374050093,318.4677874051105,13.422631789698164,124.26123907059262,325.58598861904613,9.384986144724826
17163000NA2,17,163,000NA2,172.3645551090456,354.5225508492869,31.33901001982647,13.710816883674081,130.25276039490376,403.4897540052658,21.5455693886307,237.98060733805727,319.26616457698213,14.690160946793657,164.52980260408896,367.25402366984144,20.56622532551112,159.63308228849107,373.1300880485589,18.607537199271967
17163000OF1,17,163,000OF1,281.91195472356003,236.45299094310226,25.19294225047595,5.1361342470774956,271.89638569514796,259.6453863825532,13.15115646446459,319.44188714565166,223.00663009303335,7.20085592453821,281.91195472356003,241.4094355641597,19.281146630411005,265.88191028878583,247.56509567668044,23.218065386025255
17163000OF2,17,163,000OF2,284.7623088181476,214.7776605234266,20.368184249041892,22.339862383730978,279.5923776262821,237.14584477246848,23.42482797966372,330.8951834305842,198.0129701600319,14.368184249041892,283.7339869528367,225.66437306218293,28.821334094016528,280.62069949159303,229.9475917152921,29.651402902151037
17163000OF3,17,163,000OF3,160.7517591267121,164.74559165159937,9.984581312218143,8.986123180996328,145.7748871583849,183.71629614481384,13.978413837105402,174.7301729638175,161.7502172579339,10.983039443439958,159.7533009954903,171.73479857015207,15.97533009954903,149.76871968327217,180.72092175114838,13.978413837105402
17163000OF4,17,163,000OF4,137,178,8,12,124,197,10,167,160,8,135,182,15,129,182,17
17163000OF5,17,163,000OF5,273.73450145638435,235.69284868601068,23.982781094365997,16.53984903059724,262.15660713496624,261.3296146834364,18.193833933656965,309.2951768721684,217.4990147523537,19.020826385186826,267.94555429567527,242.30878829824957,27.290750900485445,258.021644877317,256.3676599742572,21.501803739776413
17163000OF6,17,163,000OF6,219.80406767361362,248.55511536822692,13.091844609619933,16.944781363577384,208.81451549011496,269.76960160224775,15.906659154156939,272.51929612858385,211.87678610381553,14.025774789918872,227.58808520336964,246.85656705495148,18.048023591198767,219.5956836153706,254.86199264659072,18.061047594838954
17163000OF7,17,163,000OF7,258.7407846157662,418.8337329544909,24.68907799848641,11.883547219401672,253.24415362187648,442.6047207089994,16.460553939977302,312.69247339365154,381.33962570779875,17.36673616057404,258.74185144411615,417.9213300151161,28.33914101532387,249.59557680943107,431.6304580987595,25.59580957490616
17163000OF8,17,163,000OF8,389.96637675198014,539.6743490668986,28.226922042905773,25.54905146925591,373.6673976573493,574.849466529317,28.796225983399427,482.54298727485536,475.95913066303615,23.800637010713512,409.96637675198014,534.6640138454378,35.351201646802,385.4720277236931,557.2989018932286,31.255029846806497
17163000OF9,17,163,000OF9,220.3552913717289,439.7224424234052,15.810245120841536,22.727227361209707,217.39087041157111,441.69872306351044,29.64420960157788,286.5606928152528,379.44588290019686,26.679788641420092,223.31971233188668,422.9240569825111,34.58491120184086,213.43830913136074,430.82917954293185,33.59677088178827
17163000PD1,17,163,000PD1,131.11590973806048,314.28586991208664,24.022237374921744,8.004744523321534,105.10115702101191,349.308561454483,13.008443532518564,179.1619852488954,286.2577919600227,10.005797257402632,121.11491476363213,330.2894895017611,16.010556220637355,119.11066050756818,332.29214299683366,12.00845075247516
17163000PD2,17,163,000PD2,218.20398557582695,538.0371596290056,41.84733158938543,8.967305969030004,190.30569231667073,580.8809315500666,15.94186845388417,304.8877314910569,485.22982912611053,10.960042233249249,216.21119155195495,545.0118015333824,19.927333762366064,208.24028981481754,549.9936205340607,15.941861233927577
17163000SC1,17,163,000SC1,213,144,17,18,210,159,22,259,114,23,223,140,28,211,155,25
17163000SC2,17,163,000SC2,183.9505225082955,222.86749560370546,15.994146721624816,4.99841270212464,163.96236715913028,246.85441611472086,11.996858417765287,230.92099434759768,189.89302828724502,6.996613895862865,174.95768722188822,232.85858857674447,13.996300489673732,179.9516383644786,224.87030534833744,17.99110703719282
17163000SC3,17,163,000SC3,230.1105480100632,192.33567740117374,10.709599221774125,7.339340826090172,216.7478022035184,202.51446607231546,14.246645707759724,255.3971605155541,167.8824262756644,17.14467142154106,225.43523626522972,181.86720799102937,23.04234060430511,218.8876638137754,191.24189890992335,20.121643729160482
17163000SC4,17,163,000SC4,186.9643312278683,156.3676309159529,16.2660441934702,6.2043502877753784,175.11832355387392,177.2678842331422,13.998815954860945,214.8799259143488,147.50167972930373,4.384613035498848,187.06817292454622,161.07310863353715,15.283667078161713,184.8684631740737,169.10006601571556,11.337065865790287
17163000SC5,17,163,000SC5,160.53750615361665,155.06939169843614,16.78563398151071,5.9458335612450615,153.61809874416895,173.84856914169842,7.910379669655235,187.22126379586592,142.20415072774333,10.877496979609484,157.60808540300624,162.94497454408165,13.835915083561309,149.7122044100217,169.85278301219282,12.853642029356221
17163000SC6,17,163,000SC6,195.01467459845531,189.9941587567182,19.99917452542927,7.00018269282613,177.01610350218846,217.99274585108685,10.999531697806527,207.01729479085964,196.99069719875337,9.00000010711205,185.0161591742086,196.99262650799562,18.999944649315992,179.01563509288292,210.9926346141586,12.000190691877032
17163000SC7,17,163,000SC7,153.06549798474347,157.229584790562,10.020138640040797,9.98810544792634,135.8050947126951,179.01948161726975,9.110952734981081,167.66089623825133,149.9256895427089,8.182048170189848,143.98905652018757,169.90673213404997,12.748441431392596,138.54247559878988,172.64231627190603,11.841674569899913
17163000SC8,17,163,000SC8,356.0247690571642,339.0241339531343,18.002540416119402,18.00088914564179,337.02248268265674,358.0276905357015,26.00139722886567,395.02629330683584,306.0250230987761,26.00114318725373,361.02349884910444,333.0250230987761,25.002413395313432,339.02273672426867,347.0268013900597,33.00152424967164
17163000SC9,17,163,000SC9,254.40555436141648,222.31216315158076,14.281405383742014,11.065502838259166,231.13334377131986,248.20924039081243,15.104603603680165,275.7712136387775,210.91887540442883,13.20630535191284,244.50403093714004,228.83698675486127,20.113556920221544,242.93833641651165,233.6244344822054,16.781523113052828
17163000SK1,17,163,000SK1,328.7484757413286,629.1130367019949,44.168668180859534,15.698853392115495,281.66054021947025,689.9601431532319,33.35681878462166,384.6989259970054,599.6754534199787,26.488033390086912,319.9302850935449,645.8033041920584,33.357913711971534,305.21636928682614,659.5301086020511,37.28477841061133
17163000SK2,17,163,000SK2,234.46006651591958,256.2652597233204,23.318230886035057,4.331601342064152,215.13654784614945,277.96446510959623,11.95259220992143,288.63038655959343,214.13680706975035,10.025479617086287,236.26962735295302,249.1674161824387,21.49156236266859,227.55447196306324,261.5918870714688,15.861466352458551
17163000SK3,17,163,000SK3,135.81741180835544,109.25094954717831,13.403687008029413,7.193422305027786,138.35462007348164,113.81554924464605,13.449494179246333,158.44191255375418,96.37234842900585,11.651138602989386,136.69368601087547,109.98980223604757,17.183626845410984,139.26143239014627,110.14249280677063,13.571646635824784
17163000SK4,17,163,000SK4,185.14789353724004,227.5156784031448,10.515503710284412,7.080428360303682,170.9149512065059,249.07472535924586,3.9556435541130095,230.6473907945882,191.4601855230386,6.348859087038193,180.69025855212087,233.9823939541842,8.4702298946672,177.41907589719224,236.30122346321363,10.07163427669823
17163000SK5,17,163,000SK5,136.46178694608213,62.83460549419966,4.470965744011416,5.329216898057217,135.29495275403332,68.16382239225688,3.556608583055982,152.75802067825674,51.72732364280816,4.470965744011416,137.460303117402,61.58361229178642,8.969984491477648,133.3540264183032,61.864142326334594,12.767678152573469
17163000SK6,17,163,000SK6,199.69131027901787,236.63420268063618,23.962957233482143,6.989195859765625,173.73143994274554,268.584812325279,20.967587579296875,227.64809371808036,234.637289577846,9.984565513950892,186.7113751108817,258.60024681132813,18.970674476506698,182.71754890530136,269.58326887667414,11.981478616741072
17163000SK7,17,163,000SK7,157.46847918518012,180.15325406887217,10.10229240849282,9.05460823744435,144.31851525416764,199.33370360213445,9.11096688087593,184.82357392504693,159.85252619183737,8.103151800825424,156.42020229346898,176.12973047860467,15.190243745383535,161.4039351428545,175.19374750185483,12.118176591734969
17163000SK8,17,163,000SK8,152.1505562688249,67.29736142659561,12.679213022402074,2.92597223593894,144.34796363965438,83.87787076358295,2.92597223593894,169.70638968445851,60.470092876071426,6.8272685505241935,148.24925995423962,75.09995405576612,10.728564865109446,150.19990811153224,72.17398181982719,10.728564865109446
17163000SK9,17,163,000SK9,284.0258045607666,222.79418861580308,9.85059516908063,7.697874317247222,264.7687808069717,236.55541074689154,12.462778412988573,329.2600696451017,182.5962627620999,9.70253964095851,278.2092159604622,217.27371107174295,19.331051517855958,280.1645294414661,212.43477921194054,18.37807069870769
17163000SL1,17,163,000SL1,220.37504268737072,484.6456566148465,36.72989817267811,8.240374010479227,203.20839908047395,528.8954457307125,14.365038707947695,270.8620279845193,466.63729788331216,10.180319956024015,226.12221428859655,502.6153342319469,15.554391430946984,222.90943715933818,500.4605479917258,19.17503857020502
17163000SL2,17,163,000SL2,115.40386414065625,103.46790728206295,9.948814955721375,2.98465847118128,109.43442733145197,110.43242336712821,9.948575222037928,138.28595274521075,87.55007505108333,4.974377511150256,122.36784082493377,100.48346856675816,6.9640965511192325,116.39858381599207,103.46826688258813,7.958916115489813
17163000SL3,17,163,000SL3,117.13863830706778,114.20695283518813,11.022101759097762,10.008037003308276,122.13662905624071,118.23307309594003,10.007032377894742,140.18083257443624,101.19087882857157,9.009041628721812,125.14064755789485,112.22302684180468,15.008037003308276,117.1336151800001,121.22604071804528,11.012055504962415
17163000SL4,17,163,000SL4,134.77335714525012,125.58541022617733,15.05002012768987,7.018695016119525,129.72929978394873,133.63881406694753,16.042022414424633,162.88192092932945,107.50992363284715,12.027621857794333,139.79421875620406,122.57602698270713,14.03625668627267,136.75523897620323,127.59108815868963,13.048490648068555
17163000SL5,17,163,000SL5,131.76628145522173,247.01377486780584,22.302479577375248,7.28342969994972,111.19954192216402,280.5516596066319,9.506621136105892,172.54725523588323,226.39020293204862,9.357059560306801,137.02402592208543,251.63006247931756,11.53452831304903,125.87246215830572,265.56722269333477,10.675222091226626
17163000SL6,17,163,000SL6,137.84121278237598,205.76296980557572,21.974686095741095,7.990794943905853,135.8435140463995,231.73305337326974,6.9919455759176214,179.7928862378817,189.781379917764,8.989644311894084,139.83891151835243,221.74455969338743,7.990794943905853,132.84696594243482,224.74110779735213,11.98619241585878
17163000SM1,17,163,000SM1,343.68010468611254,442.6769704589077,37.13043103569282,15.027949507648461,276.5931506623174,519.8105069954504,30.049688013597265,407.9502832600477,400.51237891386677,28.03416050934812,329.6738936844129,457.6987089648565,36.062110016996584,314.6490496776143,470.71423646910563,32.04968801359726
17163000SM2,17,163,000SM2,191,260,38,8,166,304,14,235,246,11,189,267,18,167,287,17
17163000SM3,17,163,000SM3,243.43181873671588,563.9369354970344,30.991150843655266,12.979365356987572,204.96610095218952,608.488489125171,22.787382217540912,333.915302761429,498.4233345755213,14.318498739932943,239.8677310724258,574.630773255987,22.794262406865165,229.70402238987478,575.9163141381521,26.833676636585277
17163000ST1,17,163,000ST1,199.83646693385597,3.9968593714579614,0.9990466970271946,0.9990466970271946,201.83456032791037,3.9968593714579614,0.9990466970271946,199.83713951720515,0.9992708914769223,3.9961867881087785,200.8357378253329,1.9980933940543892,1.9985417829538445,201.83500871680982,1.998317588504117,1.998317588504117
17163000SV1,17,163,000SV1,384.73098120837403,498.6513236960484,35.9748449961077,23.983229997405132,360.7477512109689,550.6149886904262,23.983229997405132,440.69185120231936,485.66040744745396,14.989518748378208,387.72888495804966,507.64503494507534,35.9748449961077,364.74495621053643,534.62616869215606,34.97554374621582
17163000SV2,17,163,000SV2,218.2691811549864,182.9916857215455,9.030373992639662,14.000269320412057,216.22569117733119,189.07308950893764,14.99681482836648,239.27889934551322,168.9950816456089,16.013329284982607,210.30841721965794,177.02601202638522,26.97879365199652,208.26879395143837,190.01660142940287,17.014772121105278
17163000SV3,17,163,000SV3,109.92099110293208,119.84533850300016,12.045855976865306,8.059236004350998,98.90395018318284,140.8876679808402,9.062566966387434,130.02055310600787,109.78765290518021,10.06248448383066,108.89544004483527,125.82765440529248,12.108654483731407,107.87913526117836,125.88342078571033,13.073744017210734
17163000SV4,17,163,000SV4,158.37021425147566,213.86970323505213,14.538334059673058,7.758781323504745,141.19241882518926,240.84507593018165,6.100063197731652,186.3082755036284,200.52972436209478,3.9824822283192134,152.0012976236684,221.3727164941236,10.860574841645764,148.7788882398937,224.55043665976763,10.861801285449957
17163000SV5,17,163,000SV5,537,538,36,36,514,601,30,610,509,31,523,575,46,520,574,44
1716300CS10,17,163,00CS10,123,104,6,5,120,113,6,138,96,8,122,107,9,121,110,8
1716300CS11,17,163,00CS11,203.48613124940965,225.90471600371555,12.339181325731488,4.295801372294096,198.2149789528633,243.32085673019392,2.4303802087556408,239.18964060935707,199.50557821097942,6.3367388641911395,211.62154497672668,226.0164702281132,5.390979022952266,199.3806770662884,238.03008517763186,7.516140274555655
1716300CS12,17,163,00CS12,564.6095807461716,688.818996649082,49.615037010227226,35.724659115621925,535.846262659222,742.3856642247042,51.6017290124014,646.0100680179577,636.1964308025396,45.64765409209072,570.5728477820628,689.7963419615908,63.50673459526276,541.7972865135976,720.5536731787491,59.53724003188086
1716300CS13,17,163,00CS13,262.0067062615416,186.4467198115839,10.794283778565385,12.756880829213635,257.100213634921,206.0726903180664,9.812985253241258,294.38955759723774,160.93295815315662,19.625970506482517,270.8383929894587,187.42801833690802,11.775582303889509,264.95060183751394,187.42801833690802,16.68207493051014
1716300CS14,17,163,00CS14,159.10680889282563,121.09796010176173,17.67853432142507,11.491047308926296,147.6157615838993,150.2675417321131,12.374974024997549,180.3210500785357,116.67832652140545,14.142827457140056,159.99073560889687,130.8211539785455,16.794607605353814,156.45502874461187,134.3568608428305,15.910680889282562
1716300CS15,17,163,00CS15,187.50517223731018,79.41892269905199,8.040213261437673,9.027482105572645,185.45757383045617,88.46264051986553,9.05995353605445,197.59298390560187,77.36320643457752,8.032095403817221,181.49632166748563,89.44179150638006,12.058290427751396,186.47325517626274,79.44733520072357,18.059023139955514
1716300CS16,17,163,00CS16,104,112,9,5,101,126,3,115,107,8,111,112,7,100,119,8
1716300CS17,17,163,00CS17,186.3561330434371,174.1814672233402,22.09067753919678,14.079864126486207,172.28845704779945,200.2897395997408,17.117436516086162,212.5680045320503,161.06334334818504,21.08627882989582,191.3964087862147,177.21903961294015,20.10625638229195,181.3402335623566,188.19429663015944,19.150610196385156
