GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PREOth
26161161060,26,161,161060,860.9092141729967,483.65337027186456,9.054361187688517,51.3078253795134,8.299798537137779
26161161061,26,161,161061,763.4458104602278,449.50698160769525,16.788645112986174,69.13370163753443,5.928205458248506
26161161062,26,161,161062,578.4977503436472,321.1630505348362,9.607198639054728,45.29217415010032,6.176046254076259
26161161063,26,161,161063,693.4648598989435,329.8557648139642,12.071198897565457,56.6692696371153,4.042719338539274
26161161064,26,161,161064,600.8238440495122,377.9570488083953,9.360704409748136,48.55208999490505,8.89318713446144
26161161065,26,161,161065,885,676,14,70,10
26161161066,26,161,161066,728.551748888685,678.335514620454,15.369811049173935,49.61927297835948,9.24258580153748
26161161067,26,161,161067,412.4209514656415,415.3253243632869,1.936248598430242,33.884350472529235,6.776870094505846
26161161068,26,161,161068,347.0013510557533,467.2608660998996,9.17990240227052,27.540126662427546,6.426002989044082
26161161069,26,161,161069,1019.9347167959761,891.2821099044979,26.204315312480208,80.68168300217155,17.065511010695943
26161161070,26,161,161070,319.80679498321985,311.30597275176854,9.966481236873946,27.554389301945616,6.1557678227750845
26161161071,26,161,161071,623.0639738072588,696.3656177845834,11.573943785893352,49.18926109004675,6.75146720843779
26161161072,26,161,161072,778,765,15,54.00000000000001,6
26161161073,26,161,161073,509,279,14,22,7
26161161074,26,161,161074,947.08618960282,1023.091955315474,22.699248734566744,65.39001299231644,13.742794954106344
26161161075,26,161,161075,602.2031343965447,524.8195355778782,18.849850994290524,51.589065879110905,5.952584524512797
26161161076,26,161,161076,574.1218629178823,932.9620075524257,16.701638961666077,56.45721299079993,9.671206161919688
26161161077,26,161,161077,1000.6007820456047,913.1760316590988,29.884311796435014,115.482068941451,15.958881409672058
26161161078,26,161,161078,847,917,13.000000000000002,98,16
26161161079,26,161,161079,534,878,14,57,13
26161161080,26,161,161080,507.9744396382226,598.3889107353519,19.352339756193473,63.968934329532054,6.242233582383013
26161161081,26,161,161081,668.0285623021148,339.2943425455652,7.808374331213221,49.04240015484924,9.822077632890117
26161161082,26,161,161082,581.9152326322499,133.96271510516252,15.981516889738687,25.382409177820268,4.230401529636711
26161161083,26,161,161083,1037.241160845049,232.70526727577024,19.865083791834046,18.44614923527447,8.513607339357447
26161161084,26,161,161084,1525.5991333185614,284.8237706971305,50.70799045616477,60.555000157857535,15.030996397351942
26161161085,26,161,161085,687.3333333333333,173.31041069723017,0,26.587392550143267,4.923591212989494
26161161086,26,161,161086,1165.729623700195,574.7542382949739,19.779505458835775,53.95900654716521,13.210422580560026
26161161087,26,161,161087,1127.1090554663378,338.3102969225011,15.720894009649372,46.21828984552344,7.488380847842573
26161161088,26,161,161088,150.55683495718927,118.19191024505461,2.157661647475642,11.26778860348391,2.0377915559492177
26161161089,26,161,161089,856.5719663363241,333.7429536108705,10.315157698748456,42.12162058933605,7.692595549325695
26161161090,26,161,161090,1155.1247929849837,326.33854816383746,24.821257490504937,53.626369598627406,10.290283750702638
26161161091,26,161,161091,1570.332125636332,733.2562036343123,16.445315235095062,79.46909479191089,14.8265014374498
26161161092,26,161,161092,923.7518183132657,722.195833477983,13.524279395725175,69.12699122668336,12.465475704558592
26161161093,26,161,161093,777.706881344332,174.53538089593334,21.764798347847577,32.98444595137673,5.933304513190362
26161161094,26,161,161094,433.5398700531601,888.605434140579,2.1134081512108684,55.94506792675723,8.151210868281158
26161161095,26,161,161095,504,939,15,41,12
26161161096,26,161,161096,339.4601299468399,602.3945658594212,5.8865918487891316,49.05493207324277,7.848789131718842
26161161097,26,161,161097,962.9068099510343,647.219533893572,24.356913051870105,72.1205075110082,11.696254786893517
26161161098,26,161,161098,844.6441877755937,568.2164102450951,18.05507517535974,62.53291533204723,7.10426238760508
26161161099,26,161,161099,1180.7838988020208,787.0802090470928,22.361385516111973,68.24862073570975,12.139036482519895
26161161100,26,161,161100,487.99870609543825,650.9982739101031,10.999970834118486,40.999891290805266,5.999984091337356
26161161101,26,161,161101,1179.9427889530057,328.3762916624803,8.507157815090164,38.28221016790574,9.35787359659918
26161161103,26,161,161103,536.0463809429008,348.36747500379414,5.836724658577161,45.61605465885097,3.958995488806366
26161161104,26,161,161104,1011.6187455412623,360.67508432094564,19.69230019608182,34.16828963343931,6.0412635189191235
26161161105,26,161,161105,705.6624790903146,248.2436908713524,13.414685551388871,27.910672274110784,4.543241320558734
26161161106,26,161,161106,599.9137430484421,309.09924351552536,27.86246702111778,41.79370053167667,9.577723038509237
26161161107,26,161,161107,693.0537033553433,274.18603584566256,5.761075001192202,26.065065270517945,6.076955152878991
26161161108,26,161,161108,810.5714886815553,236.85135635551148,18.372448802169053,32.01476300838503,7.656091092017604
26161161109,26,161,161109,1280.0821792503875,441.125533817607,25.999058161848367,52.50248272544116,11.731095385396507
26161161110,26,161,161110,402.92688899635976,591.2994867917132,10.21520188363324,42.81165074896518,6.525978004018745
26161161111,26,161,161111,803,443,12,46,8
26161161112,26,161,161112,1242,362,17,34,13
26161161113,26,161,161113,898,86,9,15,6
26161161114,26,161,161114,853,375,17,44,7
26161161115,26,161,161115,963.4172395557906,723.2776308831307,18.10576414595452,61.94077207826547,13.341089370703331
26161161116,26,161,161116,867.3650523426828,839.895574167991,16.258781286384405,76.17387052943391,12.428328044224598
26161161117,26,161,161117,511.69048454220075,457.51149206126183,12.039776106875312,33.109384293907105,8.277346073476776
26161161118,26,161,161118,586.5790485343584,652.6746756367131,11.063751401569757,49.11564952747077,7.223129905494154
26161161119,26,161,161119,695.2709052379375,497.15441725360375,11.983849914199025,53.081010765798425,12.610454349697552
26161161120,26,161,161120,593.102986359686,835.6006092193638,21.594100981204118,65.92946088135908,16.638073918503636
26161161121,26,161,161121,690,818,11,67,13.999999999999998
26161161122,26,161,161122,567,621,5,53,6
26161161123,26,161,161123,788.4221863347133,25.99709540838904,6.2648594165510705,10.411847479500873,5.851316976773477
26161161124,26,161,161124,877.3354802748402,89.93188294389022,22.982592307883056,34.97351003373508,3.9969725752840097
26161161125,26,161,161125,541.4852563387955,94.0078570032631,13.161099980456834,25.382121390881036,2.8202357100978928
26161161126,26,161,161126,636.6745166142704,158.81647626248557,10.346968363245653,12.306151140116997,6.408172231286561
26161161127,26,161,161127,663.9195979899497,129.3467336683417,15.376884422110553,13.567839195979898,2.71356783919598
26161161128,26,161,161128,596.8953488372093,102.75193798449612,12.143410852713178,14.011627906976743,4.670542635658915
26161161129,26,161,161129,698.7792291834138,69.76884464741444,29.586143110508388,22.914156030947606,5.729292903034608
26161161130,26,161,161130,557,86,30,32,5
26161161131,26,161,161131,735.1908659310973,166.0089252126499,33.21493300033269,26.242029011357957,9.618956002407828
26161161132,26,161,161132,828.1390685784139,153.10134040945468,40.76074647264702,28.83077189528692,6.959151836793394
26161161133,26,161,161133,1120.3254833857297,160.18352373751443,31.65303163675435,30.693848859883005,9.591827768713438
26161161134,26,161,161134,969,278,20,42,8
26161161135,26,161,161135,970.478674399957,134.10918022406327,30.835173890708127,37.053571250331096,4.485716607784795
26161161136,26,161,161136,1245.9712383171254,337.77415606213924,34.06129299440135,48.44520386642762,13.97903141856819
26161161137,26,161,161137,736,249,14,38,10
26161161138,26,161,161138,476,248,28,18,4
26161161139,26,161,161139,757,280,12,22,9
26161161140,26,161,161140,648,351,19,26,7
26161161141,26,161,161141,1057.7336638125282,504.32717440288417,21.421811626858947,55.6813880126183,13.194682289319514
26161161142,26,161,161142,756,167,16,17,6
26161161143,26,161,161143,1054,250,14,25,13
26161161144,26,161,161144,941.7040940413458,280.3165788406972,27.931901094446697,53.868666396432914,6.982975273611674
26161161145,26,161,161145,1285.5506571216954,390.17096559893906,26.26791853966504,42.68003207281934,11.960708245972224
26161161146,26,161,161146,979,389,17,46,11
26161161147,26,161,161147,812.4662100874656,455.22342773329075,12.055856933322685,39.09309488887114,9.055856933322685
26161161148,26,161,161148,1363,448.00000000000006,14.000000000000002,71,11
26161161149,26,161,161149,1246,613,17,69,11
26161161150,26,161,161150,1370.0559349408545,590.6200700203375,35.1274144727655,76.30729372843444,12.03747484493103
26161161151,26,161,161151,798.8724938105956,477.5438298397496,16.807960884628866,40.53684683939903,4.943517907243785
26163005125,26,163,005125,146.75155011533218,3.0154428105890174,0.44673226823541,0.33504920117655757,0.1116830670588525
26163163001,26,163,163001,484.9490838411751,390.98510115878923,9.658049992637322,24.338187221061464,4.063560712557484
26163163002,26,163,163002,479.4919464664206,518.2153785101882,12.081670805591319,31.21464949963124,3.0534169680807923
26163163003,26,163,163003,459.17321653046497,475.4904923690079,11.035138008563473,38.9940663781875,5.979087135105768
26163163004,26,163,163004,338,420,14,28,3
26163163005,26,163,163005,578.8595916200213,717.7180524376082,14.017260875904043,59.04487827735051,9.006904350361618
26163163006,26,163,163006,531,533,24,38,4
26163163007,26,163,163007,444,478,15,25,6
26163163008,26,163,163008,597,595,11,51,6
26163163009,26,163,163009,312,345,6,24,2
26163163010,26,163,163010,509,584,18,44,3
26163163011,26,163,163011,379.17092771360973,367.19710894370627,2.9934546924758663,31.930183386409244,0.9978182308252889
26163163012,26,163,163012,353.82907228639027,488.80289105629373,14.006545307524133,32.06981661359076,0.002181769174711244
26163163013,26,163,163013,443.911150864063,555.1286314261177,10.54648522571208,47.93856920778219,1.9175427683112873
26163163014,26,163,163014,373.6677265430879,428.7469454208261,8.059000626336303,25.474957588143766,4.090675182819272
26163163015,26,163,163015,325.42112259284903,504.1244231530562,4.394514147951616,23.58647320407405,3.991782048869441
26163163016,26,163,163016,524.9997857804472,444.485913961357,10.137618444130162,41.781808777786885,4.081635169439923
26163163017,26,163,163017,498.1972803400715,377.7740766098567,11.946401590789145,30.07804318773897,8.911943437187622
26163163018,26,163,163018,782.254526122404,816.5200895622189,23.09559695792615,67.98697949196988,5.202923326909285
26163163019,26,163,163019,678.2194958631682,423.53246760492823,5.675476952829859,35.471730955186615,4.966042333726127
26163163020,26,163,163020,864.398442844607,661.1732644092153,16.035125955198275,48.80477631488372,4.971944003708473
26163163021,26,163,163021,368.9002236462678,476.605135278216,2.6163136428813316,27.90734552406754,6.104731833389774
26163163022,26,163,163022,573.6560061385942,431.9435901659582,4.961174788188614,35.215010671295985,1.0900635647981156
26163163023,26,163,163023,724.9600708191358,761.9332893423621,8.168825292187325,44.49702567677162,2.114125228089942
26163163024,26,163,163024,536.8443136374614,725.7944727058436,16.55813950373764,54.77198879012517,10.166533431578141
26163163025,26,163,163025,545.3819036427732,667.7555816686252,9.63572267920094,41.433607520564046,10.599294947121034
26163163026,26,163,163026,745,663,26,36,5
26163163027,26,163,163027,705.237759089326,776.2314531866035,10.029386348568385,41.7170295133544,7.908048662553284
26163163028,26,163,163028,387.7295872096869,504.9357268808057,6.107603144052558,37.89019734851184,5.043370448756398
26163163029,26,163,163029,464.951485003408,600.6997318070034,3.2975282624355176,35.17363479931219,7.694232612349541
26163163030,26,163,163030,750.5279093026244,621.1874236162924,15.003018840103769,61.926566125131046,10.230132111230876
26163163031,26,163,163031,670.7266327819582,561.1619129383145,15.243787108680866,45.7313613260426,4.763683471462771
26163163032,26,163,163032,713.2611160007524,541.3760842023335,21.316850264568732,63.37272646200067,11.089061890557996
26163163033,26,163,163033,501,541,13,49,4
26163163034,26,163,163034,681.5198918788576,458.51969763606263,14.866679616186332,43.81758202665445,9.389481862854526
26163163035,26,163,163035,340.62861869313485,179.09842845326716,5.368072787427626,15.12820512820513,1.9520264681555004
26163163036,26,163,163036,781.2872597090267,801.4305657758911,21.449867007622068,62.35669799535588,6.8392673265649355
26163163037,26,163,163037,781,768,17,47,11
26163163038,26,163,163038,795.0519925899952,573.9146517142617,10.291491564448112,58.991859023728765,3.145745782224056
26163163039,26,163,163039,284.56223930850797,212.94492185536961,2.7442585054525352,13.09945223378059,2.805166088748178
26163163040,26,163,163040,726.6531125915731,702.7303763745666,8.971026081377445,58.8100598668077,14.951710135629076
26163163042,26,163,163042,524,430,9,39,9
26163163043,26,163,163043,750,591,15,38,6
26163163044,26,163,163044,801.0088183421517,554.9744268077601,13.227513227513228,39.22134038800705,3.1137566137566135
26163163045,26,163,163045,358.62573703905036,237.95077685425898,13.10808706425857,20.281026367072283,2.032426119277571
26163163046,26,163,163046,754,539,15,51,2
26163163047,26,163,163047,640.8970702335475,616.5081349101458,14.362905948663396,49.254742189642876,4.302349002574493
26163163048,26,163,163048,691,500,6,40,6
26163163049,26,163,163049,656,595,10,46,8
26163163050,26,163,163050,617,394,9,34,5
26163163051,26,163,163051,564,560,8,39,8
26163163052,26,163,163052,670.9306604919935,612.0092108644993,11.732674761099563,55.05252970463968,7.726678616114667
26163163053,26,163,163053,612,467.00000000000006,11,31,3
26163163054,26,163,163054,599.0596276994003,562.8390578495423,7.579106911000489,48.83324213783642,4.209022537805988
26163163055,26,163,163055,663,580,10,49,6
26163163056,26,163,163056,701.6443599718345,537.2952306090624,7.901400450133272,34.766161980586396,4.740840270079962
26163163057,26,163,163057,537.7825780969284,388.68422957160465,11.532951590522195,16.434721777568157,1.404337854324604
26163163058,26,163,163058,702.0312489292445,324.8914853520644,12.04749014904917,31.27815658728799,2.0135686140140483
26163163059,26,163,163059,724.2024520399856,274.92969649465294,15.99242473303026,28.7663983986724,4.873424480362354
26163163060,26,163,163060,898.5964916804645,387.81512356333536,16.831170800882507,43.891135104386876,5.119096458476927
26163163061,26,163,163061,795.854371082092,397.5295255096784,14.025233319555099,37.901391606273265,5.578092017867903
26163163062,26,163,163062,672.1524965646927,150.82810427934194,5.096762300876293,25.02517929716164,6.895231303159282
26163163063,26,163,163063,882.1275873970311,715.1589044133393,6.962414741565267,40.650689620988835,1.984144561981573
26163163064,26,163,163064,617.1608219985212,380.4986075000524,3.9946834549656067,22.96949910680678,2.9957125479545352
26163163065,26,163,163065,606.8855218855219,451.8013468013468,7.912457912457913,19.781144781144782,3.1649831649831652
26163163066,26,163,163066,887.2691448851399,521.6683447096722,15.094387276470137,42.538727779143116,10.650209953569739
26163163067,26,163,163067,700,526,12,41,5
