GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20USSRTUB,G20USSDJON,G20USSOWRI,G20SSCRSHA,G20SSCOWRI,G20SSCRMEN,G20SSCOWR2,G20SACRTHO,G20SACOWRI,G20SACRFRI,G20SACOWR2,G20SCCRWIN,G20SCCOWRI,G20SCCRKEL,G20SCCOWR2,G20PSCRCAV,G20PSCDCAS,G20PSCOWRI
01107004500,01,107,004500,142.6794425087108,219.78048780487805,0.05226480836236934,0,139.6411149825784,219.85714285714286,0.010452961672473868,145.9512195121951,1.048780487804878,148.94425087108013,1.0557491289198606,147.97212543554008,1.048780487804878,145.93379790940767,0.059233449477351915,150.9163763066202,0.05574912891986063,143.94425087108013,0.04529616724738676,134.62369337979095,210.76306620209058,0.006968641114982578
01107004600,01,107,004600,61.84280064036162,393.8088332234674,2.025953479612016,3.9891891891891893,58.82791223279028,400.83590733590734,0.0062717770034843206,87.93559657218194,7.010349373764008,86.93411809021565,8.011827855730296,87.9481401261889,7.010349373764008,87.92514361050947,8.01391844806479,87.914690648837,6.017233261135701,86.93411809021565,7.008258781429513,61.8093511630097,381.83081269422735,1.001478481966287
01107005105,01,107,005105,1167.9007498897222,409.9122187913542,1.9947066607851787,1.9947066607851787,1130.9986766651964,441.82752536391706,3.9894133215703573,1229.7366563740627,17.952359947066608,1222.7551830613145,18.949713277459196,1221.757829730922,16.95500661667402,1213.7790030877813,19.947066607851784,1220.7604764005293,18.949713277459196,1218.7657697397442,16.95500661667402,1131.996029995589,408.9148654609616,3.9894133215703573
01107005300,01,107,005300,239,13,0,0,235,19,0,229,0,228,0,228,0,224,0,224,0,222,0,230,13,0
01107005400,01,107,005400,48,13,0,1,48,14,0,53,0,53,0,54,0,52,0,53,0,53,0,53,8,0
01109000001,01,109,000001,172,972,11,1,164,986,0,337,37,322,32,339,27,318,29,320,31,315,26,174,952,0
01109000002,01,109,000002,199.84871406959152,241.81694402420575,1.9984871406959153,0.9992435703479576,187.85779122541604,251.80937972768533,0,230.8252647503782,8.993192133131618,228.8267776096823,8.993192133131618,228.8267776096823,8.993192133131618,220.83282904689864,7.993948562783661,225.82904689863844,6.994704992435704,221.8320726172466,7.993948562783661,194.85249621785175,234.82223903177007,0
01109000003,01,109,000003,114,99,1,1,111,107,0,130,1,126,1,125,2,124,1,125,0,123,1,115,92,1
01109000004,01,109,000004,193,22,1,0,185,32,1,179,1,180,0,181,0,181,1,184,0,180,1,180,31.000000000000004,0
01109000005,01,109,000005,11,15,0,0,11,15,0,12,0,12,0,13,0,13,0,12,0,13,0,11,15,0
01109000006,01,109,000006,953.7228084453316,595.5779462780994,19.95236000931656,9.97618000465828,932.7728304355492,634.4850482962667,1.995236000931656,1106.3583625166032,34.916630016303984,1108.353598517535,34.916630016303984,1104.3631265156716,37.909484017701466,1100.3726545138084,33.919012015838156,1100.3726545138084,36.91186601723564,1096.382182511945,37.909484017701466,936.7633024374126,592.5850922767019,2.9928540013974843
01109000007,01,109,000007,15,11,0,0,14,12,0,16,0,16,0,16,0,16,0,16,0,16,0,13,13,0
01109000008,01,109,000008,53,24.999999999999996,0,0,51,26.999999999999996,0,46,0,47,0,46,0,45,0,46,0,44,0,48,26,0
01109000009,01,109,000009,173,38,2,0,174,40,0,171,1,171,1,169,2,171,1,169,1,170,1,173,35,0
01109000010,01,109,000010,206,25,1,0,203,28,0,197,2,195,2,197,4,196,2,194,2,194,3,200,25,0
