GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSRSHE,G16USSDCRU,G16USSOWRI,G16SSCRBOL,G16SSCOWRI,G16SSCRWIS,G16SSCOWR2,G16SSCRPAR,G16SSCOWR3,G16PSCRCAV,G16PSCOWRI
01003000048,01,003,000048,2638.2279675396326,568.9990449522115,76.77304760339389,23.426469957982498,29.600890199590307,2659.772124955889,613.9228227737909,7.709755416104801,2750.7553393517965,26.910060397514247,2752.142177367466,24.05041474824073,2731.6195392190557,25.126931353366718,2709.9618274342765,32.09226884117097
01003000049,01,003,000049,3111.962113523433,853.805279003277,130.19125500255052,19.503840873760453,54.49217696514737,3223.0620340836035,854.4768581245455,12.909567067649595,3304.6082047836157,40.63513992378318,3314.3848826121443,38.97275542975568,3291.5505233636263,40.123603925809356,3239.8569909230287,53.84402538823879
01005000001,01,005,000001,237.7907949790795,153.26359832635984,1.8577405857740585,0,0.9288702928870293,224.7866108786611,150.47698744769875,0,218.2845188284519,7.430962343096234,215.4979079497908,5.573221757322176,212.7112970711297,8.359832635983263,210.85355648535565,7.430962343096234
01005000002,01,005,000002,203,70,0,0,0,190,69,1,154,1,153,1,155,1,167,2
01005000003,01,005,000003,260,252,2,2,2,245,238.99999999999997,3,221,9,220,6,218,6,216,8
01005000004,01,005,000004,486.68817759421785,124.1491997934951,10.491481672689726,2.331440371708828,3.497160557563242,486.68817759421785,134.0578213732576,1.165720185854414,472.1166752710377,5.245740836344863,469.2023748064017,4.662880743417656,466.8709344346928,5.245740836344863,464.539494062984,4.662880743417656
01005000005,01,005,000005,2931.1869719674305,2733.1292296097813,60.65641032385857,10.447589091029474,18.35299861228803,2969.7492149933255,2699.6701305204647,6.723794545514737,2957.1430000079627,110.10795886561957,2956.733426082629,108.43807427568998,2935.624874213415,110.73714749820914,2943.593084633636,96.24887788402337
01005000006,01,005,000006,326,588,4,3,1,333,560,3,294,23,294,25,293,23,286,23
01005000007,01,005,000007,79.50930526711223,58.453360433315524,1.0366425906215322,0.22097053726169844,0.2547906756168099,80.0357966875234,57.69744344105387,0.11048526863084922,77.70715101168679,1.2829782316495644,77.85991145326152,1.3934635002804134,77.05269443449046,1.7249193061729613,77.31594014469606,1.7249193061729613
01005000008,01,005,000008,26.576659038901603,148.0091533180778,3,0.041189931350114416,0.020594965675057208,28.8649885583524,148.37070938215103,0,34.66819221967963,5.164759725400457,34.64759725400457,4.164759725400457,33.66819221967963,4.1235697940503435,32.68878718535469,4.185354691075514
01005000009,01,005,000009,248,345,2,0,2,241,336,0,209,11,211,11,214,11,214,13
01005000010,01,005,000010,218,76,0,0,1,205,73,0,191,2,188,2,186,3,188,3
01005000011,01,005,000011,137.82475019215988,234.00461183704843,4.9577248270561105,0,3.9661798616448887,147.7401998462721,223.09761721752497,0,146.74865488086087,7.932359723289777,151.706379707917,7.932359723289777,147.7401998462721,7.932359723289777,152.6979246733282,7.932359723289777
0100500008A,01,005,00008A,77,58,2,0,0,72,58,1,65,1,65,1,66,1,65,3
0100500010A,01,005,00010A,223,41,1,0,0,213,38,0,183,4,185,3,187,3,193,2
01007000001,01,007,000001,1575.7741218319254,119.42152067585594,38.01600711427301,3.00533570475767,17.024010671409517,1543.699421965318,186.50422409959984,7.002667852378835,1599.7847932414406,14.024010671409515,1591.76345042241,8.02134281903068,1591.760782570031,6.026678523788351,1580.7874610938195,14.034682080924856
