GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16HALRZIN,G16HALDJUN,G16HALLBRE,G16GOVRGIA,G16GOVDBUL,G16GOVLDUN,G16ATGRFOX,G16ATGDJEN,G16SOSRSTA,G16SOSDLIN,G16SOSLROO,G16AUDRROS,G16AUDDLAS,G16SPIRARN,G16SPIDROM
30053000003,30,053,000003,1253.2343521861437,321.0114894722236,52.229327066539135,20.020383139518522,2.0042960633448814,1226.1431459140865,386.13489183270815,60.258811339308195,1139.5430304189908,478.670518549149,56.3500374454939,1321.2471909101228,306.1183516848718,1206.9532899311891,369.2774330680305,71.19593278695606,1228.0497337730528,391.21361187753723,1201.9713662137844,427.21767789706473
30053000004,30,053,000004,338.50043443749513,90.86386048263903,20.965719434454158,9.983051695816316,1.996348164515284,324.52429315067627,125.80388598137618,19.968725138112422,291.5776008080026,159.7494078429274,20.966243783750116,362.46238025393404,101.84036711704937,320.52963051178585,123.80557150700106,19.970167098676306,315.5421683709214,140.77518634200092,301.56615817142654,150.76033543500108
30053000005,30,053,000005,111.64941701877726,34.86411170571204,3.0104176146106973,0.026920495907817203,0.0010866332166239942,102.72357117764889,42.83046213620615,7.963633847452546,97.71513291836544,50.82432544611794,11.904502177258005,109.72286883189392,41.7827741201787,97.7756163767347,45.784125908353424,10.932510484632559,110.65569266181933,38.86605587739663,104.69810654091033,44.82586433164045
30053000006,30,053,000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30053000007,30,053,000007,258.99681526131,121.3794843550026,21.86721852232847,3.9722785487914325,0.0028123577107990357,241.10468764548378,137.30797155811953,29.80052618906814,215.2230052087019,180.04371425015702,18.910508472421288,276.8861305194255,120.38360236009395,237.09584844645198,140.30124225826708,23.86741958527818,253.0046491455933,140.2759310388699,241.0765640683758,155.18322502768098
30053000008,30,053,000008,541.48229540429,201.28987895713541,28.943967750755288,4.003518715040824,0.9909722188682515,517.5163446495424,231.17624696642213,32.98975213542815,469.7016390706583,286.09074849603974,33.87487234368616,564.4342104271074,199.29950971391807,500.63941249443906,239.12336851616612,35.90025872385893,523.5599808409416,230.22768205941378,507.6020097582475,249.18977483279963
30053000009,30,053,000009,724.0987663206708,310.47888601301514,55.80096525662356,8.972649592360021,8.943795163187895,719.0026653362038,374.23492948962945,52.867790917514476,580.5322507816003,515.7168375482378,42.91466850457789,773.8891107532156,315.50903401651743,677.1509108784086,382.2724489358263,44.88798032966193,700.1387242505617,379.2650774931317,642.3809354140953,440.9859782250074
30053000010,30,053,000010,561.9131699527268,166.20586866722948,38.866567632967474,2.9338187502969046,2.912918353363119,556.0512113486573,195.37491606534363,34.9978115934922,460.8571296541361,296.41599430820673,34.01235412538674,588.134729274162,170.10688436044046,529.818815687388,193.43956559480634,36.93759969694246,546.3573565364755,194.40094695383928,519.1533996673598,221.607419930769
30053000011,30,053,000011,551.2187149215534,101.23946200932349,22.971036686816397,4.084970388080186,1.0718756503676703,526.0829634232692,120.98901981201406,29.87450328120927,467.74565470891247,188.46293237455237,21.857295697963313,531.9501436173866,122.2932674145091,486.47385092929505,138.90224937200344,25.937553355974785,506.8717623491782,134.95190714563617,494.1974519110101,152.62919122638357
30053000012,30,053,000012,797.7884527158278,172.82282833431893,48.88357850879654,8.978836102544326,2.0053958641135883,765.9361906969017,224.69602322686464,59.82286093094514,653.1770841638494,345.4180489399874,53.83674863513595,833.7211713359505,188.758169893179,729.0200399479235,247.60857712948035,50.850319058066795,765.876355823228,240.65334381652187,723.9762949690397,280.5673309234248
