GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRMCS,G18USSDSIN,G18USSGGRE,G18USSOWRI,G18GOVRDUC,G18GOVDGAR,G18GOVGTOR,G18GOVOWRI,G18SOSRGAY,G18SOSDHOB,G18SOSOWRI,G18ATGRBRN,G18ATGDCON,G18ATGOWRI,G18TRERYEE,G18TREDMAN,G18TREOWRI,G18SPIRRIG,G18SPIDHOF,G18SPIOWRI,G18MNIRHAR,G18MNIDPIE,G18MNIOWRI
04001000030,04,001,000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04001000035,04,001,000035,75.73462517551825,557.0480983304566,20.926672745866885,1.9930164519873224,132.53559405715694,500.2471294488179,25.90921387583519,2.9895246779809836,67.76255936756895,584.9503286582791,2.9895246779809836,90.68224856542317,559.0411147824439,4.982541129968306,94.66828146939781,553.0620654264819,4.982541129968306,65.76954291558164,584.9503286582791,4.982541129968306,81.71367453148021,569.0061970423804,3.9860329039746447
04001000040,04,001,000040,71.08412080433057,390.4874925318348,24.02766236692272,3.0007935924936846,105.14409372278188,351.42343828055886,28.030269885116255,4.000680222137444,84.08457428575552,403.5055184184771,2.0007935924936846,90.10248680204155,392.4854518654225,2.001587184987369,92.103167024179,391.48454490257257,1.0023807774810538,76.08525450789297,401.5075590848894,1.0013604442748878,88.08808876679899,393.50019001173376,1.001020333206166
04001000045,04,001,000045,672.7129629629629,140.68518518518516,22.787037037037038,2.9722222222222223,718.2870370370371,112.94444444444444,8.916666666666666,1.9814814814814814,676.6759259259259,145.63888888888889,3.962962962962963,691.5370370370371,129.78703703703704,3.962962962962963,668.75,138.7037037037037,1.9814814814814814,656.8611111111111,158.5185185185185,1.9814814814814814,673.7037037037037,129.78703703703704,4.953703703703703
04001000050,04,001,000050,485.99727812526436,107.99939513894765,8.999949594912303,0,532.9970148986953,61.99965276495142,7.999955195477603,1.9999887988694007,500.9971941167849,91.99948474799243,0.9999943994347004,506.9971605133931,84.99952395194954,0,492.9972389213073,88.99950154968833,0.9999943994347004,474.99733973148267,110.99937833725174,0,486.9972725246991,86.99951275081894,1.9999887988694007
04001000055,04,001,000055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04001000060,04,001,000060,40,293,15,0,59,273,12,2,41,307,1,46,301,1,54,291,1,37,307,3,44,300,1
04001000065,04,001,000065,66.98084501348266,429.87706501190365,21.993710302934605,0.9997141046788457,88.97455531641727,414.88135344172093,20.993996198255758,0,63.981702699446124,459.86848815226904,0,69.9799873275192,448.8716330008017,0.9997141046788457,80.9768424789865,442.87334837272863,0,60.982560385409585,462.86763046630557,0,67.98055911816151,455.86963173355366,0
04001000070,04,001,000070,78.63829787234043,38.38297872340425,1.872340425531915,0,88,30.893617021276594,2.8085106382978724,0,83.31914893617021,36.51063829787234,0,86.12765957446808,32.765957446808514,0,85.19148936170212,33.702127659574465,0,80.51063829787235,36.51063829787234,0,79.57446808510639,33.702127659574465,0.9361702127659575
04001000075,04,001,000075,98.28285714285714,410.51428571428573,27.141428571428573,3.0157142857142856,154.58142857142857,354.1764285714286,27.141428571428573,1.0157142857142858,105.31428571428572,422.6242857142857,0,117.36142857142856,403.53785714285715,2.0235714285714286,124.34571428571428,393.55357142857144,1.0078571428571428,102.29857142857144,421.61642857142857,1.0157142857142858,109.29071428571429,412.62428571428575,2.007857142857143
