GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDKEL,G20USSRMCS
04005000073,04,005,000073,313.00076169379366,519.0002653090742,12.0000356598218,311.0008044855798,527.0002510451454
04005000074,04,005,000074,329.4629702555003,284.5362015842957,10.982099008516677,347.43367772398216,269.56061202722753
04005000075,04,005,000075,402.7765246460467,536.7187068743231,23.14914577229088,432.89176285511087,525.9141734219336
04005000079,04,005,000079,302.9965604851555,699.9920539261018,15.999818375453755,305.99652643055305,702.9920198714993
04005000080,04,005,000080,343.2943706204159,572.7874093341547,19.51368961550706,360.6025817327766,575.8901476368195
04005000082,04,005,000082,512.7996451548041,373.91374716823043,8.094563909926904,508.4642155133262,384.12078991682404
04005000083,04,005,000083,718.1011218803479,546.5586170345177,13.515447979161083,726.2279489902219,549.2326069414404
04005000084,04,005,000084,415.1030007931567,356.4056456276668,14.511093427197219,421.24585597834124,363.2903046174397
04005000085,04,005,000085,692,966.0000000000001,39,707.0000000000001,969
04005000086,04,005,000086,0,0,0,0,0
04005000088,04,005,000088,264.6787148594378,39.3574297188755,4.919678714859438,262.71084337349396,49.196787148594375
04005000090,04,005,000090,1140,241,36,1193,226
04005000092,04,005,000092,676.244030523764,826.2622389937227,30.20600236647109,699.6291759325142,812.6214464198606
04005000093,04,005,000093,654,136,12,654,141
04005000094,04,005,000094,564,83,16,565,92
04005000095,04,005,000095,2307.14,350.52,45.14,2301.92,381.84
04005000097,04,005,000097,257.81116119135095,334.7544462491642,8.993415291566436,254.813361863649,337.752261442955
04005000098,04,005,000098,525.0034395148446,1568.0079460738982,33.000181624546244,539.0034735694469,1559.0079801285005
04005000099,04,005,000099,298.00002465057105,538.0000493011421,12,321.00002817208116,517.0000469534687
04007000001,04,007,000001,263.80058512694825,551.2117948665194,8.001771861784707,284.12211883593557,532.7155421907777
04007000002,04,007,000002,81,96,1,90,86
04007000003,04,007,000003,47,57,2,53.00000000000001,54
04007000004,04,007,000004,229,248,15,251,240
04007000006,04,007,000006,261.6167098305089,443.3504548272747,11.982444725061477,289.57574752231903,427.37386186052606
04007000007,04,007,000007,258.4660766961652,471.20353982300884,5.964601769911504,274.37168141592923,446.35103244837757
04007000008,04,007,000008,138,231,3,148,226
04007000009,04,007,000009,187,206,12,216,183
04007000010,04,007,000010,1168.1001378489075,239.9591879609356,13.81442027348477,1161.8330716215592,270.22732256750646
04007000011,04,007,000011,305.4628286813116,55.646639151994805,1.5282235984150623,315.0366611017733,51.932321063603574
04007000012,04,007,000012,162.38329016949106,403.64954517272537,9.017555274938521,177.42425247768097,394.626138139474
04007000013,04,007,000013,148.4425981683055,210.09615849159258,6.003041781110997,171.47263670760935,193.08754011177808
04007000014,04,007,000014,166.84822379999528,155.89278363889028,5.96820775814444,190.7079751611706,138.98286165748104
04007000015,04,007,000015,148,181,12,175,158
04007000016,04,007,000016,110,234,1,123,216
04007000017,04,007,000017,165.65462587541467,416.9332841872466,16.026538886841134,211.75635827497237,379.85809067453005
04007000018,04,007,000018,205.8795045045045,363.15540540540536,13.043355855855856,235.01576576576576,341.0439189189189
04007000023,04,007,000023,48.05455215628456,152.07777368227056,1.0022115739034279,54.063029856247695,145.07150755621083
04007000024,04,007,000024,18.174779618328007,91.31439504020149,0.9075002421776616,22.551244793180278,86.98747941489877
04007000025,04,007,000025,209,906,5,245,875
04007000026,04,007,000026,253.58804269725744,820.0330756447149,18.2720269518098,294.9527214847883,785.3865412160704
04007000027,04,007,000027,414,1268,24,449,1250
04007000028,04,007,000028,639,1708,18,667,1696
04007000029,04,007,000029,322,694,21,344,677
04007000030,04,007,000030,255,744,10,276,731
04007000031,04,007,000031,217,589,9,238,572
04007000032,04,007,000032,313,881,21,336,878
04007000033,04,007,000033,373.5933014354067,1156.1244019138755,14.191387559808613,393.88038277511964,1142.9043062200956
04007000034,04,007,000034,475.4066985645933,1668.8755980861245,19.808612440191386,505.1196172248804,1646.0956937799042
04007000035,04,007,000035,52,165,1,60,162
04007000036,04,007,000036,159,381,6,171,370
04007000037,04,007,000037,100.02298850574712,383.78160919540227,4.218390804597701,113.51724137931035,370.367816091954
04007000038,04,007,000038,65,417,6,73,417
04007000039,04,007,000039,404.0050377833753,1116.1813602015113,11.27455919395466,434.0705289672544,1085.176322418136
04007000040,04,007,000040,18.85723849903359,7.179155738931805,0.14417166685105526,20.08871964909769,6.101400973571693
04007000051,04,007,000051,149,413,8,158,408
04007000054,04,007,000054,328.5842637985264,148.87749634383798,4.0459073563138945,340.62651295091524,144.85467976514028
04009000001,04,009,000001,230.91414284870936,510.9388119714944,4.784345386126911,253.8863566877385,484.18239507292986
04009000002,04,009,000002,387.50817865136594,802.9187126219263,24.114989256186107,425.38380522077676,773.0704783789386
04009000003,04,009,000003,131.49322552224703,404.2926038445207,3.925170911111852,156.02554371669612,376.81640746673776
04009000004,04,009,000004,177,305,1.9999999999999998,190,294
04009000005,04,009,000005,294.7025673137132,872.1603005635566,18.9167188478397,345.4790231684408,833.3312460864121
04009000006,04,009,000006,90.77413617134755,621.9672825532316,14.901749967951865,114.84751463246722,609.7384445623412
04009000007,04,009,000007,295.8220895456692,1148.3093948918038,24.984973779195034,341.7944412993881,1113.3304316009308
04009000008,04,009,000008,37.87237479806139,455.03877221324717,3.145395799676898,43.105008077544426,440.92245557350566
04009000009,04,009,000009,289.7101747495622,1720.9860781983825,31.042859064823553,353.043222737491,1649.5199318460193
04009000010,04,009,000010,21.35661283282409,190.2680052378874,0.9707551287647316,32.03491924923614,174.73592317765167
04009000011,04,009,000011,606.0000000554693,87.00000001036369,3.0000000003533076,579.0000000560582,110.00000000977485
04009000012,04,009,000012,13.947858472998139,40.84729981378026,2.988826815642458,15.940409683426443,41.84357541899441
04009000013,04,009,000013,11.89457169752118,112.00721681832444,0.9912143081267649,13.87700031377471,113.98964543457798
04009000014,04,009,000014,65.54953747485789,258.27784510856753,8.217912115116212,65.59582294068298,258.05718003174314
04009000015,04,009,000015,415,856,15,485,789
04009000016,04,009,000016,471.2322132913723,92.71826139597944,3.158127837506235,476.47833226340447,87.5668715541445
04009000017,04,009,000017,65.17665317185073,218.12086946316325,6.390282446258037,70.85338613500686,210.9530692814649
04009000018,04,009,000018,174.00645593595445,787.8455237023994,14.000667219571985,214.98418390746198,752.8656112932586
04009000019,04,009,000019,132.9948013465256,659.7242119426336,23.624076554974945,179.3679886581431,616.8508878243458
04009000020,04,009,000020,100.00042899060153,531.0018329598429,5.00006239863295,124.00042119077241,502.00184075967206
04009000021,04,009,000021,13,64,1,16,61.99999999999999
04009000022,04,009,000022,8.276190476190475,14.295238095238094,0,9.780952380952382,12.79047619047619
04011000001,04,011,000001,20.411327675078,65.13428695823268,1.099059503794343,22.264903629701166,64.07905188037061
04011000002,04,011,000002,NA,NA,NA,NA,NA
04011000003,04,011,000003,327.2105461878406,398.82831767280214,15.926622902990518,386.86577423091774,346.1392714635088
04011000004,04,011,000004,190.9896059416512,197.27210573354125,5.158481400065397,201.43885008030892,180.97082781794228
04011000005,04,011,000005,272.9081064243043,579.9640411233091,16.626192334537347,318.0486380052594,541.617440727952
04011000006,04,011,000006,46,152,6,57,143
04011000007,04,011,000007,190.19763465391776,460.1075115007029,10.749232940491032,223.42424168780542,424.76514706104734
04011000008,04,011,000008,143.4435054685595,591.2231711330335,15.028248755959204,204.53390148762895,535.1299502383681
04012000051,04,012,000051,1000,1161,41,1068,1096
04012000052,04,012,000052,167,73,9,174,72
04012000054,04,012,000054,295.32534761367907,1253.6268320180384,10.264562194663661,348.8937429537768,1176.9592258549417
04012000055,04,012,000055,73.03814935064935,340.14123376623377,1.0008116883116882,86.03896103896103,325.137987012987
04012000056,04,012,000056,36,101,2,41,98
04012000057,04,012,000057,162.1974514672978,612.9229250618495,7.05539712101812,188.27958152958152,590.7910733454908
04012000058,04,012,000058,231.23760330578511,725.9002361275088,11.010330578512397,279.27597402597405,664.8677685950413
04012000059,04,012,000059,13.997979735626648,79.98845563215228,1.9997113908038069,19.99711390803807,75.98903285054466
04012000060,04,012,000060,86,281,3,104,253
04012000062,04,012,000062,46.96185064935065,173.85876623376623,0.9991883116883117,47.96103896103896,169.86201298701297
04012000064,04,012,000064,129.56494522691705,345.17683881064164,5.934272300469484,140.44444444444446,330.3411580594679
04012ZZZZZZ,04,012,ZZZZZZ,0.002020264373351465,0.011544367847722656,2.886091961930664e-4,0.002886091961930664,0.010967149455336523
04013000001,04,013,000001,1770,1475,61,1822,1426
04013000002,04,013,000002,1322.2440375774584,2180.1327751012354,60.52060205398914,1373.1810146082373,2156.7003580859264
04013000003,04,013,000003,1654.311882822221,327.8636239067604,12.994594849963065,1683.2998251798308,303.87360264529013
04013000004,04,013,000004,879.0589411457167,1191.9180555474152,44.02557026186505,926.0304922322006,1160.795526994759
04013000005,04,013,000005,2853.8006684786947,4068.3244601660645,91.02635202837905,2888.81546893299,4079.315796485502
04013000006,04,013,000006,577.6015408974295,807.633338473698,19.039684522164176,602.6654770720273,793.5892445601822
04013000007,04,013,000007,102.84018999614744,223.944000100892,1.0117977357908856,107.83362056285765,215.9646936243553
04013000008,04,013,000008,1920.97648514837,1456.608202581512,36.712877040542196,1965.6272815490297,1443.7090836213215
04013000009,04,013,000009,1468.9392671657788,1233.1734290686138,48.485544935976364,1519.8329003982271,1201.7334973799038
04013000010,04,013,000010,1825,1300,70,1893,1243
04013000011,04,013,000011,2715.689876779664,1864.3472595156938,48.067037127992016,2711.7642728297687,1908.0544333473003
04013000012,04,013,000012,586,220,19,598,223
04013000013,04,013,000013,671.5927458867005,969.1571777632387,5.062257604446085,690.6538944367026,951.247363092083
04013000014,04,013,000014,538.962569969574,695.9206198552796,21.327628773610197,551.6062119100158,684.63810505086
04013000015,04,013,000015,396.6273115220484,708.452347083926,15.900426742532005,416.06116642958744,692.5519203413941
04013000016,04,013,000016,1171.4305121740165,585.0225201845844,22.936971381628908,1208.4010023504068,553.8728748804406
04013000017,04,013,000017,811,708,26,813,720
04013000018,04,013,000018,914.0069854611759,906.0084366661384,45.000295160331376,954.0072806215071,881.0082398925842
04013000019,04,013,000019,1179,1007,49,1213,1002
04013000020,04,013,000020,1747,2191,47,1772,2188
04013000021,04,013,000021,1430,1464,55,1467,1460
04013000022,04,013,000022,462,875,19,508,835
04013000023,04,013,000023,841.1527960149712,1152.4356329506622,44.19622334840847,884.4621156164907,1122.1646337472678
04013000024,04,013,000024,1704,2678,55,1790,2606
