GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PREOFUE,G16USSRPAU,G16USSDGRA
2122700A201,21,227,00A201,0.008562893035649853,0.0030239078971395065,1.8899424357121916e-4,1.0176613115373341e-4,1.7445622483497155e-4,0,0.008737349260484825,0.0032710542156557166
2122700A202,21,227,00A202,0.08186421014254903,0.02890960222351477,0.001806850138969673,9.729193055990548e-4,0.0016678616667412367,0,0.08353207180929027,0.03127240625139819
2122700A203,21,227,00A203,0.22914403507731576,0.08092013462832204,0.005057508414270127,0.0027232737615300686,0.0046684693054801175,0,0.23381250438279588,0.08753379947775221
2122700A204,21,227,00A204,0,0,0,0,0,0,0,0
2122700A205,21,227,00A205,0.05944383459443454,0.0209920502472706,0.0013120031404544126,7.064632294754529e-4,0.0012110798219579194,0,0.060654914416392466,0.02270774666171099
2122700B101,21,227,00B101,160.71141382857743,309.53647074947696,31.06625554200446,19.103855948345245,4.056011593993108,4.8692044590828474e-5,204.9387640783758,310.4193643479098
2122700B102,21,227,00B102,59.49426169421811,158.00115400759563,0.9753157654789855,3.901263061915942,1.950631530957971,0,64.37084052161303,157.02583824211666
2122700B103,21,227,00B103,73,142,9,1,2,0,74,152
2122700B104,21,227,00B104,34.26793466467083,254.00229256342212,7.00684188332174,1.033496455151302,1.0235993550322857,0.009897100119016254,51.33262229617314,238.96500944174636
2122700B105,21,227,00B105,47.85797085996835,254.2183502397318,4.9814864981690485,3.9616738711038253,2.9699877344341807,0.9890639614794455,64.66804094711506,241.42359051365838
2122700B106,21,227,00B106,111.42123489199356,273.2739758271897,12.20528948439907,2,4.015791498799929,0,130.6107328775927,261.28976732598966
2122700B107,21,227,00B107,135.99369508061628,213.4579016286058,13.948355239956449,10.82193226290066,0.9972725550812607,0,139.10665752649086,229.21235454218797
2122700B108,21,227,00B108,87.95619657519289,140.65917523263917,12.610831664806613,0.1781298728194436,0.9688669765084265,0,99.4362024206661,141.87107650131617
2122700B109,21,227,00B109,167.69026918686032,265.1053710058828,31.878568339109563,20.79405370276966,12.926142289492322,0,199.74727915424438,293.69723937558643
2122700B110,21,227,00B110,179.96220572657273,445.2086018847918,38.15184778467454,11.211833288930487,11.09740567730827,0,236.96112218034008,444.6314509943385
2122700B111,21,227,00B111,124.7764850239469,186.24036858260578,17.82420386166758,2.007522732790566,4.948226909238006,0,145.5907990079788,187.2335429605903
2122700B112,21,227,00B112,13.269356597600874,38.7360959651036,2.316248636859324,3.094874591057797,1.1264994547437295,0,18.680479825517992,39.76772082878953
2122700B113,21,227,00B113,22.918833088850832,52.81296320474322,2.9894130115892388,7.971768030904637,0,0,31.887072123618548,53.8094342086063
