GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDMIL,G18GOVRMOO,G18GOVIHAY,G18GOVOWRI,G18USSDRIN,G18USSRBRA,G18USSIKIN,G18USSOWRI
23005605441,23,005,605441,3102.7920418848166,639.4423036649215,165.17968586387434,0,817.1283769633508,470.32293193717277,2612.952670157068,0
23005605442,23,005,605442,1778,648,114,0,424,457.00000000000006,1683,0
23005605451,23,005,605451,1794.370240267749,560.9956142741205,85.11707421712251,0,490.29527784944463,405.6890766765416,1531.4805179150892,0
23005605452,23,005,605452,2408.3412359113877,1095.5305091333075,158.8519238243296,0,473.81694520015543,828.951418577536,2391.908278274388,0
23005719901,23,005,719901,2155.748939770979,581.3367865931042,119.27426800860135,3.0086383624756334,437.99341168469783,418.9588582347953,2003.4422779030942,1.0043191812378167
23005719902,23,005,719902,2194.2510602290204,617.6632134068957,126.72573199139865,3.9913616375243666,459.00658831530217,443.0411417652047,2052.5577220969058,1.9956808187621833
23005719903,23,005,719903,1788.992917570344,784.1681943292028,151.3910634133166,4.106866388439618,455.2309692284662,603.52646026451,1652.9750162345947,2.567768980616225
23005719904,23,005,719904,1697.3559712230215,743.9930935251798,143.63741007194244,3.895251798561151,431.88604316546764,572.6020143884892,1568.3257553956835,2.434532374100719
23005719905,23,005,719905,1292.6511112066344,585.8387121456174,106.97152651474094,5.99788181299923,393.88298760606614,460.8715253470008,1144.6992283697218,5.997698645283055
23005821051,23,005,821051,896.1108404332307,616.0836370193797,88.00907855018035,0,234.02209378036986,463.05621875451413,920.1224111264204,0
23005821052,23,005,821052,1164.8861131751733,496.5258099474192,97.07668734696135,0,340.26352240351974,355.3792418524132,1066.8579822094055,0
23005821053,23,005,821053,860.9470080246333,584.6672154465296,109.07554794040541,0,206.2472673464863,453.44600171494534,901.9561245622257,0.0010640194675867363
23005821054,23,005,821054,911.6800439541445,483.76895111352303,77.80201688011299,0,269.31467381577573,348.11415245076194,864.7993414751021,0
23005821055,23,005,821055,1367.110114557592,942.8767416113113,113.1005947180923,0,290.13895285697646,658.6539506130124,1461.372121076751,0
23007NA,23,007,NA,7121.8825262904475,6252.4504562491675,737.4096127862119,3,1396.042466592167,5193.225851999342,7565.618738721563,5
23009NA,23,009,NA,15315.145695769137,11357.986121301052,1550.2558694057227,2,3001.483431156762,9852.03552213255,15525.891660552703,7.99822695035461
23011000590,23,011,000590,292.37079510703364,557.3623853211009,66.49235474006116,0,62.58103975535168,481.091743119266,376.4640672782875,0
23011004020,23,011,004020,763.8839385997753,899.4122051666043,76.37027330587794,0,108.77461624859603,730.7948333957319,920.0295769374766,0
23011004475,23,011,004475,503,679,74,0,86,597,564,0
23011012350,23,011,012350,467,650,90,0,80,539,588,0
23011012735,23,011,012735,869,1042,116,0,154,923,936,0
23011013470,23,011,013470,527.131221719457,714.8218839983546,83.86178527354998,0.9983545865898807,78.87001234060058,622.9732620320856,626.9666803784451,0
