GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PREGSTE,G16PRELJOH,G16HALDROC,G16HALRREI,G16HALGPER,G16HALLGES,G16GOVDCAR,G16GOVRBON,G16GOVGGRO,G16GOVLGOW,G16LTGDHAL,G16LTGRGUN,G16INSDNAV,G16INSRCRA
10003007-09,10,003,007-09,120.67340067340066,146.53198653198652,2.154882154882155,12.929292929292929,109.36026936026936,149.76430976430976,3.2323232323232323,2.6936026936026938,134.68013468013467,131.986531986532,1.0774410774410774,2.154882154882155,144.9158249158249,128.21548821548822,144.3771043771044,121.2121212121212
10003007-10,10,003,007-10,837,540,24,57,830,566,21,26,903,516,21,12,893,526,880,540
10003007-12,10,003,007-12,493,417,18,30,496,417,17,9,522,409,12,6,528,409,587,351
10003007-13,10,003,007-13,257.09493576350604,148.42278708449373,11.318230064782504,13.677907904368556,261.0019519699625,130.64025670059604,11.494825602329396,8.308499918044102,271.52885329755514,127.80712209140454,10.209029360008236,6.125417616004941,280.1485228196413,125.6450505248912,281.6319253350352,130.28706562550227
10003007-15,10,003,007-15,626.4076923076923,405.81538461538463,11.169230769230769,22.338461538461537,628.2692307692307,369.5153846153846,11.169230769230769,15.823076923076924,645.0230769230769,376.03076923076924,13.961538461538462,11.169230769230769,621.7538461538462,389.0615384615385,689.7,335.0769230769231
10003007-16,10,003,007-16,681.424957841484,123.89544688026982,5.9949409780775715,18.98397976391231,664.4392917369308,90.92327150084317,10.990725126475548,7.993254637436762,657.4451939291737,99.91568296795953,14.98735244519393,4.995784148397976,618.4780775716695,142.87942664418213,687.4198988195616,80.93170320404721
10003007-17,10,003,007-17,520.9655172413793,255.632183908046,16.114942528735632,24.298850574712645,515.5747126436781,185.64367816091954,25.25287356321839,13.275862068965518,540.0344827586207,194.55172413793105,19.183908045977013,8.206896551724139,513.9195402298851,222.7816091954023,569.448275862069,178.48275862068965
10003007-18,10,003,007-18,408.81014729950897,266.657937806874,11.76432078559738,23.52864157119476,409.79050736497544,235.2864157119476,17.646481178396073,14.705400981996725,428.4173486088379,224.50245499181668,15.685761047463174,11.76432078559738,435.27986906710305,242.14893617021275,463.7103109656301,214.6988543371522
10003007-19,10,003,007-19,404,312,10,31,430,250,13,12,454,253,10,10,471,235,492,227
10003007-21,10,003,007-21,56,96,3,9,51,103,3,3,57,101,3,0,54,103,70,88
10003007-22,10,003,007-22,1037,613,23,57,993,625,28,24,1056,601,21,17,1036,619,1100,570
10003007-23,10,003,007-23,600.7870377516599,400.8114562887964,11.694887322352535,37.87470620501389,562.1683467150834,404.39202347922304,19.785975164587054,12.20640217395097,615.5277083523868,367.65661873815054,17.60044847851983,11.741388672497848,624.8975649382361,373.5156785441725,624.4325882075455,376.11968061078505
10003007-24,10,003,007-24,820,255,19,36,801,223,22,16,788,250,17,15,791,249,822,225.99999999999997
10003007-25,10,003,007-25,457.2857142857143,334.0408163265306,15.489795918367347,29.63265306122449,457.2857142857143,300.36734693877554,22.224489795918366,20.877551020408163,479.51020408163265,297,14.816326530612246,16.83673469387755,486.2448979591837,307.1020408163265,511.83673469387753,277.46938775510205
10003007-26,10,003,007-26,934,401,21,54,947,350,25,20,957,365,14,20,962,361,1030,305
10003007-27,10,003,007-27,190,238,4,22,202,224,6,5,208,221,3,8,205,224,234,203
10003008-01,10,003,008-01,107,38,3,7,109,39,2,3,108,37,4,3,111,41,108,43
10003008-02,10,003,008-02,565,15,11,4,513,10,10,3,491,17,11,4,421,90,480,24
10003008-03,10,003,008-03,698,256,16,22,693,195,22,9,719,185,16,6,673,230,731,170
10003008-04,10,003,008-04,927.744704264099,721.8013755158184,26.992572214580466,57.98404401650619,933.7430536451169,694.808803301238,26.992572214580466,15.995598349381018,1002.7240715268226,670.8154057771665,9.997248968363136,14.995873452544703,976.7312242090784,664.8170563961486,1017.7199449793673,637.8244841815681
10003008-05,10,003,008-05,1120,442,15,46,1096,405,20,22,1100,410,15,13,1061,446,1164,367
10003008-06,10,003,008-06,938,603,38,72,935,580,44,39,974,584,25,21,963,602,1030,550
10003008-07,10,003,008-07,712,489.99999999999994,21,39,664,478.99999999999994,23,32,736,456,18,20,704,472,765,433
10003008-08,10,003,008-08,625.2910915415551,491.1981233099819,20.007660303725135,30.01357962933092,628.2827348465822,443.1807135287884,21.009401281844482,18.005222934358045,665.3057157577576,429.16783029070524,9.008704890596745,18.003830151862566,697.3151170396021,430.17235683381557,692.3071085402531,409.1709640513201
10003008-09,10,003,008-09,707.4062846580407,607.8199630314233,17.170055452865064,47.09500924214418,670.1227356746766,603.4048059149723,20.604066543438076,19.132347504621073,750.5767097966728,556.8003696857671,10.79260628465804,9.811460258780036,774.124214417745,550.4229205175601,795.218853974122,522.460258780037
10003008-10,10,003,008-10,680.0008741258741,179.25524475524475,16.561625874125873,31.174825174825173,646.8776223776224,140.28671328671328,20.45847902097902,20.45847902097902,657.5939685314685,142.23513986013987,19.484265734265733,16.561625874125873,651.7486888111889,169.5131118881119,680.9750874125874,144.18356643356643
10003008-12,10,003,008-12,705.0422245108136,554.4397528321318,14.741503604531411,47.63645726055613,647.1060762100926,618.3645726055613,19.7826982492276,18.659114315139032,689.6601441812564,589.5108135942328,23.700308959835223,13.617919670442843,674.918640576725,611.211122554068,693.8959835221422,603.8516992790937
10003008-13,10,003,008-13,783.1167781720808,349.22775242809007,24.051498101108134,49.06505612626059,809.0923961212776,239.552921087037,35.596217189640036,25.97561794919678,837.9541938426073,257.8320596438792,27.899737797285432,17.317078632797855,811.0165159693662,286.69385736520894,861.0436320196711,247.2494004793916
10003008-15,10,003,008-15,337,319,15,37,361,261,23,18,357,277,15,13,380,271,386,274
10003008-16,10,003,008-16,1031.575042158516,209.10455311973018,24.005059021922428,28.01602023608769,1002.5607082630692,188.07672849915684,10.009274873524452,7.006745362563238,999.5548060708263,179.08431703204047,14.01264755480607,6.004215851602024,937.5219224283305,252.1205733558179,1028.5801011804385,170.0682967959528
10003008-17,10,003,008-17,435,125,3,10,415,103,5,6,426,104,6,4,404,118,440,90
10003008-18,10,003,008-18,689,215,17,37,672,209,16,16,688,208,13,10,665,239.99999999999997,713,192
10003008-19,10,003,008-19,530,464,22,52,599,372,24,23,610,388,24,11,620,388,693,332
10003008-21,10,003,008-21,785.9768919699596,577.7192374350087,21.33044482957828,69.6735990756788,775.7227036395147,521.1091854419411,48.45753899480069,28.292316580011555,856.8497978047371,495.1473136915078,29.393991912189488,22.33044482957828,872.3327556325823,492.0710571923744,926.7267475447718,440.7533217793183
10003008-22,10,003,008-22,447,416,25,40,479,379,14,17,482,387,18,9,499,377,551,325
10003008-23,10,003,008-23,658.8565365815949,416.6494464714785,23.97624576144441,58.53267056571786,638.8460701060366,431.6620770946972,28.287308617580305,28.657934201476923,670.5030498045192,434.3131407227678,16.30540192739549,18.430863805298486,702.368373317268,417.65161061913886,708.5229713531138,411.60173975222335
10003008-24,10,003,008-24,576,448,22,57,614,346,30,30,635,366,21,23,633,385,698,340
10003008-25,10,003,008-25,345.8824582338902,188.6843675417661,7.280429594272077,31.54236276849642,338.74224343675417,164.33830548926014,14.897374701670644,13.644988066825775,357.91050119331743,157.95525059665871,8.504773269689737,8.532816229116944,379.72374701670645,161.9272076372315,392.200477326969,143.1980906921241
