GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20USSDCOO,G20USSRWIT,G20USSLFRO,G20USSITUR,G20HALDROC,G20HALRMUR,G20HALLROG,G20HALIPUR,G20GOVDCAR,G20GOVRMUR,G20GOVLMAC,G20GOVIDEM,G20LTGDHAL,G20LTGRHAL,G20INSDNAV,G20INSRPIL
10003009-16,10,003,009-16,177,103,4,1,180,88,4,8,172,96,3,2,186,82,4,3,182,86,198,75
10003009-17,10,003,009-17,545,322,11,3,560,275,8,13,530,297,7,12,549,285,8,13,550,278,582,256
10003009-18,10,003,009-18,703.1967321146724,301.7247843950484,3.4124917075018613,5.164996683000744,677.6292636261653,285.32231258954204,11.41249170750186,10.659986732002979,674.1342735771631,289.14729600454575,7.164996683000744,11.577488390502605,675.3817686016641,288.0748175650409,6.164996683000744,11.319973464005956,670.7217818696612,296.9722794195495,683.7217818696612,273.80728273654876
10003009-19,10,003,009-19,597.605600933489,471.7417347335667,13.874756903928432,7.928432516530533,597.605600933489,416.242707117853,11.892648774795799,17.8389731621937,569.856087125632,440.0280046674446,10.901594710229483,16.847919097627383,597.605600933489,430.1174640217814,6.937378451964216,15.856865033061066,561.9276546091015,453.902761571373,612.4714119019836,408.31427460132244
10003009-21,10,003,009-21,439,254,8,2,449,236,10,3,417,262,6,4,446,237,9,1,424,257,439,246
10003009-22,10,003,009-22,561,443,17,2,584,404,8,11,541,446,6,9,587,405,7,8,555,440,571,416
10003009-23,10,003,009-23,283.52265198569035,192.99436661482076,6.963714259297657,5.9688979365408485,284.5174683084471,184.0410197100095,8.953346904811273,8.953346904811273,265.61595817606775,203.93734616514567,3.9792652910272324,7.958530582054465,284.5174683084471,190.00991764655035,0,10.942979550324889,269.59522346709497,202.94252984238886,266.6107744988246,204.93216248790247
10003009-24,10,003,009-24,380,231,7,4,361,223,8,10,361,222,3,14,365,225,5,10,367,226,379,221
10003009-26,10,003,009-26,1244,241,7,10,1189,195,21,19,1177,210,12,24,1189,205,11,29,1167,237,1202,204
10003009-27,10,003,009-27,811,694,12.999999999999998,2,821,650,12.999999999999998,25,786.9999999999999,683,14,16,834,644,9,19,823,655,901,594
10003010-01,10,003,010-01,1066.5219720422872,24.4934992672417,1.0107221901163177,7.013721635841846,965.5727858613437,25.466766377843204,16.99925844085735,15.017233727733695,991.5368841969657,18.50644419551518,4.012385628611929,12.033806682096948,970.5610580506827,32.4722263409608,4.9992292032706835,23.025078317161462,931.5925812635699,64.46312684668392,947.6208646126855,35.46522478438457
10003010-02,10,003,010-02,928.9616055036144,110.3191944875805,7.002828581004022,3.997515655024428,861.29088675665,96.24177547845973,16.917679686741092,16.953560610297455,847.313934333487,121.03249133515804,12.9632211399843,22.913953169277736,874.1823460495216,104.2081020496635,11.949489856805648,13.027806802385756,803.6785428096482,164.74682089082094,797.9477881614287,149.78484192332442
10003010-03,10,003,010-03,200.02088556872982,64.01134524721125,2.0003609851385398,1.0001031386110113,186.02199430879818,60.010056014573614,5.000309415833034,4.0002578465275285,179.01923535095364,67.01260869519614,6.000154707916517,1.0004125544440456,195.02147861574312,60.010649061586925,2.0001031386110113,3.000335200485787,175.01933848956463,68.01278918776542,174.01910642768988,67.0126860491544
10003010-04,10,003,010-04,167,51,4,0,161,44,4,3,157,50,2,5,168,43,2,3,156,54,161,51
10003010-05,10,003,010-05,862,108,7.000000000000001,5,820,99,15,14.000000000000002,822,94,5,16,819,99,3,17,797,123.00000000000001,821.0000000000001,105
10003010-06,10,003,010-06,830,424,19,3,836,400,10,10,782,449,8,11,833,406,10,12,810,424,789,443
10003010-07,10,003,010-07,1056,348,8,3,1006,316,23,23,987,338,7,34,1013,315,10,32,982,356,996,336
10003010-08,10,003,010-08,854,417,10,4,868,365,12,17,842,387,7,17,850,386,5,18,856,390,843,397
10003010-09,10,003,010-09,732.8771807397069,416.07397069085835,6.905792044661549,4.316120027913469,720.7920446615492,384.99790648988136,10.358688066992324,11.221912072575018,696.6217725052338,397.94626657362176,4.316120027913469,15.538032100488486,714.7494766224704,385.86113049546407,6.042568039078856,15.538032100488486,706.9804605722261,404.8520586182833,716.4759246336357,394.493370551291
10003010-10,10,003,010-10,590.213073538655,151.68573224387177,3.889377749842866,2.9170333123821495,538.6788183532369,134.18353236957887,8.75109993714645,8.75109993714645,546.4575738529227,137.10056568196103,8.75109993714645,7.778755499685732,540.6235072281584,140.9899434318039,6.806411062225016,6.806411062225016,529.9277184160906,155.57510999371465,547.4299182903834,135.1558768070396
10003010-12,10,003,010-12,777.0834191555098,559.2008238928939,11.22142121524202,4.675592173017508,792.0453141091658,520.8609680741504,17.76725025746653,14.961894953656024,720.0411946446961,593.8002059732235,14.961894953656024,7.480947476828012,782.6941297631308,549.849639546859,5.61071060762101,9.351184346035016,759.3161688980433,560.1359423274974,756.5108135942328,567.6168898043254
10003010-13,10,003,010-13,305,184,9,2,300,167,9,8,280,180,7,9,298,170,9,8,296,175,307,169
10003010-15,10,003,010-15,1234.981406628941,266.02586903799516,8.73807599029911,6.796281325788198,1179.6402586903798,243.69523039611965,18.44704931285368,30.09781729991916,1187.4074373484236,257.2877930476961,7.767178658043655,23.301535974130964,1195.1746160064672,259.229587712207,3.8835893290218273,21.35974130962005,1157.3096200485045,295.15278900565886,1197.1164106709782,259.229587712207
10003010-16,10,003,010-16,787,340,12,8,770,295,16,19,751,306,14,21,780,303,12,16,772,313,786,295
10003010-17,10,003,010-17,638,261,7,2,602,228,10,18,584,243,6,17,598,231,11,21,590,249,627,217
10003010-18,10,003,010-18,308.66666666666663,86.66666666666667,3.3333333333333335,1.3333333333333333,296,75.33333333333333,3.3333333333333335,5.333333333333333,292,82,1.3333333333333333,4.666666666666666,294,73.33333333333333,1.3333333333333333,10.666666666666666,288.6666666666667,88.66666666666667,288.6666666666667,87.33333333333333
10003010-19,10,003,010-19,475,253,19,3,484,222,14,13,466,246,8,14,477,231,7,20,484,241,500,229
