GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10001004-30,10,001,004-30,187.16084631980814,368.215579599137,5.0239564969802935,4.282058693786543,211.9003565900177,320.94674826156347,201.98859521498866,349.0087522557567,145.61971174437164,401.77633512724475,9.785365212021077,181.9353723502378,369.5946580473368
10001004-31,10,001,004-31,569.5693151910939,264.07396446288016,3.0052831759200114,6.342138626533353,589.9114538176273,237.74239218818684,567.2271765645605,271.4266694412535,501.8691884102671,316.4425189690136,15.678994077146694,544.2166102127205,285.4372357930936
10001004-32,10,001,004-32,163.8583192928194,60.02059913361865,4.3847558572281,1.9310644389422755,161.91794099025063,63.14932410718694,152.920279899892,73.38418693635576,150.66262760246596,70.53256711529887,5.343697876001874,156.76598947677527,67.57675935940749
10001004-33,10,001,004-33,654.8851190059848,840.9743676658112,17.18502556597564,22.025469128030746,715.9829584075384,761.8627561753802,670.3733206355355,840.9612573689374,542.8502520728078,951.4505350830468,29.25335872892892,619.9756804889728,896.3374654980388
10001004-34,10,001,004-34,1422.1307497162957,1054.9432202575017,21.448789587481148,36.54855334200259,1496.1228820923893,974.2848977524756,1432.1051848020095,1053.1118837472613,1213.194743084769,1254.2715905474802,38.177565108311704,1348.1562989482193,1137.8367565845256
10001005-28,10,001,005-28,1514.3795247817638,800.0404328734477,19.230569330874186,25.24421068406804,1537.978947319549,759.9498925779653,1501.9197697638429,827.8499880598324,1374.0718395655226,917.8606904512644,39.0520626712981,1471.551954362163,846.3830648758452
10001005-29,10,001,005-29,173.28132499989158,389.08762900915127,7.27737423561855,7.988457597034984,199.04457418394284,350.15088898578665,198.10791771042776,370.70517301218854,143.97018686068978,416.22808534311116,13.799278648995086,172.34176426855868,394.92238197648237
10001005-30,10,001,005-30,576.8391536801919,698.784420400863,4.9760435030197065,16.717941306213458,625.0996434099823,604.0532517384365,616.0114047850113,652.9912477442433,480.3802882556284,776.2236648727553,23.214634787978923,566.0646276497622,705.4053419526632
10001005-31,10,001,005-31,612,288,17,16,641,258,596,323,517,386,23,587,325
10001005-32,10,001,005-32,269.2626272246226,203.07326585951776,6.934087436762895,4.476565315923526,298.8198620811181,166.35545790001504,279.4225380658321,194.35225592140597,233.76155353759893,233.68250737324786,12.652915926085813,267.26719010051784,205.931253752308
10001005-33,10,001,005-33,301.00654548692523,517.8302741313773,6.959635470462366,7.350266748881463,334.17250642091403,469.3534349502368,336.0016481784379,485.6930073031352,255.0476797404609,554.6597996707902,12.51253926597565,293.4247393651994,522.6817340718856
10001005-34,10,001,005-34,287.71308310652574,358.29349958858154,7.89239825305399,7.2012152667890375,318.62244445851,313.29824672447626,301.07304259763276,351.85676308627126,223.4309766440914,421.88442306475093,15.33305905437053,281.5467434647762,372.1437432748908
10001006-28,10,001,006-28,345.72236985223515,292.65549545095877,5.278287240818733,6.73474456416276,351.02474864093585,279.15789951677095,336.1228937371482,304.54405425855015,288.9756665300286,344.16807937013016,12.009016547001167,322.61325202901946,310.5947379988245
10001006-29,10,001,006-29,249.89524864392007,521.7573283039981,7.856547884669954,9.633293631025682,281.88727381183645,477.5227510894415,271.2612583299095,511.54395547633504,189.0585029306962,579.4790140498491,13.770674502079363,240.1977236426652,539.896342736416
